"",BBK01.CEHA0N,BBK01.CEHA0N_FLAGS
"",Money market paper debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:26,
1991-01,0.6,
1991-04,0.8,
1991-07,2.1,
1991-10,0.2,
1992-01,-0.5,
1992-04,0.1,
1992-07,-0.9,
1992-10,1.4,
1993-01,4.9,
1993-04,1.6,
1993-07,0.6,
1993-10,1.2,
1994-01,-0.1,
1994-04,1.5,
1994-07,-2.8,
1994-10,-5.7,
1995-01,-2.1,
1995-04,-0.9,
1995-07,0.0,
1995-10,-1.2,
1996-01,2.1,
1996-04,0.0,
1996-07,5.1,
1996-10,2.7,
1997-01,2.3,
1997-04,1.9,
1997-07,1.0,
1997-10,1.0,
1998-01,4.2,
1998-04,1.6,
1998-07,4.0,
1998-10,-3.2,
1999-01,1.2,
1999-04,6.0,
1999-07,16.2,
1999-10,18.7,
2000-01,-5.6,
2000-04,12.3,
2000-07,-0.3,
2000-10,-6.2,
2001-01,-10.5,
2001-04,-4.9,
2001-07,2.6,
2001-10,1.5,
2002-01,-6.8,
2002-04,9.4,
2002-07,20.2,
2002-10,3.2,
2003-01,24.0,
2003-04,3.9,
2003-07,-11.2,
2003-10,-3.0,
2004-01,-6.5,
2004-04,-2.2,
2004-07,0.0,
2004-10,-5.7,
2005-01,8.8,
2005-04,-3.2,
2005-07,-1.2,
2005-10,-7.3,
2006-01,12.9,
2006-04,-0.6,
2006-07,-4.1,
2006-10,-6.0,
2007-01,12.9,
2007-04,5.3,
2007-07,7.9,
2007-10,18.1,
2008-01,14.9,
2008-04,-8.6,
2008-07,3.2,
2008-10,21.0,
2009-01,-13.1,
2009-04,16.7,
2009-07,9.7,
2009-10,-2.4,
2010-01,-1.5,
2010-04,-12.3,
2010-07,-1.8,
2010-10,-17.1,
2011-01,17.3,
2011-04,-7.6,
2011-07,33.3,
2011-10,9.2,
2012-01,-6.6,
2012-04,6.2,
2012-07,-19.4,
2012-10,2.5,
2013-01,14.1,
2013-04,-3.3,
2013-07,-8.4,
2013-10,-30.1,
2014-01,2.6,
