"",BBFN1.M.DE.N.1.A.B0.S1P.F0.L.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.F0.L.N000.Z01.BGA.X001.D_FLAGS
1979-10,.,No value available
1979-11,.,No value available
1979-12,1.248,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,1.420,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,1.629,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,1.698,
1982-10,1.761,
1982-11,1.792,
1982-12,1.794,
1983-01,1.745,
1983-02,1.767,
1983-03,1.774,
1983-04,1.760,
1983-05,1.787,
1983-06,1.826,
1983-07,1.782,
1983-08,1.796,
1983-09,1.783,
1983-10,1.746,
1983-11,1.768,
1983-12,1.795,
1984-01,1.803,
1984-02,1.792,
1984-03,1.767,
1984-04,1.777,
1984-05,1.767,
1984-06,1.755,
1984-07,1.751,
1984-08,1.749,
1984-09,1.732,
1984-10,1.741,
1984-11,1.713,
1984-12,1.755,
1985-01,1.768,
1985-02,1.782,
1985-03,2.114,
1985-04,2.122,
1985-05,1.821,
1985-06,1.838,
1985-07,1.798,
1985-08,1.820,
1985-09,1.871,
1985-10,1.871,
1985-11,1.888,
1985-12,1.914,
1986-01,2.092,
1986-02,2.029,
1986-03,2.023,
1986-04,1.999,
1986-05,1.988,
1986-06,2.004,
1986-07,2.121,
1986-08,2.150,
1986-09,2.274,
1986-10,2.381,
1986-11,2.418,
1986-12,2.279,
1987-01,2.296,
1987-02,2.370,
1987-03,2.577,
1987-04,2.599,
1987-05,2.607,
1987-06,2.635,
1987-07,2.639,
1987-08,2.758,
1987-09,2.720,
1987-10,2.804,
1987-11,2.808,
1987-12,2.905,
1988-01,2.858,
1988-02,2.851,
1988-03,2.946,
1988-04,2.936,
1988-05,2.863,
1988-06,2.835,
1988-07,2.847,
1988-08,2.945,
1988-09,2.932,
1988-10,2.937,
1988-11,2.914,
1988-12,2.919,
1989-01,3.014,
1989-02,3.029,
1989-03,4.434,
1989-04,4.414,
1989-05,4.638,
1989-06,4.627,
1989-07,4.733,
1989-08,4.860,
1989-09,5.098,
1989-10,5.028,
1989-11,5.143,
1989-12,5.056,
1990-01,5.151,
1990-02,5.756,
1990-03,5.862,
1990-04,6.052,
1990-05,6.204,
1990-06,6.111,
1990-07,5.852,
1990-08,5.381,
1990-09,5.461,
1990-10,5.636,
1990-11,5.615,
1990-12,5.674,
1991-01,5.686,
1991-02,5.747,
1991-03,5.719,
1991-04,5.493,
1991-05,5.408,
1991-06,5.609,
1991-07,5.807,
1991-08,5.954,
1991-09,5.985,
1991-10,5.883,
1991-11,5.802,
1991-12,5.750,
1992-01,5.766,
1992-02,5.239,
1992-03,5.077,
1992-04,5.102,
1992-05,5.068,
1992-06,4.943,
1992-07,5.040,
1992-08,5.056,
1992-09,5.028,
1992-10,5.147,
1992-11,5.195,
1992-12,5.058,
1993-01,5.061,
1993-02,5.150,
1993-03,5.195,
1993-04,5.213,
1993-05,5.189,
1993-06,5.296,
1993-07,5.183,
1993-08,5.240,
1993-09,5.265,
1993-10,5.282,
1993-11,5.264,
1993-12,5.057,
1994-01,5.176,
1994-02,5.221,
1994-03,5.058,
1994-04,5.095,
1994-05,4.993,
1994-06,4.951,
1994-07,4.804,
1994-08,4.868,
1994-09,4.277,
1994-10,4.318,
1994-11,4.167,
1994-12,4.095,
1995-01,4.892,
1995-02,4.797,
1995-03,4.996,
1995-04,4.972,
1995-05,4.999,
1995-06,4.905,
1995-07,4.876,
1995-08,5.076,
1995-09,5.036,
1995-10,5.351,
1995-11,5.337,
1995-12,5.034,
1996-01,5.073,
1996-02,5.373,
1996-03,5.273,
1996-04,5.301,
1996-05,5.427,
1996-06,5.278,
1996-07,5.318,
1996-08,5.274,
1996-09,5.257,
1996-10,5.031,
1996-11,4.994,
1996-12,4.862,
1997-01,4.860,
1997-02,4.872,
1997-03,5.250,
1997-04,5.247,
1997-05,5.327,
1997-06,5.312,
1997-07,5.210,
1997-08,5.032,
1997-09,5.054,
1997-10,4.933,
1997-11,5.064,
1997-12,5.229,
1998-01,5.589,
1998-02,5.588,
1998-03,5.889,
1998-04,5.953,
1998-05,6.000,
1998-06,6.027,
1998-07,6.026,
1998-08,6.350,
1998-09,6.345,
1998-10,6.369,
1998-11,7.176,
1998-12,7.258,
1999-01,7.775,
1999-02,7.784,
1999-03,7.716,
1999-04,7.910,
1999-05,8.079,
1999-06,8.204,
1999-07,8.495,
1999-08,8.969,
1999-09,9.266,
1999-10,11.004,
1999-11,10.925,
1999-12,9.938,
2000-01,10.289,
2000-02,10.289,
2000-03,9.552,
2000-04,9.429,
2000-05,10.049,
2000-06,10.432,
2000-07,10.797,
2000-08,11.207,
2000-09,11.547,
2000-10,11.831,
2000-11,12.219,
2000-12,12.794,
2001-01,13.152,
2001-02,13.125,
2001-03,13.630,
2001-04,13.585,
2001-05,13.985,
2001-06,14.802,
2001-07,14.873,
2001-08,15.359,
2001-09,14.955,
2001-10,15.346,
2001-11,15.497,
2001-12,16.560,
2002-01,17.267,
2002-02,17.541,
2002-03,17.651,
2002-04,17.966,
2002-05,17.916,
2002-06,17.920,
2002-07,19.860,
2002-08,19.904,
2002-09,19.910,
2002-10,19.921,
2002-11,20.946,
2002-12,21.371,
2003-01,23.304,
2003-02,23.082,
2003-03,23.287,
2003-04,23.349,
2003-05,23.404,
2003-06,23.220,
2003-07,25.236,
2003-08,24.702,
2003-09,24.770,
2003-10,25.503,
2003-11,25.495,
2003-12,24.506,
2004-01,25.197,
2004-02,24.081,
2004-03,24.263,
2004-04,24.304,
2004-05,26.307,
2004-06,26.776,
2004-07,27.855,
2004-08,27.835,
2004-09,28.539,
2004-10,28.568,
2004-11,28.956,
2004-12,27.982,
2005-01,29.798,
2005-02,29.031,
2005-03,29.604,
2005-04,29.672,
2005-05,26.841,
2005-06,27.795,
2005-07,27.988,
2005-08,28.309,
2005-09,28.680,
2005-10,28.110,
2005-11,27.765,
2005-12,29.534,
2006-01,29.813,
2006-02,30.588,
2006-03,30.752,
2006-04,31.063,
2006-05,31.749,
2006-06,31.561,
2006-07,29.778,
2006-08,30.130,
2006-09,30.565,
2006-10,31.435,
2006-11,31.696,
2006-12,32.353,
2007-01,33.016,
2007-02,31.973,
2007-03,33.112,
2007-04,33.834,
2007-05,36.704,
2007-06,37.035,
2007-07,37.040,
2007-08,41.121,
2007-09,41.638,
2007-10,41.578,
2007-11,40.524,
2007-12,38.090,
2008-01,41.819,
2008-02,42.918,
2008-03,45.273,
2008-04,45.868,
2008-05,46.484,
2008-06,43.936,
2008-07,42.784,
2008-08,43.386,
2008-09,44.546,
2008-10,45.482,
2008-11,45.630,
2008-12,41.931,
2009-01,42.819,
2009-02,43.504,
2009-03,44.386,
2009-04,44.564,
2009-05,44.937,
2009-06,45.118,
2009-07,45.037,
2009-08,47.614,
2009-09,49.701,
2009-10,52.698,
2009-11,54.437,
2009-12,58.163,
2010-01,59.678,
2010-02,60.428,
2010-03,61.324,
2010-04,61.575,
2010-05,63.177,
2010-06,64.592,
2010-07,61.326,
2010-08,61.752,
2010-09,62.678,
2010-10,62.331,
2010-11,62.869,
2010-12,62.938,
2011-01,63.568,
2011-02,63.140,
2011-03,64.120,
2011-04,63.915,
2011-05,64.452,
2011-06,61.914,
2011-07,61.711,
2011-08,62.441,
2011-09,61.723,
2011-10,61.456,
2011-11,61.937,
2011-12,64.573,
2012-01,65.312,
2012-02,66.415,
2012-03,67.686,
2012-04,68.303,
2012-05,68.712,
2012-06,69.507,
2012-07,71.420,
2012-08,72.377,
2012-09,74.586,
2012-10,73.408,
2012-11,76.879,
2012-12,81.775,
2013-01,84.804,
2013-02,85.351,
2013-03,86.869,
2013-04,88.351,
2013-05,91.284,
2013-06,92.586,
2013-07,92.060,
2013-08,93.488,
2013-09,96.018,
2013-10,94.676,
2013-11,98.611,
2013-12,98.814,
2014-01,98.122,
2014-02,99.098,
2014-03,101.036,
2014-04,101.264,
2014-05,102.012,
2014-06,102.026,
2014-07,103.786,
2014-08,104.822,
2014-09,105.259,
2014-10,104.650,
2014-11,105.126,
2014-12,106.750,
"","General: From 1973, including Denmark, Ireland and the United Kingdom; from 1981, including Greece; from 1986, including Portugal and Spain; from 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
