"",BBK01.CELQ0J,BBK01.CELQ0J_FLAGS
"",short-term time deposits  debtor: Total           creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:40,
1999-01,0.6,
1999-04,-7.4,
1999-07,-3.9,
1999-10,3.0,
2000-01,-4.2,
2000-04,0.4,
2000-07,-4.1,
2000-10,14.6,
2001-01,7.9,
2001-04,4.0,
2001-07,3.5,
2001-10,-1.4,
2002-01,-3.5,
2002-04,-4.2,
2002-07,-1.1,
2002-10,-0.9,
2003-01,-6.0,
2003-04,-5.7,
2003-07,-4.2,
2003-10,-5.0,
2004-01,-3.8,
2004-04,-4.8,
2004-07,-3.4,
2004-10,-0.2,
2005-01,-4.0,
2005-04,-1.4,
2005-07,-1.5,
2005-10,3.0,
2006-01,3.7,
2006-04,2.4,
2006-07,10.6,
2006-10,9.6,
2007-01,7.8,
2007-04,6.8,
2007-07,16.7,
2007-10,21.2,
2008-01,15.2,
2008-04,15.6,
2008-07,20.6,
2008-10,25.3,
2009-01,-46.9,
2009-04,-23.9,
2009-07,-30.0,
2009-10,-24.5,
2010-01,-15.5,
2010-04,-6.2,
2010-07,-6.0,
2010-10,1.7,
2011-01,-2.9,
2011-04,3.7,
2011-07,3.2,
2011-10,4.8,
2012-01,1.5,
2012-04,-0.9,
2012-07,-4.7,
2012-10,-7.6,
2013-01,-5.7,
2013-04,-3.4,
2013-07,-5.3,
2013-10,-2.2,
2014-01,-0.2,
2014-04,-0.3,
2014-07,-0.3,
