"",BBAI3.Q.DE.N.V.LE.F7.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:39,
2005-10,70234,
2006-01,66989,
2006-04,63860,
2006-07,62806,
2006-10,61999,
2007-01,61146,
2007-04,60102,
2007-07,58278,
2007-10,56552,
2008-01,55324,
2008-04,54161,
2008-07,54488,
2008-10,55204,
2009-01,55805,
2009-04,56026,
2009-07,54544,
2009-10,53223,
2010-01,53989,
2010-04,54623,
2010-07,55043,
2010-10,55398,
2011-01,54750,
2011-04,54199,
2011-07,53805,
2011-10,55544,
2012-01,52499,
2012-04,52567,
2012-07,52738,
2012-10,52675,
2013-01,53750,
2013-04,53671,
2013-07,52844,
2013-10,52168,
2014-01,51162,
2014-04,51184,
2014-07,51726,
