"",BBK01.WX0255,BBK01.WX0255_FLAGS
"",Amounts outstanding of debt securities issued by residents / Insurance corporations,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-11 10:15:48,
2008-01,-,Nothing exists
2008-02,-,Nothing exists
2008-03,-,Nothing exists
2008-04,-,Nothing exists
2008-05,-,Nothing exists
2008-06,1293,
2008-07,183,
2008-08,302,
2008-09,-,Nothing exists
2008-10,-215,
2008-11,-,Nothing exists
2008-12,3310,
2009-01,-,Nothing exists
2009-02,-,Nothing exists
2009-03,55,
2009-04,175,
2009-05,700,
2009-06,48,
2009-07,-302,
2009-08,-,Nothing exists
2009-09,280,
2009-10,-,Nothing exists
2009-11,-,Nothing exists
2009-12,-190,
2010-01,-,Nothing exists
2010-02,-,Nothing exists
2010-03,-,Nothing exists
2010-04,-250,
2010-05,-,Nothing exists
2010-06,950,
2010-07,-110,
2010-08,-,Nothing exists
2010-09,-,Nothing exists
2010-10,400,
2010-11,59,
2010-12,-37,
2011-01,-,Nothing exists
2011-02,-,Nothing exists
2011-03,-,Nothing exists
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,1000,
2011-07,-,Nothing exists
2011-08,-,Nothing exists
2011-09,-,Nothing exists
2011-10,-400,
2011-11,-,Nothing exists
2011-12,-30,
2012-01,-,Nothing exists
2012-02,-,Nothing exists
2012-03,1413,
2012-04,-21,
2012-05,-709,
2012-06,-,Nothing exists
2012-07,172,
2012-08,-,Nothing exists
2012-09,-,Nothing exists
2012-10,1414,
2012-11,780,
2012-12,450,
2013-01,-560,
2013-02,-,Nothing exists
2013-03,-,Nothing exists
2013-04,-,Nothing exists
2013-05,-,Nothing exists
2013-06,-3450,
2013-07,-1279,
2013-08,-,Nothing exists
2013-09,-,Nothing exists
2013-10,1500,
2013-11,-160,
2013-12,-732,
2014-01,-1500,
2014-02,409,
2014-03,-,Nothing exists
2014-04,-,Nothing exists
2014-05,-150,
2014-06,-,Nothing exists
2014-07,-170,
2014-08,-250,
2014-09,2010,
2014-10,-27,
2014-11,-,Nothing exists
2014-12,-620,
