"",BBAI3.Q.DE.N.V.LE.F331.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F331.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Securities other than shares excluding financial derivatives up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:34,
2005-10,3071,
2006-01,942,
2006-04,947,
2006-07,1117,
2006-10,1684,
2007-01,2857,
2007-04,3528,
2007-07,1692,
2007-10,2730,
2008-01,3121,
2008-04,2370,
2008-07,2386,
2008-10,3247,
2009-01,2161,
2009-04,2322,
2009-07,1515,
2009-10,2276,
2010-01,1773,
2010-04,2376,
2010-07,2465,
2010-10,3393,
2011-01,1905,
2011-04,1794,
2011-07,2863,
2011-10,2269,
2012-01,2700,
2012-04,3026,
2012-07,3823,
2012-10,3694,
2013-01,3955,
2013-04,2836,
2013-07,2727,
2013-10,2857,
2014-01,3333,
2014-04,2603,
2014-07,2367,
