"",BBK01.CEH6B0,BBK01.CEH6B0_FLAGS
"",Insurance technical reserves debtor: Insurance corporations                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-10-23 15:53:12,
1991-01,16900,
1991-04,1826,
1991-07,12193,
1991-10,4271,
1992-01,20365,
1992-04,8859,
1992-07,7845,
1992-10,2963,
1993-01,12683,
1993-04,16027,
1993-07,10551,
1993-10,8604,
1994-01,8834,
1994-04,22852,
1994-07,11598,
1994-10,6063,
1995-01,36599,
1995-04,11794,
1995-07,14327,
1995-10,10742,
1996-01,26310,
1996-04,12193,
1996-07,12020,
1996-10,6393,
1997-01,30808,
1997-04,12746,
1997-07,15105,
1997-10,9673,
1998-01,27113,
1998-04,18056,
1998-07,12499,
1998-10,11839,
1999-01,22504,
1999-04,13949,
1999-07,16207,
1999-10,20798,
2000-01,24180,
2000-04,13551,
2000-07,14990,
2000-10,10301,
2001-01,23644,
2001-04,12803,
2001-07,18328,
2001-10,13436,
2002-01,28260,
2002-04,12868,
2002-07,15536,
2002-10,-12999,
2003-01,19100,
2003-04,13241,
2003-07,12789,
2003-10,9028,
2004-01,17561,
2004-04,9485,
2004-07,11365,
2004-10,16956,
2005-01,19297,
2005-04,11010,
2005-07,14380,
2005-10,29566,
2006-01,16577,
2006-04,13015,
2006-07,15083,
2006-10,15209,
2007-01,11779,
2007-04,9619,
2007-07,11588,
2007-10,25916,
2008-01,6694,
2008-04,5683,
2008-07,6390,
2008-10,6419,
2009-01,19639,
2009-04,11556,
2009-07,10158,
2009-10,15428,
2010-01,27901,
2010-04,19271,
2010-07,13500,
2010-10,18179,
2011-01,18997,
2011-04,12822,
2011-07,10439,
2011-10,13694,
2012-01,25551,
2012-04,17719,
2012-07,13966,
2012-10,17327,
2013-01,24703,
2013-04,18161,
2013-07,14375,
2013-10,17772,
2014-01,32235,
