"",BBK01.CEBX2Q,BBK01.CEBX2Q_FLAGS
"",Prepayments of insurance premiums and reserves for outstanding claims  debtor: Insurance corporations                     creditor: All sectors (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:33,
1991-01,66.1,
1991-04,66.3,
1991-07,67.0,
1991-10,67.7,
1992-01,75.9,
1992-04,77.0,
1992-07,77.6,
1992-10,75.6,
1993-01,81.4,
1993-04,85.1,
1993-07,86.6,
1993-10,84.4,
1994-01,85.2,
1994-04,92.8,
1994-07,95.6,
1994-10,94.7,
1995-01,96.1,
1995-04,97.9,
1995-07,101.4,
1995-10,101.3,
1996-01,111.9,
1996-04,113.5,
1996-07,115.3,
1996-10,111.9,
1997-01,122.9,
1997-04,124.6,
1997-07,127.3,
1997-10,120.1,
1998-01,127.9,
1998-04,131.9,
1998-07,133.7,
1998-10,130.2,
1999-01,131.6,
1999-04,133.4,
1999-07,135.5,
1999-10,136.1,
2000-01,140.3,
2000-04,141.9,
2000-07,143.6,
2000-10,142.3,
2001-01,146.5,
2001-04,148.3,
2001-07,152.1,
2001-10,154.3,
2002-01,161.5,
2002-04,163.2,
2002-07,165.6,
2002-10,162.0,
2003-01,164.4,
2003-04,166.8,
2003-07,168.3,
2003-10,175.7,
2004-01,178.8,
2004-04,179.1,
2004-07,180.8,
2004-10,185.2,
2005-01,189.4,
2005-04,190.5,
2005-07,193.9,
2005-10,205.7,
2006-01,204.8,
2006-04,204.0,
2006-07,203.1,
2006-10,206.2,
2007-01,201.6,
2007-04,197.0,
2007-07,192.5,
2007-10,188.5,
2008-01,188.9,
2008-04,189.2,
2008-07,189.3,
2008-10,189.0,
2009-01,189.6,
2009-04,190.1,
2009-07,190.3,
2009-10,190.4,
2010-01,191.7,
2010-04,192.7,
2010-07,193.6,
2010-10,194.5,
2011-01,196.6,
2011-04,198.7,
2011-07,200.7,
2011-10,202.4,
2012-01,204.0,
2012-04,205.4,
2012-07,206.8,
2012-10,208.1,
2013-01,207.1,
2013-04,209.0,
2013-07,211.5,
2013-10,213.4,
2014-01,218.5,
