"",BBAI3.Q.DE.N.V.LE.F41.S125.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F41.S125.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations and pension funds (ICPFs) / Loans up to 1 year / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:53,
2005-10,57333,
2006-01,55924,
2006-04,55618,
2006-07,51876,
2006-10,51371,
2007-01,50455,
2007-04,50821,
2007-07,49336,
2007-10,52618,
2008-01,50224,
2008-04,46839,
2008-07,46343,
2008-10,45123,
2009-01,44302,
2009-04,42685,
2009-07,41829,
2009-10,40470,
2010-01,41844,
2010-04,41505,
2010-07,41820,
2010-10,45621,
2011-01,46580,
2011-04,45539,
2011-07,45284,
2011-10,44864,
2012-01,45457,
2012-04,48080,
2012-07,49537,
2012-10,48326,
2013-01,48675,
2013-04,50226,
2013-07,47791,
2013-10,48083,
2014-01,48627,
2014-04,48989,
2014-07,49375,
