"",BBAI3.Q.DE.N.V.LE.F51.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:36,
2005-10,7466,
2006-01,7395,
2006-04,7521,
2006-07,7734,
2006-10,8336,
2007-01,8168,
2007-04,8251,
2007-07,8131,
2007-10,8238,
2008-01,8355,
2008-04,8088,
2008-07,7978,
2008-10,7374,
2009-01,7370,
2009-04,6885,
2009-07,7010,
2009-10,7244,
2010-01,7641,
2010-04,7566,
2010-07,7713,
2010-10,7793,
2011-01,7918,
2011-04,8061,
2011-07,8168,
2011-10,7807,
2012-01,8055,
2012-04,8142,
2012-07,8360,
2012-10,7285,
2013-01,8623,
2013-04,8576,
2013-07,8766,
2013-10,8978,
2014-01,8830,
2014-04,8736,
2014-07,8906,
