"",BBQFS.M.PT.GOVE.YLD_SPRD_10.DE.GOVE,BBQFS.M.PT.GOVE.YLD_SPRD_10.DE.GOVE_FLAGS
"",Yield spreads between Portuguese sovereign bonds and Bunds (FSR 2014),
unit,%-Punkte/% points (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:29,
1993-01,5.92,
1993-02,5.67,
1993-03,5.74,
1993-04,5.85,
1993-05,5.69,
1993-06,5.51,
1993-07,4.48,
1993-08,4.22,
1993-09,3.76,
1993-10,3.23,
1993-11,3.33,
1993-12,3.36,
1994-01,3.12,
1994-02,2.66,
1994-03,2.59,
1994-04,2.73,
1994-05,3.13,
1994-06,3.53,
1994-07,4.34,
1994-08,4.19,
1994-09,4.05,
1994-10,3.87,
1994-11,3.89,
1994-12,4.01,
1995-01,4.16,
1995-02,4.07,
1995-03,4.45,
1995-04,4.69,
1995-05,4.70,
1995-06,4.74,
1995-07,4.50,
1995-08,4.14,
1995-09,4.58,
1995-10,4.69,
1995-11,4.44,
1995-12,3.98,
1996-01,3.54,
1996-02,3.30,
1996-03,3.32,
1996-04,2.79,
1996-05,2.54,
1996-06,2.36,
1996-07,2.26,
1996-08,2.41,
1996-09,2.12,
1996-10,1.60,
1996-11,1.35,
1996-12,1.15,
1997-01,0.92,
1997-02,1.08,
1997-03,1.08,
1997-04,0.89,
1997-05,0.69,
1997-06,0.67,
1997-07,0.69,
1997-08,0.69,
1997-09,0.54,
1997-10,0.40,
1997-11,0.41,
1997-12,0.35,
1998-01,0.30,
1998-02,0.23,
1998-03,0.18,
1998-04,0.16,
1998-05,0.18,
1998-06,0.27,
1998-07,0.30,
1998-08,0.36,
1998-09,0.42,
1998-10,0.39,
1998-11,0.30,
1998-12,0.27,
1999-01,0.23,
1999-02,0.21,
1999-03,0.23,
1999-04,0.28,
1999-05,0.30,
1999-06,0.33,
1999-07,0.32,
1999-08,0.40,
1999-09,0.39,
1999-10,0.36,
1999-11,0.34,
1999-12,0.32,
2000-01,0.30,
2000-02,0.30,
2000-03,0.30,
2000-04,0.31,
2000-05,0.36,
2000-06,0.39,
2000-07,0.37,
2000-08,0.38,
2000-09,0.39,
2000-10,0.38,
2000-11,0.38,
2000-12,0.39,
2001-01,0.38,
2001-02,0.38,
2001-03,0.42,
2001-04,0.42,
2001-05,0.38,
2001-06,0.37,
2001-07,0.39,
2001-08,0.37,
2001-09,0.35,
2001-10,0.31,
2001-11,0.31,
2001-12,0.22,
2002-01,0.20,
2002-02,0.22,
2002-03,0.21,
2002-04,0.23,
2002-05,0.23,
2002-06,0.24,
2002-07,0.26,
2002-08,0.27,
2002-09,0.26,
2002-10,0.23,
2002-11,0.17,
2002-12,0.12,
2003-01,0.09,
2003-02,0.09,
2003-03,0.14,
2003-04,0.15,
2003-05,0.15,
2003-06,0.15,
2003-07,0.09,
2003-08,0.11,
2003-09,0.10,
2003-10,0.12,
2003-11,0.14,
2003-12,0.15,
2004-01,0.16,
2004-02,0.16,
2004-03,0.17,
2004-04,0.16,
2004-05,0.13,
2004-06,0.10,
2004-07,0.10,
2004-08,0.09,
2004-09,0.08,
2004-10,0.07,
2004-11,0.04,
2004-12,-0.01,
2005-01,-0.02,
2005-02,-0.01,
2005-03,-0.02,
2005-04,0.20,
2005-05,0.35,
2005-06,0.50,
2005-07,0.30,
2005-08,0.14,
2005-09,0.14,
2005-10,0.13,
2005-11,0.10,
2005-12,0.09,
2006-01,0.11,
2006-02,0.09,
2006-03,-0.13,
2006-04,-0.39,
2006-05,-0.45,
2006-06,-0.47,
2006-07,-0.11,
2006-08,0.17,
2006-09,0.17,
2006-10,0.17,
2006-11,0.16,
2006-12,0.17,
2007-01,0.14,
2007-02,0.14,
2007-03,0.15,
2007-04,0.13,
2007-05,0.13,
2007-06,0.17,
2007-07,0.20,
2007-08,0.25,
2007-09,0.26,
2007-10,0.22,
2007-11,0.26,
2007-12,0.24,
2008-01,0.26,
2008-02,0.30,
2008-03,0.51,
2008-04,0.47,
2008-05,0.39,
2008-06,0.41,
2008-07,0.45,
2008-08,0.47,
2008-09,0.56,
2008-10,0.66,
2008-11,0.78,
2008-12,0.94,
2009-01,1.22,
2009-02,1.34,
2009-03,1.59,
2009-04,1.33,
2009-05,0.85,
2009-06,0.95,
2009-07,0.87,
2009-08,0.60,
2009-09,0.63,
2009-10,0.61,
2009-11,0.52,
2009-12,0.67,
2010-01,0.87,
2010-02,1.28,
2010-03,1.08,
2010-04,1.60,
2010-05,2.11,
2010-06,2.77,
2010-07,2.75,
2010-08,2.84,
2010-09,3.66,
2010-10,3.59,
2010-11,4.19,
2010-12,3.43,
2011-01,3.87,
2011-02,4.09,
2011-03,4.38,
2011-04,5.70,
2011-05,6.37,
2011-06,7.71,
2011-07,9.11,
2011-08,8.51,
2011-09,9.38,
2011-10,9.71,
2011-11,9.97,
2011-12,11.23,
2012-01,12.23,
2012-02,11.09,
2012-03,11.18,
2012-04,10.18,
2012-05,10.17,
2012-06,9.24,
2012-07,9.32,
2012-08,8.46,
2012-09,7.06,
2012-10,6.61,
2012-11,6.92,
2012-12,5.85,
2013-01,4.70,
2013-02,4.77,
2013-03,4.70,
2013-04,4.89,
2013-05,4.08,
2013-06,4.68,
2013-07,5.18,
2013-08,4.72,
2013-09,5.11,
2013-10,4.49,
2013-11,4.22,
2013-12,4.16,
2014-01,3.51,
2014-02,3.27,
2014-03,2.83,
2014-04,2.29,
2014-05,2.26,
2014-06,2.15,
2014-07,2.48,
2014-08,2.46,
2014-09,2.18,
2014-10,2.33,
2014-11,2.43,
"",Source: Bloomberg and Bundesbank calculations,
"","Methodology: With a residual maturity of ten years. Up to the end of 1998, the yield spreads contain not only credit (and liquidity) risk but also exchange rate risk.",
