"",BBSF2.M.1.S.00000.GEL01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.GEL01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
1988-02,-,Nothing exists
1988-03,-,Nothing exists
1988-04,-,Nothing exists
1988-05,-,Nothing exists
1988-06,-,Nothing exists
1988-07,-,Nothing exists
1988-08,-,Nothing exists
1988-09,-,Nothing exists
1988-10,-,Nothing exists
1988-11,-,Nothing exists
1988-12,-,Nothing exists
1989-01,-,Nothing exists
1989-02,-,Nothing exists
1989-03,-,Nothing exists
1989-04,-,Nothing exists
1989-05,-,Nothing exists
1989-06,-,Nothing exists
1989-07,-,Nothing exists
1989-08,-,Nothing exists
1989-09,-,Nothing exists
1989-10,-,Nothing exists
1989-11,-,Nothing exists
1989-12,-,Nothing exists
1990-01,-,Nothing exists
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,-,Nothing exists
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,-,Nothing exists
1994-10,-,Nothing exists
1994-11,-,Nothing exists
1994-12,-,Nothing exists
1995-01,-,Nothing exists
1995-02,-,Nothing exists
1995-03,-,Nothing exists
1995-04,-,Nothing exists
1995-05,-,Nothing exists
1995-06,-,Nothing exists
1995-07,-,Nothing exists
1995-08,23,
1995-09,34,
1995-10,39,
1995-11,413,
1995-12,270,
1996-01,94,
1996-02,94,
1996-03,53,
1996-04,22,
1996-05,23,
1996-06,25,
1996-07,48,
1996-08,54,
1996-09,40,
1996-10,16,
1996-11,16,
1996-12,1,
1997-01,1,
1997-02,1,
1997-03,2,
1997-04,3,
1997-05,4,
1997-06,3,
1997-07,3,
1997-08,9,
1997-09,31,
1997-10,30,
1997-11,31,
1997-12,28,
1998-01,46,
1998-02,42,
1998-03,40,
1998-04,37,
1998-05,30,
1998-06,27,
1998-07,33,
1998-08,29,
1998-09,29,
1998-10,33,
1998-11,29,
1998-12,36,
1999-01,32,
1999-02,39,
1999-03,36,
1999-04,44,
1999-05,44,
1999-06,40,
1999-07,32,
1999-08,32,
1999-09,30,
1999-10,34,
1999-11,34,
1999-12,34,
2000-01,38,
2000-02,38,
2000-03,38,
2000-04,38,
2000-05,40,
2000-06,41,
2000-07,40,
2000-08,42,
2000-09,43,
2000-10,46,
2000-11,42,
2000-12,42,
2001-01,157,
2001-02,157,
2001-03,160,
2001-04,179,
2001-05,179,
2001-06,163,
2001-07,160,
2001-08,164,
2001-09,161,
2001-10,176,
2001-11,173,
2001-12,160,
2002-01,293,
2002-02,319,
2002-03,315,
2002-04,312,
2002-05,294,
2002-06,303,
2002-07,307,
2002-08,324,
2002-09,326,
2002-10,312,
2002-11,308,
2002-12,287,
2003-01,285,
2003-02,294,
2003-03,294,
2003-04,315,
2003-05,292,
2003-06,279,
2003-07,253,
2003-08,291,
2003-09,316,
2003-10,372,
2003-11,387,
2003-12,354,
2004-01,337,
2004-02,318,
2004-03,333,
2004-04,327,
2004-05,552,
2004-06,563,
2004-07,538,
2004-08,553,
2004-09,564,
2004-10,529,
2004-11,499,
2004-12,501,
2005-01,455,
2005-02,436,
2005-03,426,
2005-04,446,
2005-05,442,
2005-06,408,
2005-07,364,
2005-08,361,
2005-09,390,
2005-10,366,
2005-11,377,
2005-12,358,
2006-01,336,
2006-02,322,
2006-03,292,
2006-04,283,
2006-05,217,
2006-06,233,
2006-07,234,
2006-08,207,
2006-09,115,
2006-10,111,
2006-11,108,
2006-12,110,
2007-01,95,
2007-02,93,
2007-03,92,
2007-04,92,
2007-05,148,
2007-06,178,
2007-07,187,
2007-08,180,
2007-09,230,
2007-10,225,
2007-11,225,
2007-12,221,
2008-01,216,
2008-02,224,
2008-03,221,
2008-04,219,
2008-05,206,
2008-06,182,
2008-07,203,
2008-08,204,
2008-09,169,
2008-10,161,
2008-11,160,
2008-12,125,
2009-01,130,
2009-02,131,
2009-03,132,
2009-04,133,
2009-05,108,
2009-06,139,
2009-07,163,
2009-08,162,
2009-09,123,
2009-10,135,
2009-11,134,
2009-12,133,
2010-01,135,
2010-02,120,
2010-03,591,
2010-04,628,
2010-05,541,
2010-06,539,
2010-07,399,
2010-08,606,
2010-09,596,
2010-10,563,
2010-11,388,
2010-12,466,
2011-01,489,
2011-02,513,
2011-03,559,
2011-04,595,
2011-05,635,
2011-06,634,
2011-07,666,
2011-08,689,
2011-09,698,
2011-10,713,
2011-11,722,
2011-12,723,
2012-01,737,
2012-02,757,
2012-03,795,
2012-04,795,
2012-05,806,
2012-06,814,
2012-07,890,
2012-08,581,
2012-09,590,
2012-10,946,
2012-11,948,
2012-12,936,
2013-01,950,
2013-02,963,
2013-03,1018,
2013-04,1015,
2013-05,917,
2013-06,725,
2013-07,751,
2013-08,753,
2013-09,748,
2013-10,521,
2013-11,516,
2013-12,4,
2014-01,9,
2014-02,9,
2014-03,5,
2014-04,5,
2014-05,5,
2014-06,5,
2014-07,5,
2014-08,4,
2014-09,134,
2014-10,135,
2014-11,140,
