"",BBK01.CEHA20,BBK01.CEHA20_FLAGS
"",Money market paper debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:18,
1991-01,0.3,
1991-04,0.1,
1991-07,-0.1,
1991-10,1.7,
1992-01,-0.8,
1992-04,1.0,
1992-07,5.5,
1992-10,-5.6,
1993-01,15.2,
1993-04,-0.3,
1993-07,1.4,
1993-10,-0.1,
1994-01,1.1,
1994-04,-0.7,
1994-07,-3.5,
1994-10,-5.3,
1995-01,-1.0,
1995-04,0.1,
1995-07,1.3,
1995-10,0.1,
1996-01,2.0,
1996-04,-0.5,
1996-07,-0.6,
1996-10,-1.8,
1997-01,-0.9,
1997-04,0.7,
1997-07,2.4,
1997-10,1.1,
1998-01,3.6,
1998-04,1.8,
1998-07,3.1,
1998-10,3.8,
1999-01,0.0,
1999-04,8.4,
1999-07,11.9,
1999-10,29.1,
2000-01,0.7,
2000-04,12.1,
2000-07,2.4,
2000-10,0.1,
2001-01,-9.7,
2001-04,-14.1,
2001-07,-7.6,
2001-10,-7.6,
2002-01,6.1,
2002-04,2.2,
2002-07,10.7,
2002-10,0.2,
2003-01,16.0,
2003-04,-2.5,
2003-07,-11.5,
2003-10,0.9,
2004-01,-1.5,
2004-04,2.5,
2004-07,-2.4,
2004-10,-6.8,
2005-01,6.3,
2005-04,2.8,
2005-07,1.6,
2005-10,-10.9,
2006-01,8.7,
2006-04,-1.6,
2006-07,1.6,
2006-10,-1.5,
2007-01,12.2,
2007-04,4.3,
2007-07,8.5,
2007-10,15.1,
2008-01,14.0,
2008-04,3.8,
2008-07,0.9,
2008-10,37.8,
2009-01,-45.9,
2009-04,-14.5,
2009-07,-2.2,
2009-10,15.2,
2010-01,4.6,
2010-04,-1.1,
2010-07,-0.9,
2010-10,-15.2,
2011-01,-2.6,
2011-04,-14.8,
2011-07,10.6,
2011-10,-0.4,
2012-01,-5.2,
2012-04,-2.3,
2012-07,-7.2,
2012-10,-5.0,
2013-01,10.2,
2013-04,-0.9,
2013-07,3.1,
2013-10,-19.8,
2014-01,9.2,
