"",BBDE1.A.DE.N.BAA1.P2XF00000.G.C.I10.L,BBDE1.A.DE.N.BAA1.P2XF00000.G.C.I10.L_FLAGS
"",Output in the production sector / At constant prices / Germany / Main construction industry / Unadjusted figure,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:10:50,
1950,32.7,
1951,35.9,
1952,38.2,
1953,45.3,
1954,49.9,
1955,56.3,
1956,59.0,
1957,57.6,
1958,59.8,
1959,68.7,
1960,71.9,
1961,78.5,
1962,85.2,
1963,85.6,
1964,95.7,
1965,97.9,
1966,98.4,
1967,93.2,
1968,97.2,
1969,106.1,
1970,112.5,
1971,116.8,
1972,124.5,
1973,125.1,
1974,115.9,
1975,103.1,
1976,108.6,
1977,107.2,
1978,106.6,
1979,111.5,
1980,111.4,
1981,101.5,
1982,98.1,
1983,98.4,
1984,99.5,
1985,91.4,
1986,97.0,
1987,96.7,
1988,101.0,
1989,107.6,
1990,113.0,
1991,116.3,
1992,128.4,
1993,131.5,
1994,144.1,
1995,141.9,
1996,132.9,
1997,127.5,
1998,123.6,
1999,124.8,
2000,119.6,
2001,110.3,
2002,106.0,
2003,101.4,
2004,97.0,
2005,91.7,
2006,96.5,
2007,99.2,
2008,99.9,
2009,99.5,
2010,100.0,
2011,113.1,
2012,111.2,
2013,113.5,
2014,119.3,Provisional value
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany (chain-linked over the annual average of 1991; Bundesbank calculation). - 3 Methodology:  Up to 1990 according to the national classification in the production sector (Sypro) (positions 72 to 75). As of 1991 according to the Statistical Classification of Economic Activities Rev. 2 (NACE Rev. 2) (positions  41.2, 42, 43.1  and 43.9)",
