"",BBAI3.Q.DE.N.V.LE.F33.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F33.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Securities other than shares excluding financial derivatives / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:25,
2005-10,64780,
2006-01,64155,
2006-04,64862,
2006-07,66116,
2006-10,59514,
2007-01,64240,
2007-04,60298,
2007-07,61048,
2007-10,61906,
2008-01,59266,
2008-04,57481,
2008-07,57191,
2008-10,61311,
2009-01,56919,
2009-04,62357,
2009-07,65992,
2009-10,67782,
2010-01,75563,
2010-04,79389,
2010-07,81211,
2010-10,79617,
2011-01,81152,
2011-04,86419,
2011-07,90510,
2011-10,90277,
2012-01,97929,
2012-04,104335,
2012-07,114897,
2012-10,119390,
2013-01,124871,
2013-04,127666,
2013-07,130732,
2013-10,133520,
2014-01,136612,
2014-04,145890,
2014-07,155483,
