"",BBAI3.Q.DE.N.V.LE.F51M.SK.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.SK.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Death benefit funds / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:33,
2005-10,62,
2006-01,51,
2006-04,45,
2006-07,49,
2006-10,60,
2007-01,52,
2007-04,59,
2007-07,61,
2007-10,72,
2008-01,54,
2008-04,50,
2008-07,46,
2008-10,49,
2009-01,34,
2009-04,33,
2009-07,41,
2009-10,49,
2010-01,44,
2010-04,40,
2010-07,39,
2010-10,51,
2011-01,47,
2011-04,45,
2011-07,36,
2011-10,44,
2012-01,45,
2012-04,41,
2012-07,47,
2012-10,60,
2013-01,58,
2013-04,60,
2013-07,63,
2013-10,79,
2014-01,70,
2014-04,70,
2014-07,73,
