"",BBEX3.M.BWP.USD.CM.AA.A01,BBEX3.M.BWP.USD.CM.AA.A01_FLAGS
"",Exchange rates for the US dollar in Botswana / BWP 1 = USD ... (buying),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:31,
1976-09,1.1514,comment
1976-10,.,No value available
1976-11,.,No value available
1976-12,1.1514,
1977-01,1.1514,
1977-02,1.1514,
1977-03,1.1514,
1977-04,1.2090,
1977-05,1.2090,
1977-06,1.2090,
1977-07,1.2090,
1977-08,1.2090,
1977-09,1.2090,
1977-10,1.2090,
1977-11,1.2090,
1977-12,1.2090,
1978-01,1.2090,
1978-02,1.2090,
1978-03,1.2090,
1978-04,1.2090,
1978-05,1.2090,
1978-06,1.2090,
1978-07,1.2090,
1978-08,1.2090,
1978-09,1.2090,
1978-10,1.2090,
1978-11,1.2090,
1978-12,1.2090,
1979-01,1.2090,
1979-02,1.2090,
1979-03,1.2090,
1979-04,1.2090,
1979-05,1.2090,
1979-06,1.2090,
1979-07,1.2090,
1979-08,1.2090,
1979-09,1.2695,
1979-10,1.2695,
1979-11,1.2695,
1979-12,1.2695,
1980-01,1.2695,
1980-02,1.2695,
1980-03,1.2695,
1980-04,1.2695,
1980-05,1.2695,
1980-06,1.2829,
1980-07,1.2883,
1980-08,1.2909,
1980-09,1.2929,
1980-10,1.2880,
1980-11,1.3471,
1980-12,1.3490,
1981-01,1.3240,
1981-02,1.2924,
1981-03,1.2766,
1981-04,1.2487,
1981-05,1.2117,
1981-06,1.1767,
1981-07,1.1219,
1981-08,1.1311,
1981-09,1.1322,
1981-10,1.1240,
1981-11,1.1421,
1981-12,1.1391,
1982-01,1.1198,
1982-02,1.1087,
1982-03,1.0620,
1982-04,1.0733,
1982-05,0.9509,comment
1982-06,0.9123,
1982-07,0.9102,
1982-08,0.9046,
1982-09,0.8997,
1982-10,0.8902,
1982-11,0.9185,
1982-12,0.9437,
1983-01,0.9400,
1983-02,0.9341,
1983-03,0.9238,
1983-04,0.9271,
1983-05,0.9318,
1983-06,0.9193,
1983-07,0.9125,
