"",BBAI3.Q.DE.N.V.LE.F51.SK.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51.SK.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Death benefit funds / Shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:32,
2005-10,158,
2006-01,129,
2006-04,114,
2006-07,129,
2006-10,165,
2007-01,143,
2007-04,156,
2007-07,150,
2007-10,174,
2008-01,131,
2008-04,121,
2008-07,111,
2008-10,110,
2009-01,74,
2009-04,75,
2009-07,92,
2009-10,110,
2010-01,100,
2010-04,90,
2010-07,91,
2010-10,117,
2011-01,105,
2011-04,101,
2011-07,81,
2011-10,99,
2012-01,103,
2012-04,92,
2012-07,106,
2012-10,136,
2013-01,129,
2013-04,132,
2013-07,140,
2013-10,176,
2014-01,155,
2014-04,150,
2014-07,155,
