"",BBAI3.Q.DE.N.V.LE.F332A.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F332A.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Securities other than shares excluding financial derivatives over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:26,
2005-10,2493,
2006-01,2510,
2006-04,2274,
2006-07,1821,
2006-10,1687,
2007-01,3035,
2007-04,2130,
2007-07,2130,
2007-10,2607,
2008-01,2040,
2008-04,1978,
2008-07,1902,
2008-10,2246,
2009-01,2003,
2009-04,2092,
2009-07,2079,
2009-10,1703,
2010-01,1829,
2010-04,1586,
2010-07,1563,
2010-10,1436,
2011-01,1443,
2011-04,1326,
2011-07,1916,
2011-10,1732,
2012-01,2350,
2012-04,2115,
2012-07,2685,
2012-10,2175,
2013-01,813,
2013-04,730,
2013-07,877,
2013-10,547,
2014-01,599,
2014-04,621,
2014-07,636,
