"",BBK01.CELEI0,BBK01.CELEI0_FLAGS
"",short-term loans                                              debtor: Households (incl. NPISH)  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:33,
1999-01,-2.9,
1999-04,2.9,
1999-07,-0.3,
1999-10,0.4,
2000-01,-1.9,
2000-04,2.7,
2000-07,0.3,
2000-10,1.0,
2001-01,-3.1,
2001-04,1.4,
2001-07,-0.7,
2001-10,-0.8,
2002-01,-3.4,
2002-04,0.0,
2002-07,0.7,
2002-10,-0.7,
2003-01,-3.8,
2003-04,-0.2,
2003-07,-0.5,
2003-10,-3.2,
2004-01,-4.5,
2004-04,-1.2,
2004-07,0.1,
2004-10,-2.7,
2005-01,-2.9,
2005-04,-0.8,
2005-07,-0.8,
2005-10,-0.6,
2006-01,-2.4,
2006-04,-0.3,
2006-07,-0.2,
2006-10,-2.6,
2007-01,-2.0,
2007-04,0.7,
2007-07,-0.9,
2007-10,1.0,
2008-01,-0.7,
2008-04,0.0,
2008-07,0.6,
2008-10,1.4,
2009-01,-0.4,
2009-04,-0.1,
2009-07,-1.3,
2009-10,-2.5,
2010-01,-0.3,
2010-04,1.0,
2010-07,-0.8,
2010-10,-2.1,
2011-01,-0.6,
2011-04,1.0,
2011-07,-0.9,
2011-10,-1.6,
2012-01,-0.1,
2012-04,0.8,
2012-07,-0.9,
2012-10,-0.8,
2013-01,-1.5,
2013-04,-0.3,
2013-07,0.0,
2013-10,-1.3,
2014-01,0.7,
2014-04,0.4,
2014-07,-1.3,
