"",BBFN1.M.DE.N.1.A.HK.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HK.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1986-03,0.169,
1986-04,0.199,
1986-05,0.188,
1986-06,0.257,
1986-07,0.306,
1986-08,0.328,
1986-09,0.301,
1986-10,0.390,
1986-11,0.359,
1986-12,0.305,
1987-01,0.314,
1987-02,0.241,
1987-03,0.361,
1987-04,0.318,
1987-05,0.258,
1987-06,0.368,
1987-07,0.355,
1987-08,0.330,
1987-09,0.351,
1987-10,0.562,
1987-11,0.471,
1987-12,0.307,
1988-01,0.331,
1988-02,0.339,
1988-03,0.420,
1988-04,0.595,
1988-05,0.510,
1988-06,0.469,
1988-07,0.478,
1988-08,0.607,
1988-09,0.550,
1988-10,0.646,
1988-11,0.799,
1988-12,0.600,
1989-01,0.936,
1989-02,0.574,
1989-03,0.837,
1989-04,0.700,
1989-05,0.696,
1989-06,0.544,
1989-07,0.621,
1989-08,0.435,
1989-09,0.429,
1989-10,0.410,
1989-11,0.608,
1989-12,0.359,
1990-01,0.517,
1990-02,0.476,
1990-03,0.561,
1990-04,0.360,
1990-05,0.308,
1990-06,0.293,
1990-07,0.289,
1990-08,0.292,
1990-09,0.253,
1990-10,0.257,
1990-11,0.204,
1990-12,0.194,
1991-01,0.224,
1991-02,0.282,
1991-03,0.284,
1991-04,0.280,
1991-05,0.273,
1991-06,0.263,
1991-07,0.302,
1991-08,0.233,
1991-09,0.301,
1991-10,0.310,
1991-11,0.192,
1991-12,0.332,
1992-01,0.331,
1992-02,0.276,
1992-03,0.276,
1992-04,0.330,
1992-05,0.278,
1992-06,0.308,
1992-07,0.334,
1992-08,0.308,
1992-09,0.388,
1992-10,0.309,
1992-11,0.401,
1992-12,0.376,
1993-01,0.324,
1993-02,0.292,
1993-03,0.293,
1993-04,0.256,
1993-05,0.274,
1993-06,0.287,
1993-07,0.244,
1993-08,0.231,
1993-09,0.208,
1993-10,0.229,
1993-11,0.190,
1993-12,0.156,
1994-01,0.376,
1994-02,0.353,
1994-03,0.465,
1994-04,0.506,
1994-05,0.347,
1994-06,0.395,
1994-07,0.470,
1994-08,1.006,
1994-09,1.107,
1994-10,1.398,
1994-11,1.229,
1994-12,0.697,
1995-01,0.893,
1995-02,1.296,
1995-03,1.063,
1995-04,0.971,
1995-05,1.108,
1995-06,1.138,
1995-07,1.194,
1995-08,1.112,
1995-09,1.291,
1995-10,0.958,
1995-11,0.804,
1995-12,0.466,
1996-01,0.522,
1996-02,0.571,
1996-03,0.638,
1996-04,0.799,
1996-05,0.532,
1996-06,0.617,
1996-07,0.677,
1996-08,0.686,
1996-09,0.549,
1996-10,0.599,
1996-11,0.689,
1996-12,0.510,
1997-01,0.530,
1997-02,0.551,
1997-03,0.704,
1997-04,0.950,
1997-05,1.104,
1997-06,0.931,
1997-07,0.934,
1997-08,0.947,
1997-09,1.150,
1997-10,0.804,
1997-11,0.753,
1997-12,0.706,
1998-01,0.759,
1998-02,0.680,
1998-03,0.605,
1998-04,0.507,
1998-05,0.578,
1998-06,0.503,
1998-07,0.549,
1998-08,0.423,
1998-09,0.331,
1998-10,0.232,
1998-11,0.229,
1998-12,0.256,
1999-01,0.255,
1999-02,0.258,
1999-03,0.347,
1999-04,0.371,
1999-05,0.374,
1999-06,0.363,
1999-07,0.354,
1999-08,0.350,
1999-09,0.365,
1999-10,0.354,
1999-11,0.338,
1999-12,0.319,
2000-01,0.349,
2000-02,0.328,
2000-03,0.344,
2000-04,0.347,
2000-05,0.377,
2000-06,0.388,
2000-07,0.388,
2000-08,0.393,
2000-09,0.403,
2000-10,0.427,
2000-11,0.393,
2000-12,0.322,
2001-01,0.306,
2001-02,0.278,
2001-03,0.286,
2001-04,0.300,
2001-05,0.307,
2001-06,0.312,
2001-07,0.305,
2001-08,0.308,
2001-09,0.301,
2001-10,0.300,
2001-11,0.273,
2001-12,0.267,
2002-01,0.272,
2002-02,0.315,
2002-03,0.304,
2002-04,0.377,
2002-05,0.295,
2002-06,0.267,
2002-07,0.297,
2002-08,0.288,
2002-09,0.257,
2002-10,0.267,
2002-11,0.249,
2002-12,0.243,
2003-01,0.469,
2003-02,0.467,
2003-03,0.495,
2003-04,0.518,
2003-05,0.545,
2003-06,0.548,
2003-07,0.488,
2003-08,0.491,
2003-09,0.461,
2003-10,0.456,
2003-11,0.484,
2003-12,0.438,
2004-01,0.455,
2004-02,0.309,
2004-03,0.347,
2004-04,0.372,
2004-05,0.291,
2004-06,0.299,
2004-07,0.345,
2004-08,0.319,
2004-09,0.314,
2004-10,0.237,
2004-11,0.233,
2004-12,0.237,
2005-01,0.287,
2005-02,0.256,
2005-03,0.272,
2005-04,0.310,
2005-05,0.242,
2005-06,0.224,
2005-07,0.224,
2005-08,0.216,
2005-09,0.179,
2005-10,0.202,
2005-11,0.210,
2005-12,0.190,
2006-01,0.190,
2006-02,0.223,
2006-03,0.207,
2006-04,0.292,
2006-05,0.312,
2006-06,0.284,
2006-07,0.274,
2006-08,0.266,
2006-09,0.282,
2006-10,0.277,
2006-11,0.254,
2006-12,0.255,
2007-01,0.292,
2007-02,0.256,
2007-03,0.364,
2007-04,0.348,
2007-05,0.427,
2007-06,0.355,
2007-07,0.391,
2007-08,0.361,
2007-09,0.349,
2007-10,0.374,
2007-11,0.379,
2007-12,0.381,
2008-01,0.366,
2008-02,0.382,
2008-03,0.386,
2008-04,0.454,
2008-05,0.459,
2008-06,0.480,
2008-07,0.458,
2008-08,0.518,
2008-09,0.548,
2008-10,0.536,
2008-11,0.503,
2008-12,0.435,
2009-01,0.442,
2009-02,0.455,
2009-03,0.442,
2009-04,0.444,
2009-05,0.437,
2009-06,0.402,
2009-07,0.411,
2009-08,0.391,
2009-09,0.398,
2009-10,0.372,
2009-11,0.360,
2009-12,0.368,
2010-01,0.391,
2010-02,0.450,
2010-03,0.465,
2010-04,0.487,
2010-05,0.527,
2010-06,0.532,
2010-07,0.525,
2010-08,0.534,
2010-09,0.470,
2010-10,0.471,
2010-11,0.509,
2010-12,0.508,
2011-01,0.465,
2011-02,0.461,
2011-03,0.473,
2011-04,0.465,
2011-05,0.505,
2011-06,0.496,
2011-07,0.490,
2011-08,0.479,
2011-09,0.524,
2011-10,0.467,
2011-11,0.472,
2011-12,0.489,
2012-01,0.492,
2012-02,0.497,
2012-03,0.500,
2012-04,0.513,
2012-05,0.548,
2012-06,0.638,
2012-07,0.693,
2012-08,0.678,
2012-09,1.255,
2012-10,0.695,
2012-11,0.691,
2012-12,0.754,
2013-01,0.739,
2013-02,0.716,
2013-03,0.702,
2013-04,0.633,
2013-05,0.645,
2013-06,0.692,
2013-07,0.526,
2013-08,0.630,
2013-09,0.667,
2013-10,0.680,
2013-11,0.689,
2013-12,0.671,
2014-01,0.684,
2014-02,0.784,
2014-03,0.876,
2014-04,0.819,
2014-05,0.771,
2014-06,0.939,
2014-07,0.860,
2014-08,0.879,
2014-09,0.850,
2014-10,0.927,
2014-11,1.014,
2014-12,0.889,
