"",BBK01.CEH4QC,BBK01.CEH4QC_FLAGS
"",Loans debtor: All sectors                    creditor: General government  (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:59,
1991-01,2.1,
1991-04,2.1,
1991-07,2.3,
1991-10,1.4,
1992-01,2.4,
1992-04,2.1,
1992-07,2.2,
1992-10,2.1,
1993-01,2.0,
1993-04,1.5,
1993-07,2.6,
1993-10,1.9,
1994-01,3.2,
1994-04,2.6,
1994-07,1.7,
1994-10,2.0,
1995-01,3.6,
1995-04,3.5,
1995-07,1.3,
1995-10,-1.3,
1996-01,2.8,
1996-04,3.8,
1996-07,1.4,
1996-10,-4.1,
1997-01,3.0,
1997-04,3.0,
1997-07,0.3,
1997-10,-4.5,
1998-01,3.1,
1998-04,3.0,
1998-07,1.0,
1998-10,-4.9,
1999-01,-0.5,
1999-04,-0.2,
1999-07,0.0,
1999-10,1.9,
2000-01,-1.1,
2000-04,1.9,
2000-07,0.6,
2000-10,1.0,
2001-01,0.0,
2001-04,0.5,
2001-07,-0.7,
2001-10,0.5,
2002-01,-0.1,
2002-04,-0.3,
2002-07,-1.0,
2002-10,0.3,
2003-01,0.5,
2003-04,-0.5,
2003-07,-0.4,
2003-10,-1.3,
2004-01,0.9,
2004-04,-1.1,
2004-07,-4.8,
2004-10,-2.1,
2005-01,1.3,
2005-04,-2.5,
2005-07,-1.3,
2005-10,-5.1,
2006-01,-0.7,
2006-04,-0.2,
2006-07,-2.0,
2006-10,-0.8,
2007-01,-0.1,
2007-04,0.1,
2007-07,0.1,
2007-10,0.9,
2008-01,-1.9,
2008-04,4.0,
2008-07,-2.3,
2008-10,9.3,
2009-01,-1.1,
2009-04,3.3,
2009-07,4.4,
2009-10,-3.2,
2010-01,0.1,
2010-04,26.2,
2010-07,-8.0,
2010-10,36.2,
2011-01,-10.5,
2011-04,14.4,
2011-07,-6.5,
2011-10,-5.1,
2012-01,6.1,
2012-04,29.3,
2012-07,5.0,
2012-10,13.4,
2013-01,-5.5,
2013-04,15.9,
2013-07,-13.6,
2013-10,11.4,
2014-01,-8.2,
