"",BBK01.CEHK0B,BBK01.CEHK0B_FLAGS
"",Other equity debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:24,
1991-01,0.5,
1991-04,0.2,
1991-07,0.1,
1991-10,0.6,
1992-01,0.8,
1992-04,0.0,
1992-07,0.7,
1992-10,0.1,
1993-01,0.6,
1993-04,0.1,
1993-07,0.7,
1993-10,0.2,
1994-01,0.4,
1994-04,0.6,
1994-07,0.5,
1994-10,-1.0,
1995-01,3.6,
1995-04,0.2,
1995-07,0.2,
1995-10,0.7,
1996-01,1.4,
1996-04,0.7,
1996-07,0.3,
1996-10,0.9,
1997-01,1.4,
1997-04,0.5,
1997-07,1.1,
1997-10,1.6,
1998-01,1.0,
1998-04,1.1,
1998-07,1.0,
1998-10,0.4,
1999-01,0.5,
1999-04,0.1,
1999-07,1.2,
1999-10,3.2,
2000-01,1.0,
2000-04,1.4,
2000-07,3.8,
2000-10,0.0,
2001-01,0.8,
2001-04,1.8,
2001-07,-1.7,
2001-10,16.8,
2002-01,10.9,
2002-04,4.3,
2002-07,3.6,
2002-10,2.2,
2003-01,-6.8,
2003-04,2.6,
2003-07,0.0,
2003-10,-0.2,
2004-01,-2.2,
2004-04,-0.7,
2004-07,1.8,
2004-10,-4.2,
2005-01,-0.1,
2005-04,-0.6,
2005-07,-1.5,
2005-10,17.3,
2006-01,-0.3,
2006-04,4.4,
2006-07,-1.1,
2006-10,0.5,
2007-01,8.1,
2007-04,-0.2,
2007-07,11.5,
2007-10,7.5,
2008-01,-2.5,
2008-04,0.0,
2008-07,6.8,
2008-10,12.0,
2009-01,-6.4,
2009-04,-6.7,
2009-07,0.2,
2009-10,-3.4,
2010-01,2.7,
2010-04,-5.8,
2010-07,2.4,
2010-10,2.4,
2011-01,1.9,
2011-04,-4.4,
2011-07,4.0,
2011-10,-1.8,
2012-01,0.8,
2012-04,-3.5,
2012-07,-1.1,
2012-10,-0.5,
2013-01,-3.4,
2013-04,-0.6,
2013-07,-2.9,
2013-10,-3.0,
2014-01,0.5,
