"",BBK01.CEBW28,BBK01.CEBW28_FLAGS
"",Claims on insurance corporations debtor: All sectors                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:26,
1991-01,419.5,
1991-04,421.2,
1991-07,433.4,
1991-10,437.6,
1992-01,457.8,
1992-04,466.6,
1992-07,474.3,
1992-10,477.1,
1993-01,489.7,
1993-04,505.7,
1993-07,516.2,
1993-10,524.8,
1994-01,533.6,
1994-04,556.3,
1994-07,567.8,
1994-10,573.8,
1995-01,605.6,
1995-04,617.5,
1995-07,631.6,
1995-10,642.3,
1996-01,672.0,
1996-04,684.1,
1996-07,696.1,
1996-10,703.7,
1997-01,734.5,
1997-04,747.2,
1997-07,762.4,
1997-10,766.2,
1998-01,794.0,
1998-04,811.5,
1998-07,823.6,
1998-10,833.5,
1999-01,855.5,
1999-04,869.4,
1999-07,885.5,
1999-10,906.3,
2000-01,930.3,
2000-04,943.7,
2000-07,958.5,
2000-10,968.6,
2001-01,992.1,
2001-04,1004.7,
2001-07,1022.9,
2001-10,1036.2,
2002-01,1064.2,
2002-04,1076.8,
2002-07,1092.1,
2002-10,1078.8,
2003-01,1097.8,
2003-04,1110.9,
2003-07,1123.5,
2003-10,1132.4,
2004-01,1149.8,
2004-04,1159.1,
2004-07,1170.3,
2004-10,1187.1,
2005-01,1206.3,
2005-04,1217.2,
2005-07,1231.4,
2005-10,1264.9,
2006-01,1277.2,
2006-04,1290.0,
2006-07,1304.9,
2006-10,1319.9,
2007-01,1331.6,
2007-04,1341.2,
2007-07,1352.8,
2007-10,1378.6,
2008-01,1383.6,
2008-04,1388.7,
2008-07,1393.9,
2008-10,1398.3,
2009-01,1413.0,
2009-04,1428.9,
2009-07,1445.0,
2009-10,1461.6,
2010-01,1480.6,
2010-04,1500.4,
2010-07,1519.6,
2010-10,1541.7,
2011-01,1554.7,
2011-04,1567.1,
2011-07,1579.4,
2011-10,1594.3,
2012-01,1615.1,
2012-04,1633.1,
2012-07,1651.7,
2012-10,1675.4,
2013-01,1701.6,
2013-04,1720.8,
2013-07,1735.8,
2013-10,1754.5,
2014-01,1786.7,
