"",BBK01.SUD255,BBK01.SUD255_FLAGS
"","New business (volumes) of German banks / Loans for consumption to households with collateral and/or guarantees, floating rate or initial rate fixation up to 1 year",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:26:58,
2010-06,54,
2010-07,95,
2010-08,133,
2010-09,110,
2010-10,210,
2010-11,94,
2010-12,104,
2011-01,119,
2011-02,181,
2011-03,105,
2011-04,116,
2011-05,168,
2011-06,109,
2011-07,130,
2011-08,119,
2011-09,111,
2011-10,117,
2011-11,112,
2011-12,161,
2012-01,138,
2012-02,145,
2012-03,135,
2012-04,123,
2012-05,110,
2012-06,105,
2012-07,57,
2012-08,152,
2012-09,114,
2012-10,152,
2012-11,140,
2012-12,100,
2013-01,57,
2013-02,239,
2013-03,49,
2013-04,60,
2013-05,41,
2013-06,43,
2013-07,60,
2013-08,44,
2013-09,33,
2013-10,38,
2013-11,35,
2013-12,42,
2014-01,61,
2014-02,33,
2014-03,53,
2014-04,52,
2014-05,22,
2014-06,28,
2014-07,102,
2014-08,20,
2014-09,27,
2014-10,86,
2014-11,26,
2014-12,25,Provisional value
"","General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. Loans for consumption are definded as loans granted for the purpose of personal use in the consumption of goods and services. Excluding overdrafts. For the purpose of MFI interest rate statistics, a loan is considered to be secured if collateral (inter alia financial collateral, real estate collateral, debt securities) in at least the same value as the loan amount has been posted, pledged or assigned. p = Provisional",
