"",BBSF2.M.1.P.00000.IMM01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
2001-09,1301,
2001-10,1315,
2001-11,1783,
2001-12,1776,
2002-01,275,
2002-02,1923,
2002-03,1913,
2002-04,1805,
2002-05,3591,
2002-06,3698,
2002-07,4041,
2002-08,4349,
2002-09,4868,
2002-10,5251,
2002-11,6522,
2002-12,6423,
2003-01,6875,
2003-02,7653,
2003-03,7861,
2003-04,8102,
2003-05,8242,
2003-06,8359,
2003-07,8694,
2003-08,8776,
2003-09,8640,
2003-10,8473,
2003-11,8858,
2003-12,7677,
2004-01,7258,
2004-02,6904,
2004-03,6853,
2004-04,6611,
2004-05,6383,
2004-06,6119,
2004-07,5895,
2004-08,5890,
2004-09,5906,
2004-10,5756,
2004-11,5641,
2004-12,5264,
2005-01,5132,
2005-02,5106,
2005-03,4852,
2005-04,4899,
2005-05,5039,
2005-06,4912,
2005-07,4962,
2005-08,5068,
2005-09,5094,
2005-10,5065,
2005-11,5171,
2005-12,4368,
2006-01,2781,
2006-02,2352,
2006-03,2163,
2006-04,2423,
2006-05,2685,
2006-06,2766,
2006-07,2742,
2006-08,2867,
2006-09,3953,
2006-10,4436,
2006-11,4589,
2006-12,4793,
2007-01,5494,
2007-02,5846,
2007-03,5985,
2007-04,6375,
2007-05,6329,
2007-06,6165,
2007-07,6725,
2007-08,6558,
2007-09,8699,
2007-10,8081,
2007-11,8119,
2007-12,8330,
2008-01,7915,
2008-02,7833,
2008-03,7609,
2008-04,7407,
2008-05,7362,
2008-06,6801,
2008-07,6560,
2008-08,6601,
2008-09,6100,
2008-10,4693,
2008-11,4288,
2008-12,3978,
2009-01,4121,
2009-02,4268,
2009-03,4267,
2009-04,4507,
2009-05,4640,
2009-06,4806,
2009-07,5207,
2009-08,5477,
2009-09,5697,
2009-10,5846,
2009-11,5803,
2009-12,5563,
2010-01,5804,
2010-02,6010,
2010-03,6053,
2010-04,6112,
2010-05,5962,
2010-06,5824,
2010-07,5726,
2010-08,5927,
2010-09,5981,
2010-10,6052,
2010-11,5969,
2010-12,5661,
2011-01,5515,
2011-02,5484,
2011-03,5043,
2011-04,4950,
2011-05,4955,
2011-06,4902,
2011-07,4828,
2011-08,4839,
2011-09,4564,
2011-10,4576,
2011-11,4494,
2011-12,4413,
2012-01,4441,
2012-02,4437,
2012-03,4569,
2012-04,4570,
2012-05,4206,
2012-06,4448,
2012-07,4240,
2012-08,4485,
2012-09,4565,
2012-10,4736,
2012-11,4798,
2012-12,4624,
2013-01,4866,
2013-02,5155,
2013-03,5225,
2013-04,5393,
2013-05,5425,
2013-06,5636,
2013-07,5994,
2013-08,6079,
2013-09,6084,
2013-10,6152,
2013-11,6131,
2013-12,5967,
2014-01,6055,
2014-02,6317,
2014-03,6224,
2014-04,5900,
2014-05,6231,
2014-06,5941,
2014-07,5976,
2014-08,5912,
2014-09,5944,
2014-10,6082,
2014-11,6220,
