"",BBSF2.M.1.S.I1250.GEF01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.GEF01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net sales receipts / Insurance corporations / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:46,
2004-01,34,
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,6,
2004-07,-,Nothing exists
2004-08,-,Nothing exists
2004-09,-,Nothing exists
2004-10,-,Nothing exists
2004-11,83,
2004-12,31,
2005-01,51,
2005-02,-,Nothing exists
2005-03,1819,
2005-04,187,
2005-05,3,
2005-06,51,
2005-07,355,
2005-08,226,
2005-09,-37,
2005-10,26,
2005-11,24,
2005-12,279,
2006-01,201,
2006-02,488,
2006-03,107,
2006-04,637,
2006-05,201,
2006-06,-27,
2006-07,199,
2006-08,2196,
2006-09,170,
2006-10,356,
2006-11,-538,
2006-12,153,
2007-01,-51,
2007-02,632,
2007-03,53,
2007-04,-2531,
2007-05,-45,
2007-06,-15,
2007-07,81,
2007-08,-103,
2007-09,9,
2007-10,-16,
2007-11,121,
2007-12,715,
2008-01,-3711,
2008-02,-107,
2008-03,-34,
2008-04,-137,
2008-05,97,
2008-06,77,
2008-07,19,
2008-08,-26,
2008-09,-143,
2008-10,-76,
2008-11,-136,
2008-12,-487,
2009-01,2,
2009-02,-42,
2009-03,111,
2009-04,-835,
2009-05,-28,
2009-06,565,
2009-07,-73,
2009-08,115,
2009-09,-314,
2009-10,-486,
2009-11,291,
2009-12,411,
2010-01,1049,
2010-02,-490,
2010-03,636,
2010-04,587,
2010-05,308,
2010-06,93,
2010-07,333,
2010-08,657,
2010-09,564,
2010-10,-74,
2010-11,525,
2010-12,-154,
2011-01,-856,
2011-02,-43,
2011-03,275,
2011-04,149,
2011-05,-117,
2011-06,162,
2011-07,1397,
2011-08,232,
2011-09,-140,
2011-10,121,
2011-11,-164,
2011-12,241,
2012-01,-5,
2012-02,689,
2012-03,253,
2012-04,-4,
2012-05,-307,
2012-06,348,
2012-07,353,
2012-08,145,
2012-09,-663,
2012-10,91,
2012-11,-482,
2012-12,-214,
2013-01,818,
2013-02,328,
2013-03,-186,
2013-04,392,
2013-05,774,
2013-06,495,
2013-07,115,
2013-08,149,
2013-09,360,
2013-10,380,
2013-11,114,
2013-12,269,
2014-01,7,
2014-02,460,
2014-03,-292,
2014-04,223,
2014-05,212,
2014-06,143,
2014-07,-1309,
2014-08,254,
2014-09,-11,
2014-10,853,
2014-11,291,
