"",BBAI3.Q.DE.N.V.LE.F51M.S1251.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.S1251.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Insurance corporations (ICs) / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:03,
2005-10,70183,
2006-01,68079,
2006-04,62962,
2006-07,70449,
2006-10,73126,
2007-01,76742,
2007-04,85512,
2007-07,88749,
2007-10,85466,
2008-01,76422,
2008-04,70734,
2008-07,63766,
2008-10,58721,
2009-01,47391,
2009-04,47366,
2009-07,57362,
2009-10,58245,
2010-01,62443,
2010-04,54766,
2010-07,53317,
2010-10,57275,
2011-01,62095,
2011-04,58593,
2011-07,46033,
2011-10,47353,
2012-01,57015,
2012-04,52108,
2012-07,59695,
2012-10,67151,
2013-01,73134,
2013-04,74575,
2013-07,76579,
2013-10,85108,
2014-01,82331,
2014-04,82529,
2014-07,84249,
