"",BBSF2.M.1.T.00000.DER01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.DER01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Derivative funds / Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:28,
2009-09,40,
2009-10,35,
2009-11,19,
2009-12,21,
2010-01,20,
2010-02,19,
2010-03,21,
2010-04,21,
2010-05,20,
2010-06,20,
2010-07,21,
2010-08,20,
2010-09,21,
2010-10,22,
2010-11,21,
2010-12,22,
2011-01,18,
2011-02,18,
2011-03,1,
2011-04,1,
2011-05,1,
2011-06,1,
2011-07,1,
2011-08,1,
2011-09,1,
2011-10,1,
2011-11,1,
2011-12,1,
2012-01,1,
2012-02,1,
2012-03,1,
2012-04,1,
2012-05,1,
2012-06,1,
2012-07,1,
2012-08,1,
2012-09,1,
2012-10,1,
2012-11,2,
2012-12,2,
2013-01,2,
2013-02,2,
2013-03,2,
2013-04,2,
2013-05,2,
2013-06,2,
2013-07,2,
2013-08,2,
2013-09,2,
2013-10,2,
2013-11,2,
2013-12,2,
2014-01,2,
2014-02,2,
2014-03,2,
2014-04,2,
2014-05,2,
2014-06,2,
2014-07,2,
2014-08,2,
2014-09,2,
2014-10,1,
2014-11,2,
