"",BBAI3.Q.DE.N.V.LE.F4.KV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F4.KV.A1.S.1.N.E.Z_FLAGS
"",Assets / Health insurance companies / Loans / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:35,
2005-10,12833,
2006-01,13411,
2006-04,14050,
2006-07,14290,
2006-10,14565,
2007-01,14677,
2007-04,14950,
2007-07,15204,
2007-10,15847,
2008-01,16479,
2008-04,17312,
2008-07,17919,
2008-10,18881,
2009-01,21196,
2009-04,23347,
2009-07,24156,
2009-10,25439,
2010-01,26050,
2010-04,26406,
2010-07,27551,
2010-10,27658,
2011-01,28215,
2011-04,28792,
2011-07,29376,
2011-10,30678,
2012-01,30610,
2012-04,30936,
2012-07,30855,
2012-10,31751,
2013-01,32565,
2013-04,33065,
2013-07,33567,
2013-10,33716,
2014-01,34523,
2014-04,34820,
2014-07,35105,
