"",BBK01.CEBEBQ,BBK01.CEBEBQ_FLAGS
"",short-term loans debtor: Insurance corporations                    creditor: All sectors (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:48,
1991-01,10.2,
1991-04,10.5,
1991-07,10.5,
1991-10,10.4,
1992-01,11.2,
1992-04,12.0,
1992-07,11.7,
1992-10,11.6,
1993-01,12.2,
1993-04,12.5,
1993-07,13.0,
1993-10,12.9,
1994-01,13.5,
1994-04,14.3,
1994-07,13.8,
1994-10,13.9,
1995-01,15.5,
1995-04,15.2,
1995-07,15.4,
1995-10,14.6,
1996-01,15.9,
1996-04,16.5,
1996-07,15.8,
1996-10,15.9,
1997-01,16.5,
1997-04,17.1,
1997-07,17.3,
1997-10,18.1,
1998-01,18.5,
1998-04,19.4,
1998-07,20.5,
1998-10,20.7,
1999-01,20.8,
1999-04,21.6,
1999-07,21.8,
1999-10,21.8,
2000-01,23.7,
2000-04,23.7,
2000-07,24.2,
2000-10,23.7,
2001-01,24.8,
2001-04,25.3,
2001-07,26.3,
2001-10,27.3,
2002-01,27.9,
2002-04,28.5,
2002-07,31.3,
2002-10,32.1,
2003-01,33.5,
2003-04,33.2,
2003-07,33.1,
2003-10,32.0,
2004-01,34.5,
2004-04,34.8,
2004-07,35.8,
2004-10,35.2,
2005-01,26.4,
2005-04,24.6,
2005-07,28.6,
2005-10,22.3,
2006-01,22.2,
2006-04,22.2,
2006-07,18.1,
2006-10,18.8,
2007-01,18.1,
2007-04,19.6,
2007-07,19.9,
2007-10,19.7,
2008-01,18.8,
2008-04,17.0,
2008-07,18.7,
2008-10,15.1,
2009-01,14.7,
2009-04,13.9,
2009-07,13.7,
2009-10,13.5,
2010-01,14.3,
2010-04,14.6,
2010-07,15.4,
2010-10,17.1,
2011-01,15.2,
2011-04,14.9,
2011-07,15.1,
2011-10,15.4,
2012-01,15.7,
2012-04,17.2,
2012-07,17.4,
2012-10,17.2,
2013-01,17.8,
2013-04,18.3,
2013-07,15.1,
2013-10,15.9,
2014-01,17.2,
