"",BBEX3.D.HRK.USD.CA.AC.000,BBEX3.D.HRK.USD.CA.AC.000_FLAGS
1999-01-23,.,No value available
1999-01-24,.,No value available
1999-01-25,.,No value available
1999-01-26,.,No value available
1999-01-27,.,No value available
1999-01-28,.,No value available
1999-01-29,.,No value available
1999-01-30,6.5276500,
1999-01-31,.,No value available
1999-02-01,.,No value available
1999-02-02,.,No value available
1999-02-03,.,No value available
1999-02-04,.,No value available
1999-02-05,.,No value available
1999-02-06,.,No value available
1999-02-07,.,No value available
1999-02-08,.,No value available
1999-02-09,.,No value available
1999-02-10,.,No value available
1999-02-11,.,No value available
1999-02-12,.,No value available
1999-02-13,6.6704000,
1999-02-14,.,No value available
1999-02-15,.,No value available
1999-02-16,.,No value available
1999-02-17,.,No value available
1999-02-18,.,No value available
1999-02-19,.,No value available
1999-02-20,.,No value available
1999-02-21,.,No value available
1999-02-22,.,No value available
1999-02-23,.,No value available
1999-02-24,.,No value available
1999-02-25,.,No value available
1999-02-26,.,No value available
1999-02-27,6.8858500,
1999-02-28,.,No value available
1999-03-01,.,No value available
1999-03-02,.,No value available
1999-03-03,.,No value available
1999-03-04,.,No value available
1999-03-05,.,No value available
1999-03-06,.,No value available
1999-03-07,.,No value available
1999-03-08,.,No value available
1999-03-09,.,No value available
1999-03-10,.,No value available
1999-03-11,.,No value available
1999-03-12,.,No value available
1999-03-13,.,No value available
1999-03-14,.,No value available
1999-03-15,.,No value available
1999-03-16,6.9330500,
1999-03-17,.,No value available
1999-03-18,.,No value available
1999-03-19,.,No value available
1999-03-20,.,No value available
1999-03-21,.,No value available
1999-03-22,.,No value available
1999-03-23,.,No value available
1999-03-24,.,No value available
1999-03-25,.,No value available
1999-03-26,.,No value available
1999-03-27,.,No value available
1999-03-28,.,No value available
1999-03-29,.,No value available
1999-03-30,.,No value available
1999-03-31,7.0993940,
1999-04-01,.,No value available
1999-04-02,.,No value available
1999-04-03,.,No value available
1999-04-04,.,No value available
1999-04-05,.,No value available
1999-04-06,.,No value available
1999-04-07,.,No value available
1999-04-08,.,No value available
1999-04-09,.,No value available
1999-04-10,.,No value available
1999-04-11,.,No value available
1999-04-12,.,No value available
1999-04-13,.,No value available
1999-04-14,.,No value available
1999-04-15,7.0337755,
1999-04-16,.,No value available
1999-04-17,.,No value available
1999-04-18,.,No value available
1999-04-19,.,No value available
1999-04-20,.,No value available
1999-04-21,.,No value available
1999-04-22,.,No value available
1999-04-23,.,No value available
1999-04-24,.,No value available
1999-04-25,.,No value available
1999-04-26,.,No value available
1999-04-27,.,No value available
1999-04-28,.,No value available
1999-04-29,.,No value available
1999-04-30,7.1754365,
1999-05-01,.,No value available
1999-05-02,.,No value available
1999-05-03,.,No value available
1999-05-04,.,No value available
1999-05-05,.,No value available
1999-05-06,.,No value available
1999-05-07,.,No value available
1999-05-08,.,No value available
1999-05-09,.,No value available
1999-05-10,.,No value available
1999-05-11,.,No value available
1999-05-12,.,No value available
1999-05-13,.,No value available
1999-05-14,.,No value available
1999-05-15,7.1259495,
1999-05-16,.,No value available
1999-05-17,.,No value available
1999-05-18,.,No value available
1999-05-19,.,No value available
1999-05-20,.,No value available
1999-05-21,.,No value available
1999-05-22,.,No value available
1999-05-23,.,No value available
1999-05-24,.,No value available
1999-05-25,.,No value available
1999-05-26,.,No value available
1999-05-27,.,No value available
1999-05-28,.,No value available
1999-05-29,7.2558895,
1999-05-30,.,No value available
1999-05-31,.,No value available
1999-06-01,.,No value available
1999-06-02,.,No value available
1999-06-03,.,No value available
1999-06-04,.,No value available
1999-06-05,.,No value available
1999-06-06,.,No value available
1999-06-07,.,No value available
1999-06-08,.,No value available
1999-06-09,.,No value available
1999-06-10,.,No value available
1999-06-11,.,No value available
1999-06-12,.,No value available
1999-06-13,.,No value available
1999-06-14,.,No value available
1999-06-15,7.2758860,
1999-06-16,.,No value available
1999-06-17,.,No value available
1999-06-18,.,No value available
1999-06-19,.,No value available
1999-06-20,.,No value available
1999-06-21,.,No value available
1999-06-22,.,No value available
1999-06-23,.,No value available
1999-06-24,.,No value available
1999-06-25,.,No value available
1999-06-26,.,No value available
1999-06-27,.,No value available
1999-06-28,.,No value available
1999-06-29,.,No value available
1999-06-30,7.3527730,
1999-07-01,.,No value available
1999-07-02,.,No value available
1999-07-03,.,No value available
1999-07-04,.,No value available
1999-07-05,.,No value available
1999-07-06,.,No value available
1999-07-07,.,No value available
1999-07-08,.,No value available
1999-07-09,.,No value available
1999-07-10,.,No value available
1999-07-11,.,No value available
1999-07-12,.,No value available
1999-07-13,.,No value available
1999-07-14,.,No value available
1999-07-15,7.4869960,
1999-07-16,.,No value available
1999-07-17,.,No value available
1999-07-18,.,No value available
1999-07-19,.,No value available
1999-07-20,.,No value available
1999-07-21,.,No value available
1999-07-22,.,No value available
1999-07-23,.,No value available
1999-07-24,.,No value available
1999-07-25,.,No value available
1999-07-26,.,No value available
1999-07-27,.,No value available
1999-07-28,.,No value available
1999-07-29,.,No value available
1999-07-30,.,No value available
1999-07-31,7.1230845,
1999-08-01,.,No value available
1999-08-02,.,No value available
1999-08-03,.,No value available
1999-08-04,.,No value available
1999-08-05,.,No value available
1999-08-06,.,No value available
1999-08-07,.,No value available
1999-08-08,.,No value available
1999-08-09,.,No value available
1999-08-10,.,No value available
1999-08-11,.,No value available
1999-08-12,.,No value available
1999-08-13,.,No value available
1999-08-14,7.1395310,
1999-08-15,.,No value available
1999-08-16,.,No value available
1999-08-17,.,No value available
1999-08-18,.,No value available
1999-08-19,.,No value available
1999-08-20,.,No value available
1999-08-21,.,No value available
1999-08-22,.,No value available
1999-08-23,.,No value available
1999-08-24,.,No value available
1999-08-25,.,No value available
1999-08-26,.,No value available
1999-08-27,.,No value available
1999-08-28,.,No value available
1999-08-29,.,No value available
1999-08-30,.,No value available
1999-08-31,7.2889755,
1999-09-01,.,No value available
1999-09-02,.,No value available
1999-09-03,.,No value available
1999-09-04,.,No value available
1999-09-05,.,No value available
1999-09-06,.,No value available
1999-09-07,.,No value available
1999-09-08,.,No value available
1999-09-09,.,No value available
1999-09-10,.,No value available
1999-09-11,.,No value available
1999-09-12,.,No value available
1999-09-13,.,No value available
1999-09-14,.,No value available
1999-09-15,7.3681485,
1999-09-16,.,No value available
1999-09-17,.,No value available
1999-09-18,.,No value available
1999-09-19,.,No value available
1999-09-20,.,No value available
1999-09-21,.,No value available
1999-09-22,.,No value available
1999-09-23,.,No value available
1999-09-24,.,No value available
1999-09-25,.,No value available
1999-09-26,.,No value available
1999-09-27,.,No value available
1999-09-28,.,No value available
1999-09-29,.,No value available
1999-09-30,7.2645380,
1999-10-01,.,No value available
1999-10-02,.,No value available
1999-10-03,.,No value available
1999-10-04,.,No value available
1999-10-05,.,No value available
1999-10-06,.,No value available
1999-10-07,.,No value available
1999-10-08,.,No value available
1999-10-09,.,No value available
1999-10-10,.,No value available
1999-10-11,.,No value available
1999-10-12,.,No value available
1999-10-13,.,No value available
1999-10-14,.,No value available
1999-10-15,7.1012120,
1999-10-16,.,No value available
1999-10-17,.,No value available
1999-10-18,.,No value available
1999-10-19,.,No value available
1999-10-20,.,No value available
1999-10-21,.,No value available
1999-10-22,.,No value available
1999-10-23,.,No value available
1999-10-24,.,No value available
1999-10-25,.,No value available
1999-10-26,.,No value available
1999-10-27,.,No value available
1999-10-28,.,No value available
1999-10-29,.,No value available
1999-10-30,7.2981870,
1999-10-31,.,No value available
1999-11-01,.,No value available
1999-11-02,.,No value available
1999-11-03,.,No value available
1999-11-04,.,No value available
1999-11-05,.,No value available
1999-11-06,.,No value available
1999-11-07,.,No value available
1999-11-08,.,No value available
1999-11-09,.,No value available
1999-11-10,.,No value available
1999-11-11,.,No value available
1999-11-12,.,No value available
1999-11-13,.,No value available
1999-11-14,.,No value available
1999-11-15,.,No value available
1999-11-16,7.4215745,
1999-11-17,.,No value available
1999-11-18,.,No value available
1999-11-19,.,No value available
1999-11-20,.,No value available
1999-11-21,.,No value available
1999-11-22,.,No value available
1999-11-23,.,No value available
1999-11-24,.,No value available
1999-11-25,.,No value available
1999-11-26,.,No value available
1999-11-27,.,No value available
1999-11-28,.,No value available
1999-11-29,.,No value available
1999-11-30,7.5978930,
1999-12-01,.,No value available
1999-12-02,.,No value available
1999-12-03,.,No value available
1999-12-04,.,No value available
1999-12-05,.,No value available
1999-12-06,.,No value available
1999-12-07,.,No value available
1999-12-08,.,No value available
1999-12-09,.,No value available
1999-12-10,.,No value available
1999-12-11,.,No value available
1999-12-12,.,No value available
1999-12-13,.,No value available
1999-12-14,.,No value available
1999-12-15,7.6348055,
1999-12-16,.,No value available
1999-12-17,.,No value available
1999-12-18,.,No value available
1999-12-19,.,No value available
1999-12-20,.,No value available
1999-12-21,.,No value available
1999-12-22,.,No value available
1999-12-23,.,No value available
1999-12-24,.,No value available
1999-12-25,.,No value available
1999-12-26,.,No value available
1999-12-27,.,No value available
1999-12-28,.,No value available
1999-12-29,.,No value available
1999-12-30,.,No value available
1999-12-31,7.6772815,
2000-01-01,.,No value available
2000-01-02,.,No value available
2000-01-03,.,No value available
2000-01-04,.,No value available
2000-01-05,.,No value available
2000-01-06,.,No value available
2000-01-07,.,No value available
2000-01-08,.,No value available
2000-01-09,.,No value available
2000-01-10,.,No value available
2000-01-11,.,No value available
2000-01-12,.,No value available
2000-01-13,.,No value available
2000-01-14,.,No value available
2000-01-15,7.5186095,
2000-01-16,.,No value available
2000-01-17,.,No value available
2000-01-18,.,No value available
2000-01-19,.,No value available
2000-01-20,.,No value available
2000-01-21,.,No value available
2000-01-22,.,No value available
2000-01-23,.,No value available
2000-01-24,.,No value available
2000-01-25,.,No value available
2000-01-26,.,No value available
2000-01-27,.,No value available
2000-01-28,.,No value available
2000-01-29,7.8602670,
2000-01-30,.,No value available
2000-01-31,.,No value available
2000-02-01,.,No value available
2000-02-02,.,No value available
2000-02-03,.,No value available
2000-02-04,.,No value available
2000-02-05,.,No value available
2000-02-06,.,No value available
2000-02-07,.,No value available
2000-02-08,.,No value available
2000-02-09,.,No value available
2000-02-10,.,No value available
2000-02-11,.,No value available
2000-02-12,.,No value available
2000-02-13,.,No value available
2000-02-14,.,No value available
2000-02-15,7.8137375,
2000-02-16,.,No value available
2000-02-17,.,No value available
2000-02-18,.,No value available
2000-02-19,.,No value available
2000-02-20,.,No value available
2000-02-21,.,No value available
2000-02-22,.,No value available
2000-02-23,.,No value available
2000-02-24,.,No value available
2000-02-25,.,No value available
2000-02-26,.,No value available
2000-02-27,.,No value available
2000-02-28,.,No value available
2000-02-29,8.0107345,
2000-03-01,.,No value available
2000-03-02,.,No value available
2000-03-03,.,No value available
2000-03-04,.,No value available
2000-03-05,.,No value available
2000-03-06,.,No value available
2000-03-07,.,No value available
2000-03-08,.,No value available
2000-03-09,.,No value available
2000-03-10,.,No value available
2000-03-11,.,No value available
2000-03-12,.,No value available
2000-03-13,.,No value available
2000-03-14,.,No value available
2000-03-15,8.0404535,
2000-03-16,.,No value available
2000-03-17,.,No value available
2000-03-18,.,No value available
2000-03-19,.,No value available
2000-03-20,.,No value available
2000-03-21,.,No value available
2000-03-22,.,No value available
2000-03-23,.,No value available
2000-03-24,.,No value available
2000-03-25,.,No value available
2000-03-26,.,No value available
2000-03-27,.,No value available
2000-03-28,.,No value available
2000-03-29,.,No value available
2000-03-30,.,No value available
2000-03-31,8.0991565,
2000-04-01,.,No value available
2000-04-02,.,No value available
2000-04-03,.,No value available
2000-04-04,.,No value available
2000-04-05,.,No value available
2000-04-06,.,No value available
2000-04-07,.,No value available
2000-04-08,.,No value available
2000-04-09,.,No value available
2000-04-10,.,No value available
2000-04-11,.,No value available
2000-04-12,.,No value available
2000-04-13,.,No value available
2000-04-14,8.0794940,
2000-04-15,.,No value available
2000-04-16,.,No value available
2000-04-17,.,No value available
2000-04-18,.,No value available
2000-04-19,.,No value available
2000-04-20,.,No value available
2000-04-21,.,No value available
2000-04-22,.,No value available
2000-04-23,.,No value available
2000-04-24,.,No value available
2000-04-25,.,No value available
2000-04-26,.,No value available
2000-04-27,.,No value available
2000-04-28,.,No value available
2000-04-29,8.5320680,
2000-04-30,.,No value available
2000-05-01,.,No value available
2000-05-02,.,No value available
2000-05-03,.,No value available
2000-05-04,.,No value available
2000-05-05,.,No value available
2000-05-06,.,No value available
2000-05-07,.,No value available
2000-05-08,.,No value available
2000-05-09,.,No value available
2000-05-10,.,No value available
2000-05-11,.,No value available
2000-05-12,.,No value available
2000-05-13,.,No value available
2000-05-14,.,No value available
2000-05-15,.,No value available
2000-05-16,8.4227460,
2000-05-17,.,No value available
2000-05-18,.,No value available
2000-05-19,.,No value available
2000-05-20,.,No value available
2000-05-21,.,No value available
2000-05-22,.,No value available
2000-05-23,.,No value available
2000-05-24,.,No value available
2000-05-25,.,No value available
2000-05-26,.,No value available
2000-05-27,.,No value available
2000-05-28,.,No value available
2000-05-29,.,No value available
2000-05-30,8.3148615,
2000-05-31,.,No value available
2000-06-01,.,No value available
2000-06-02,.,No value available
2000-06-03,.,No value available
2000-06-04,.,No value available
2000-06-05,.,No value available
2000-06-06,.,No value available
2000-06-07,.,No value available
2000-06-08,.,No value available
2000-06-09,.,No value available
2000-06-10,.,No value available
2000-06-11,.,No value available
2000-06-12,.,No value available
2000-06-13,.,No value available
2000-06-14,.,No value available
2000-06-15,7.9593245,
2000-06-16,.,No value available
2000-06-17,.,No value available
2000-06-18,.,No value available
2000-06-19,.,No value available
2000-06-20,.,No value available
2000-06-21,.,No value available
2000-06-22,.,No value available
2000-06-23,.,No value available
2000-06-24,.,No value available
2000-06-25,.,No value available
2000-06-26,.,No value available
2000-06-27,.,No value available
2000-06-28,.,No value available
2000-06-29,.,No value available
2000-06-30,8.0762485,
2000-07-01,.,No value available
2000-07-02,.,No value available
2000-07-03,.,No value available
2000-07-04,.,No value available
2000-07-05,.,No value available
2000-07-06,.,No value available
2000-07-07,.,No value available
2000-07-08,.,No value available
2000-07-09,.,No value available
2000-07-10,.,No value available
2000-07-11,.,No value available
2000-07-12,.,No value available
2000-07-13,.,No value available
2000-07-14,8.1494660,
2000-07-15,.,No value available
2000-07-16,.,No value available
2000-07-17,.,No value available
2000-07-18,.,No value available
2000-07-19,.,No value available
2000-07-20,.,No value available
2000-07-21,.,No value available
2000-07-22,.,No value available
2000-07-23,.,No value available
2000-07-24,.,No value available
2000-07-25,.,No value available
2000-07-26,.,No value available
2000-07-27,.,No value available
2000-07-28,.,No value available
2000-07-29,8.2233105,
2000-07-30,.,No value available
2000-07-31,.,No value available
2000-08-01,.,No value available
2000-08-02,.,No value available
2000-08-03,.,No value available
2000-08-04,.,No value available
2000-08-05,.,No value available
2000-08-06,.,No value available
2000-08-07,.,No value available
2000-08-08,.,No value available
2000-08-09,.,No value available
2000-08-10,.,No value available
2000-08-11,.,No value available
2000-08-12,.,No value available
2000-08-13,.,No value available
2000-08-14,.,No value available
2000-08-15,8.4046835,
2000-08-16,.,No value available
2000-08-17,.,No value available
2000-08-18,.,No value available
2000-08-19,.,No value available
2000-08-20,.,No value available
2000-08-21,.,No value available
2000-08-22,.,No value available
2000-08-23,.,No value available
2000-08-24,.,No value available
2000-08-25,.,No value available
2000-08-26,.,No value available
2000-08-27,.,No value available
2000-08-28,.,No value available
2000-08-29,.,No value available
2000-08-30,.,No value available
2000-08-31,8.5440980,
2000-09-01,.,No value available
2000-09-02,.,No value available
2000-09-03,.,No value available
2000-09-04,.,No value available
2000-09-05,.,No value available
2000-09-06,.,No value available
2000-09-07,.,No value available
2000-09-08,.,No value available
2000-09-09,.,No value available
2000-09-10,.,No value available
2000-09-11,.,No value available
2000-09-12,.,No value available
2000-09-13,.,No value available
2000-09-14,.,No value available
2000-09-15,8.6627215,
2000-09-16,.,No value available
2000-09-17,.,No value available
2000-09-18,.,No value available
2000-09-19,.,No value available
2000-09-20,.,No value available
2000-09-21,.,No value available
2000-09-22,.,No value available
2000-09-23,.,No value available
2000-09-24,.,No value available
2000-09-25,.,No value available
2000-09-26,.,No value available
2000-09-27,.,No value available
2000-09-28,.,No value available
2000-09-29,.,No value available
2000-09-30,8.5712290,
2000-10-01,.,No value available
2000-10-02,.,No value available
2000-10-03,.,No value available
2000-10-04,.,No value available
2000-10-05,.,No value available
2000-10-06,.,No value available
2000-10-07,.,No value available
2000-10-08,.,No value available
2000-10-09,.,No value available
2000-10-10,.,No value available
2000-10-11,.,No value available
2000-10-12,.,No value available
2000-10-13,.,No value available
2000-10-14,8.7133210,
2000-10-15,.,No value available
2000-10-16,.,No value available
2000-10-17,.,No value available
2000-10-18,.,No value available
2000-10-19,.,No value available
2000-10-20,.,No value available
2000-10-21,.,No value available
2000-10-22,.,No value available
2000-10-23,.,No value available
2000-10-24,.,No value available
2000-10-25,.,No value available
2000-10-26,.,No value available
2000-10-27,.,No value available
2000-10-28,.,No value available
2000-10-29,.,No value available
2000-10-30,.,No value available
2000-10-31,8.9227250,
2000-11-01,.,No value available
2000-11-02,.,No value available
2000-11-03,.,No value available
2000-11-04,.,No value available
2000-11-05,.,No value available
2000-11-06,.,No value available
2000-11-07,.,No value available
2000-11-08,.,No value available
2000-11-09,.,No value available
2000-11-10,.,No value available
2000-11-11,.,No value available
2000-11-12,.,No value available
2000-11-13,.,No value available
2000-11-14,.,No value available
2000-11-15,8.8146720,
2000-11-16,.,No value available
2000-11-17,.,No value available
2000-11-18,.,No value available
2000-11-19,.,No value available
2000-11-20,.,No value available
2000-11-21,.,No value available
2000-11-22,.,No value available
2000-11-23,.,No value available
2000-11-24,.,No value available
2000-11-25,.,No value available
2000-11-26,.,No value available
2000-11-27,.,No value available
2000-11-28,.,No value available
2000-11-29,.,No value available
2000-11-30,8.8120065,
2000-12-01,.,No value available
2000-12-02,.,No value available
2000-12-03,.,No value available
2000-12-04,.,No value available
2000-12-05,.,No value available
2000-12-06,.,No value available
2000-12-07,.,No value available
2000-12-08,.,No value available
2000-12-09,.,No value available
2000-12-10,.,No value available
2000-12-11,.,No value available
2000-12-12,.,No value available
2000-12-13,.,No value available
2000-12-14,.,No value available
2000-12-15,8.6065365,
2000-12-16,.,No value available
2000-12-17,.,No value available
2000-12-18,.,No value available
2000-12-19,.,No value available
2000-12-20,.,No value available
2000-12-21,.,No value available
2000-12-22,.,No value available
2000-12-23,.,No value available
2000-12-24,.,No value available
2000-12-25,.,No value available
2000-12-26,.,No value available
2000-12-27,.,No value available
2000-12-28,.,No value available
2000-12-29,.,No value available
2000-12-30,8.2015285,
2000-12-31,.,No value available
2001-01-01,.,No value available
2001-01-02,.,No value available
2001-01-03,8.0363825,
2001-01-04,7.9431315,
2001-01-05,8.0033700,
2001-01-06,7.9726015,
2001-01-07,.,No value available
2001-01-08,.,No value available
2001-01-09,7.9868365,
2001-01-10,8.0776155,
2001-01-11,8.0784730,
2001-01-12,8.0044915,
2001-01-13,7.9809685,
2001-01-14,.,No value available
2001-01-15,.,No value available
2001-01-16,8.0459920,
2001-01-17,8.0776155,
2001-01-18,8.1034390,
2001-01-19,8.0762610,
2001-01-20,8.0732430,
2001-01-21,.,No value available
2001-01-22,.,No value available
2001-01-23,8.1869265,
2001-01-24,8.0887985,
2001-01-25,8.1868540,
2001-01-26,8.3464950,
2001-01-27,8.2616955,
2001-01-28,.,No value available
2001-01-29,.,No value available
2001-01-30,8.3396335,
2001-01-31,8.4158080,
2001-02-01,8.2774120,
2001-02-02,8.1840800,
2001-02-03,8.1901680,
2001-02-04,.,No value available
2001-02-05,.,No value available
2001-02-06,8.2032445,
2001-02-07,8.2506670,
2001-02-08,8.2966000,
2001-02-09,8.3180795,
2001-02-10,8.3640955,
2001-02-11,.,No value available
2001-02-12,.,No value available
2001-02-13,8.3028530,
2001-02-14,8.3046420,
2001-02-15,8.3929190,
2001-02-16,8.4545440,
2001-02-17,8.4684645,
2001-02-18,.,No value available
2001-02-19,.,No value available
2001-02-20,8.3792455,
2001-02-21,8.4591790,
2001-02-22,8.4231590,
2001-02-23,8.5001885,
2001-02-24,8.5255515,
2001-02-25,.,No value available
2001-02-26,.,No value available
2001-02-27,8.4903830,
2001-02-28,8.4570945,
2001-03-01,8.3988140,
2001-03-02,8.3481840,
2001-03-03,8.2569040,
2001-03-04,.,No value available
2001-03-05,.,No value available
2001-03-06,8.3079690,
2001-03-07,8.3435235,
2001-03-08,8.2720890,
2001-03-09,8.2835400,
2001-03-10,8.2649250,
2001-03-11,.,No value available
2001-03-12,.,No value available
2001-03-13,8.3144360,
2001-03-14,8.3766725,
2001-03-15,8.4208755,
2001-03-16,8.4650195,
2001-03-17,8.6222880,
2001-03-18,.,No value available
2001-03-19,.,No value available
2001-03-20,8.5395240,
2001-03-21,8.5121235,
2001-03-22,8.5575720,
2001-03-23,8.6442765,
2001-03-24,8.6007740,
2001-03-25,.,No value available
2001-03-26,.,No value available
2001-03-27,8.6287585,
2001-03-28,8.5739270,
2001-03-29,8.6808150,
2001-03-30,8.6851030,
2001-03-31,8.7635495,
2001-04-01,.,No value available
2001-04-02,.,No value available
2001-04-03,8.7831665,
2001-04-04,8.6881565,
2001-04-05,8.5760110,
2001-04-06,8.5321590,
2001-04-07,8.5227930,
2001-04-08,.,No value available
2001-04-09,.,No value available
2001-04-10,8.4925905,
2001-04-11,8.5470710,
2001-04-12,8.5898385,
2001-04-13,8.5922960,
2001-04-14,8.5427560,
2001-04-15,.,No value available
2001-04-16,.,No value available
2001-04-17,.,No value available
2001-04-18,8.6130125,
2001-04-19,8.5979700,
2001-04-20,8.5600720,
2001-04-21,8.4055700,
2001-04-22,.,No value available
2001-04-23,.,No value available
2001-04-24,8.3813545,
2001-04-25,8.4201770,
2001-04-26,8.4371160,
2001-04-27,8.4136270,
2001-04-28,8.4101995,
2001-04-29,.,No value available
2001-04-30,.,No value available
2001-05-01,.,No value available
2001-05-02,8.4636775,
2001-05-03,8.4072150,
2001-05-04,8.3764975,
2001-05-05,8.3548745,
2001-05-06,.,No value available
2001-05-07,.,No value available
2001-05-08,8.3426830,
2001-05-09,8.3660670,
2001-05-10,8.3865600,
2001-05-11,8.3285485,
2001-05-12,8.4162525,
2001-05-13,.,No value available
2001-05-14,.,No value available
2001-05-15,8.3917190,
2001-05-16,8.3706485,
2001-05-17,8.3007520,
2001-05-18,8.3054580,
2001-05-19,8.3296030,
2001-05-20,.,No value available
2001-05-21,.,No value available
2001-05-22,8.3327015,
2001-05-23,8.3510425,
2001-05-24,8.4910085,
2001-05-25,8.4726790,
2001-05-26,8.5183195,
2001-05-27,.,No value available
2001-05-28,.,No value available
2001-05-29,8.4969750,
2001-05-30,8.5749025,
2001-05-31,.,No value available
2001-06-01,8.6027025,
2001-06-02,8.6291375,
2001-06-03,.,No value available
2001-06-04,.,No value available
2001-06-05,8.5739440,
2001-06-06,8.6311565,
2001-06-07,8.5583795,
2001-06-08,8.6231285,
2001-06-09,8.6038580,
2001-06-10,.,No value available
2001-06-11,.,No value available
2001-06-12,8.6188625,
2001-06-13,8.6483935,
2001-06-14,8.5704250,
2001-06-15,8.5933830,
2001-06-16,8.4555000,
2001-06-17,.,No value available
2001-06-18,.,No value available
2001-06-19,8.5361590,
2001-06-20,8.5540900,
2001-06-21,8.6087670,
2001-06-22,8.5756795,
2001-06-23,.,No value available
2001-06-24,.,No value available
2001-06-25,.,No value available
2001-06-26,8.5279100,
2001-06-27,8.5200000,
2001-06-28,8.5140775,
2001-06-29,8.5937135,
2001-06-30,8.7014590,
2001-07-01,.,No value available
2001-07-02,.,No value available
2001-07-03,8.6586230,
2001-07-04,8.6465725,
2001-07-05,8.6419025,
2001-07-06,8.6473315,
2001-07-07,8.6533875,
2001-07-08,.,No value available
2001-07-09,.,No value available
2001-07-10,8.5661855,
2001-07-11,8.4424700,
2001-07-12,8.3798880,
2001-07-13,8.4153195,
2001-07-14,8.3820775,
2001-07-15,.,No value available
2001-07-16,.,No value available
2001-07-17,8.3596030,
2001-07-18,8.3842540,
2001-07-19,8.3022610,
2001-07-20,8.1372775,
2001-07-21,8.1400665,
2001-07-22,.,No value available
2001-07-23,.,No value available
2001-07-24,8.2191780,
2001-07-25,8.2079265,
2001-07-26,8.1847280,
2001-07-27,8.1607100,
2001-07-28,8.1869010,
2001-07-29,.,No value available
2001-07-30,.,No value available
2001-07-31,8.2523440,
2001-08-01,8.2248860,
2001-08-02,8.2092095,
2001-08-03,8.2058690,
2001-08-04,8.2424755,
2001-08-05,.,No value available
2001-08-06,.,No value available
2001-08-07,8.2482120,
2001-08-08,8.3352360,
2001-08-09,8.3682105,
2001-08-10,8.3100215,
2001-08-11,8.2803760,
2001-08-12,.,No value available
2001-08-13,.,No value available
2001-08-14,8.2684460,
2001-08-15,8.3158305,
2001-08-16,.,No value available
2001-08-17,8.1292890,
2001-08-18,8.2127615,
2001-08-19,.,No value available
2001-08-20,.,No value available
2001-08-21,8.1864890,
2001-08-22,8.2446345,
2001-08-23,8.1642830,
2001-08-24,8.3241880,
2001-08-25,8.3095970,
2001-08-26,.,No value available
2001-08-27,.,No value available
2001-08-28,8.3479690,
2001-08-29,8.4199470,
2001-08-30,8.3799185,
2001-08-31,8.4139905,
2001-09-01,8.3278760,
2001-09-02,.,No value available
2001-09-03,.,No value available
2001-09-04,8.3911460,
2001-09-05,8.4447415,
2001-09-06,8.5112740,
2001-09-07,8.4644830,
2001-09-08,8.3815805,
2001-09-09,.,No value available
2001-09-10,.,No value available
2001-09-11,8.2815095,
2001-09-12,8.3351935,
2001-09-13,8.2331865,
2001-09-14,8.2396700,
2001-09-15,8.1121345,
2001-09-16,.,No value available
2001-09-17,.,No value available
2001-09-18,8.0859420,
2001-09-19,8.1442465,
2001-09-20,8.1293145,
2001-09-21,8.1287020,
2001-09-22,8.1914315,
2001-09-23,.,No value available
2001-09-24,.,No value available
2001-09-25,8.2749375,
2001-09-26,8.2407105,
2001-09-27,8.2230060,
2001-09-28,8.2544375,
2001-09-29,8.2831260,
2001-09-30,.,No value available
2001-10-01,.,No value available
2001-10-02,8.3150320,
2001-10-03,8.2631980,
2001-10-04,8.1967215,
2001-10-05,8.2422985,
2001-10-06,8.2196270,
2001-10-07,.,No value available
2001-10-08,.,No value available
2001-10-09,8.1714595,
2001-10-10,8.2238805,
2001-10-11,8.2256295,
2001-10-12,8.2536015,
2001-10-13,8.2679340,
2001-10-14,.,No value available
2001-10-15,.,No value available
2001-10-16,8.2069875,
2001-10-17,8.2450330,
2001-10-18,8.2632045,
2001-10-19,8.2548735,
2001-10-20,8.2666890,
2001-10-21,.,No value available
2001-10-22,.,No value available
2001-10-23,8.2887850,
2001-10-24,8.3764770,
2001-10-25,8.3370675,
2001-10-26,8.3679545,
2001-10-27,8.3473340,
2001-10-28,.,No value available
2001-10-29,.,No value available
2001-10-30,8.3119920,
2001-10-31,8.2700165,
2001-11-01,8.2348065,
2001-11-02,.,No value available
2001-11-03,8.2154695,
2001-11-04,.,No value available
2001-11-05,.,No value available
2001-11-06,8.2878165,
2001-11-07,8.2729805,
2001-11-08,8.1977195,
2001-11-09,8.2598995,
2001-11-10,8.3090050,
2001-11-11,.,No value available
2001-11-12,.,No value available
2001-11-13,8.2997310,
2001-11-14,8.3634310,
2001-11-15,8.4261995,
2001-11-16,8.3994555,
2001-11-17,8.3823530,
2001-11-18,.,No value available
2001-11-19,.,No value available
2001-11-20,8.4185410,
2001-11-21,8.3861835,
2001-11-22,8.4196150,
2001-11-23,8.4330480,
2001-11-24,8.4518255,
2001-11-25,.,No value available
2001-11-26,.,No value available
2001-11-27,8.4411165,
2001-11-28,8.4612765,
2001-11-29,8.4249210,
2001-11-30,8.4062780,
2001-12-01,8.4000455,
2001-12-02,.,No value available
2001-12-03,.,No value available
2001-12-04,8.3174740,
2001-12-05,8.3090050,
2001-12-06,8.2856825,
2001-12-07,8.3286375,
