"",BBEX3.D.MXN.USD.CA.AB.000,BBEX3.D.MXN.USD.CA.AB.000_FLAGS
1993-07-05,.,No value available
1993-07-06,.,No value available
1993-07-07,.,No value available
1993-07-08,.,No value available
1993-07-09,3.1210,
1993-07-10,.,No value available
1993-07-11,.,No value available
1993-07-12,.,No value available
1993-07-13,.,No value available
1993-07-14,.,No value available
1993-07-15,.,No value available
1993-07-16,3.1210,
1993-07-17,.,No value available
1993-07-18,.,No value available
1993-07-19,.,No value available
1993-07-20,.,No value available
1993-07-21,.,No value available
1993-07-22,.,No value available
1993-07-23,3.1185,
1993-07-24,.,No value available
1993-07-25,.,No value available
1993-07-26,.,No value available
1993-07-27,.,No value available
1993-07-28,.,No value available
1993-07-29,.,No value available
1993-07-30,3.1160,
1993-07-31,.,No value available
1993-08-01,.,No value available
1993-08-02,.,No value available
1993-08-03,.,No value available
1993-08-04,.,No value available
1993-08-05,.,No value available
1993-08-06,3.1100,
1993-08-07,.,No value available
1993-08-08,.,No value available
1993-08-09,.,No value available
1993-08-10,.,No value available
1993-08-11,.,No value available
1993-08-12,.,No value available
1993-08-13,3.1030,
1993-08-14,.,No value available
1993-08-15,.,No value available
1993-08-16,.,No value available
1993-08-17,.,No value available
1993-08-18,.,No value available
1993-08-19,.,No value available
1993-08-20,3.1090,
1993-08-21,.,No value available
1993-08-22,.,No value available
1993-08-23,.,No value available
1993-08-24,.,No value available
1993-08-25,.,No value available
1993-08-26,.,No value available
1993-08-27,3.1100,
1993-08-28,.,No value available
1993-08-29,.,No value available
1993-08-30,.,No value available
1993-08-31,3.1125,
1993-09-01,.,No value available
1993-09-02,.,No value available
1993-09-03,3.1100,
1993-09-04,.,No value available
1993-09-05,.,No value available
1993-09-06,.,No value available
1993-09-07,.,No value available
1993-09-08,.,No value available
1993-09-09,.,No value available
1993-09-10,3.1105,
1993-09-11,.,No value available
1993-09-12,.,No value available
1993-09-13,.,No value available
1993-09-14,.,No value available
1993-09-15,.,No value available
1993-09-16,.,No value available
1993-09-17,3.1070,
1993-09-18,.,No value available
1993-09-19,.,No value available
1993-09-20,.,No value available
1993-09-21,.,No value available
1993-09-22,.,No value available
1993-09-23,.,No value available
1993-09-24,3.1080,
1993-09-25,.,No value available
1993-09-26,.,No value available
1993-09-27,.,No value available
1993-09-28,.,No value available
1993-09-29,.,No value available
1993-09-30,3.1230,
1993-10-01,3.1155,
1993-10-02,.,No value available
1993-10-03,.,No value available
1993-10-04,.,No value available
1993-10-05,.,No value available
1993-10-06,.,No value available
1993-10-07,.,No value available
1993-10-08,3.1110,
1993-10-09,.,No value available
1993-10-10,.,No value available
1993-10-11,.,No value available
1993-10-12,.,No value available
1993-10-13,.,No value available
1993-10-14,.,No value available
1993-10-15,3.1105,
1993-10-16,.,No value available
1993-10-17,.,No value available
1993-10-18,.,No value available
1993-10-19,.,No value available
1993-10-20,.,No value available
1993-10-21,.,No value available
1993-10-22,3.1083,
1993-10-23,.,No value available
1993-10-24,.,No value available
1993-10-25,.,No value available
1993-10-26,.,No value available
1993-10-27,.,No value available
1993-10-28,.,No value available
1993-10-29,3.1190,
1993-10-30,.,No value available
1993-10-31,.,No value available
1993-11-01,.,No value available
1993-11-02,.,No value available
1993-11-03,.,No value available
1993-11-04,.,No value available
1993-11-05,3.1435,
1993-11-06,.,No value available
1993-11-07,.,No value available
1993-11-08,.,No value available
1993-11-09,.,No value available
1993-11-10,.,No value available
1993-11-11,.,No value available
1993-11-12,3.2050,
1993-11-13,.,No value available
1993-11-14,.,No value available
1993-11-15,.,No value available
1993-11-16,.,No value available
1993-11-17,.,No value available
1993-11-18,.,No value available
1993-11-19,3.1180,
1993-11-20,.,No value available
1993-11-21,.,No value available
1993-11-22,.,No value available
1993-11-23,.,No value available
1993-11-24,.,No value available
1993-11-25,.,No value available
1993-11-26,3.1120,
1993-11-27,.,No value available
1993-11-28,.,No value available
1993-11-29,.,No value available
1993-11-30,3.1020,
1993-12-01,.,No value available
1993-12-02,.,No value available
1993-12-03,3.0990,
1993-12-04,.,No value available
1993-12-05,.,No value available
1993-12-06,.,No value available
1993-12-07,.,No value available
1993-12-08,.,No value available
1993-12-09,.,No value available
1993-12-10,3.1110,
1993-12-11,.,No value available
1993-12-12,.,No value available
1993-12-13,.,No value available
1993-12-14,.,No value available
1993-12-15,.,No value available
1993-12-16,3.1200,
1993-12-17,.,No value available
1993-12-18,.,No value available
1993-12-19,.,No value available
1993-12-20,.,No value available
1993-12-21,.,No value available
1993-12-22,.,No value available
1993-12-23,.,No value available
1993-12-24,3.1035,
1993-12-25,.,No value available
1993-12-26,.,No value available
1993-12-27,.,No value available
1993-12-28,.,No value available
1993-12-29,.,No value available
1993-12-30,3.1050,
1993-12-31,.,No value available
1994-01-01,.,No value available
1994-01-02,.,No value available
1994-01-03,.,No value available
1994-01-04,.,No value available
1994-01-05,.,No value available
1994-01-06,.,No value available
1994-01-07,3.1030,
1994-01-08,.,No value available
1994-01-09,.,No value available
1994-01-10,.,No value available
1994-01-11,.,No value available
1994-01-12,.,No value available
1994-01-13,.,No value available
1994-01-14,3.1045,
1994-01-15,.,No value available
1994-01-16,.,No value available
1994-01-17,.,No value available
1994-01-18,.,No value available
1994-01-19,.,No value available
1994-01-20,.,No value available
1994-01-21,3.1150,
1994-01-22,.,No value available
1994-01-23,.,No value available
1994-01-24,.,No value available
1994-01-25,.,No value available
1994-01-26,.,No value available
1994-01-27,.,No value available
1994-01-28,3.1040,
1994-01-29,.,No value available
1994-01-30,.,No value available
1994-01-31,3.1045,
1994-02-01,.,No value available
1994-02-02,.,No value available
1994-02-03,.,No value available
1994-02-04,3.1035,
1994-02-05,.,No value available
1994-02-06,.,No value available
1994-02-07,.,No value available
1994-02-08,.,No value available
1994-02-09,.,No value available
1994-02-10,.,No value available
1994-02-11,3.1040,
1994-02-12,.,No value available
1994-02-13,.,No value available
1994-02-14,.,No value available
1994-02-15,.,No value available
1994-02-16,.,No value available
1994-02-17,.,No value available
1994-02-18,3.1035,
1994-02-19,.,No value available
1994-02-20,.,No value available
1994-02-21,.,No value available
1994-02-22,.,No value available
1994-02-23,.,No value available
1994-02-24,.,No value available
1994-02-25,3.2300,
1994-02-26,.,No value available
1994-02-27,.,No value available
1994-02-28,3.2050,
1994-03-01,.,No value available
1994-03-02,.,No value available
1994-03-03,.,No value available
1994-03-04,3.2450,
1994-03-05,.,No value available
1994-03-06,.,No value available
1994-03-07,.,No value available
1994-03-08,.,No value available
1994-03-09,.,No value available
1994-03-10,.,No value available
1994-03-11,3.2950,
1994-03-12,.,No value available
1994-03-13,.,No value available
1994-03-14,.,No value available
1994-03-15,.,No value available
1994-03-16,.,No value available
1994-03-17,.,No value available
1994-03-18,3.3180,
1994-03-19,.,No value available
1994-03-20,.,No value available
1994-03-21,.,No value available
1994-03-22,.,No value available
1994-03-23,.,No value available
1994-03-24,.,No value available
1994-03-25,3.3586,
1994-03-26,.,No value available
1994-03-27,.,No value available
1994-03-28,.,No value available
1994-03-29,.,No value available
1994-03-30,3.3606,
1994-03-31,.,No value available
1994-04-01,.,No value available
1994-04-02,.,No value available
1994-04-03,.,No value available
1994-04-04,.,No value available
1994-04-05,.,No value available
1994-04-06,.,No value available
1994-04-07,.,No value available
1994-04-08,3.3630,
1994-04-09,.,No value available
1994-04-10,.,No value available
1994-04-11,.,No value available
1994-04-12,.,No value available
1994-04-13,.,No value available
1994-04-14,.,No value available
1994-04-15,3.3650,
1994-04-16,.,No value available
1994-04-17,.,No value available
1994-04-18,.,No value available
1994-04-19,.,No value available
1994-04-20,.,No value available
1994-04-21,.,No value available
1994-04-22,3.3680,
1994-04-23,.,No value available
1994-04-24,.,No value available
1994-04-25,.,No value available
1994-04-26,.,No value available
1994-04-27,.,No value available
1994-04-28,.,No value available
1994-04-29,3.2770,
1994-04-30,.,No value available
1994-05-01,.,No value available
1994-05-02,.,No value available
1994-05-03,.,No value available
1994-05-04,.,No value available
1994-05-05,.,No value available
1994-05-06,3.3200,
1994-05-07,.,No value available
1994-05-08,.,No value available
1994-05-09,.,No value available
1994-05-10,.,No value available
1994-05-11,.,No value available
1994-05-12,.,No value available
1994-05-13,3.3280,
1994-05-14,.,No value available
1994-05-15,.,No value available
1994-05-16,.,No value available
1994-05-17,.,No value available
1994-05-18,.,No value available
1994-05-19,.,No value available
1994-05-20,3.3180,
1994-05-21,.,No value available
1994-05-22,.,No value available
1994-05-23,.,No value available
1994-05-24,.,No value available
1994-05-25,.,No value available
1994-05-26,.,No value available
1994-05-27,3.3100,
1994-05-28,.,No value available
1994-05-29,.,No value available
1994-05-30,.,No value available
1994-05-31,3.3350,
1994-06-01,.,No value available
1994-06-02,.,No value available
1994-06-03,3.3200,
1994-06-04,.,No value available
1994-06-05,.,No value available
1994-06-06,.,No value available
1994-06-07,.,No value available
1994-06-08,.,No value available
1994-06-09,.,No value available
1994-06-10,3.3540,
1994-06-11,.,No value available
1994-06-12,.,No value available
1994-06-13,.,No value available
1994-06-14,.,No value available
1994-06-15,.,No value available
1994-06-16,.,No value available
1994-06-17,3.3750,
1994-06-18,.,No value available
1994-06-19,.,No value available
1994-06-20,.,No value available
1994-06-21,.,No value available
1994-06-22,.,No value available
1994-06-23,.,No value available
1994-06-24,3.3870,
1994-06-25,.,No value available
1994-06-26,.,No value available
1994-06-27,.,No value available
1994-06-28,.,No value available
1994-06-29,.,No value available
1994-06-30,3.3930,
1994-07-01,3.3920,
1994-07-02,.,No value available
1994-07-03,.,No value available
1994-07-04,.,No value available
1994-07-05,.,No value available
1994-07-06,.,No value available
1994-07-07,3.3990,
1994-07-08,.,No value available
1994-07-09,.,No value available
1994-07-10,.,No value available
1994-07-11,.,No value available
1994-07-12,.,No value available
1994-07-13,.,No value available
1994-07-14,.,No value available
1994-07-15,3.4010,
1994-07-16,.,No value available
1994-07-17,.,No value available
1994-07-18,.,No value available
1994-07-19,.,No value available
1994-07-20,.,No value available
1994-07-21,3.4030,
1994-07-22,.,No value available
1994-07-23,.,No value available
1994-07-24,.,No value available
1994-07-25,.,No value available
1994-07-26,.,No value available
1994-07-27,.,No value available
1994-07-28,.,No value available
1994-07-29,3.3980,
1994-07-30,.,No value available
1994-07-31,.,No value available
1994-08-01,.,No value available
1994-08-02,.,No value available
1994-08-03,.,No value available
1994-08-04,.,No value available
1994-08-05,3.3760,
1994-08-06,.,No value available
1994-08-07,.,No value available
1994-08-08,.,No value available
1994-08-09,.,No value available
1994-08-10,.,No value available
1994-08-11,.,No value available
1994-08-12,3.3960,
1994-08-13,.,No value available
1994-08-14,.,No value available
1994-08-15,.,No value available
1994-08-16,.,No value available
1994-08-17,.,No value available
1994-08-18,.,No value available
1994-08-19,3.3760,
1994-08-20,.,No value available
1994-08-21,.,No value available
1994-08-22,.,No value available
1994-08-23,.,No value available
1994-08-24,.,No value available
1994-08-25,3.3580,
1994-08-26,.,No value available
1994-08-27,.,No value available
1994-08-28,.,No value available
1994-08-29,.,No value available
1994-08-30,.,No value available
1994-08-31,3.3870,
1994-09-01,.,No value available
1994-09-02,3.3770,
1994-09-03,.,No value available
1994-09-04,.,No value available
1994-09-05,.,No value available
1994-09-06,.,No value available
1994-09-07,.,No value available
1994-09-08,3.3970,
1994-09-09,.,No value available
1994-09-10,.,No value available
1994-09-11,.,No value available
1994-09-12,.,No value available
1994-09-13,.,No value available
1994-09-14,.,No value available
1994-09-15,3.4100,
1994-09-16,.,No value available
1994-09-17,.,No value available
1994-09-18,.,No value available
1994-09-19,.,No value available
1994-09-20,.,No value available
1994-09-21,.,No value available
1994-09-22,.,No value available
1994-09-23,3.3970,
1994-09-24,.,No value available
1994-09-25,.,No value available
1994-09-26,.,No value available
1994-09-27,.,No value available
1994-09-28,.,No value available
1994-09-29,.,No value available
1994-09-30,3.3930,
1994-10-01,.,No value available
1994-10-02,.,No value available
1994-10-03,.,No value available
1994-10-04,.,No value available
1994-10-05,.,No value available
1994-10-06,3.4150,
1994-10-07,.,No value available
1994-10-08,.,No value available
1994-10-09,.,No value available
1994-10-10,.,No value available
1994-10-11,.,No value available
1994-10-12,.,No value available
1994-10-13,.,No value available
1994-10-14,3.4140,
1994-10-15,.,No value available
1994-10-16,.,No value available
1994-10-17,.,No value available
1994-10-18,.,No value available
1994-10-19,.,No value available
1994-10-20,3.4120,
1994-10-21,.,No value available
1994-10-22,.,No value available
1994-10-23,.,No value available
1994-10-24,.,No value available
1994-10-25,.,No value available
1994-10-26,.,No value available
1994-10-27,.,No value available
1994-10-28,3.4280,
1994-10-29,.,No value available
1994-10-30,.,No value available
1994-10-31,3.4340,
1994-11-01,.,No value available
1994-11-02,.,No value available
1994-11-03,.,No value available
1994-11-04,3.4290,
1994-11-05,.,No value available
1994-11-06,.,No value available
1994-11-07,.,No value available
1994-11-08,.,No value available
1994-11-09,.,No value available
1994-11-10,.,No value available
1994-11-11,3.4410,
1994-11-12,.,No value available
1994-11-13,.,No value available
1994-11-14,.,No value available
1994-11-15,.,No value available
1994-11-16,.,No value available
1994-11-17,.,No value available
1994-11-18,3.4520,
1994-11-19,.,No value available
1994-11-20,.,No value available
1994-11-21,.,No value available
1994-11-22,.,No value available
1994-11-23,.,No value available
1994-11-24,.,No value available
1994-11-25,3.4450,
1994-11-26,.,No value available
1994-11-27,.,No value available
1994-11-28,.,No value available
1994-11-29,.,No value available
1994-11-30,3.4370,
1994-12-01,.,No value available
1994-12-02,3.4360,
1994-12-03,.,No value available
1994-12-04,.,No value available
1994-12-05,.,No value available
1994-12-06,.,No value available
1994-12-07,.,No value available
1994-12-08,.,No value available
1994-12-09,3.4490,
1994-12-10,.,No value available
1994-12-11,.,No value available
1994-12-12,.,No value available
1994-12-13,.,No value available
1994-12-14,.,No value available
1994-12-15,.,No value available
1994-12-16,3.4600,
1994-12-17,.,No value available
1994-12-18,.,No value available
1994-12-19,.,No value available
1994-12-20,.,No value available
1994-12-21,.,No value available
1994-12-22,.,No value available
1994-12-23,5.0000,
1994-12-24,.,No value available
1994-12-25,.,No value available
1994-12-26,.,No value available
1994-12-27,.,No value available
1994-12-28,.,No value available
1994-12-29,.,No value available
1994-12-30,5.0000,
1994-12-31,.,No value available
1995-01-01,.,No value available
1995-01-02,.,No value available
1995-01-03,.,No value available
1995-01-04,.,No value available
1995-01-05,.,No value available
1995-01-06,5.7000,
1995-01-07,.,No value available
1995-01-08,.,No value available
1995-01-09,.,No value available
1995-01-10,.,No value available
1995-01-11,.,No value available
1995-01-12,.,No value available
1995-01-13,5.3000,
1995-01-14,.,No value available
1995-01-15,.,No value available
1995-01-16,.,No value available
1995-01-17,.,No value available
1995-01-18,.,No value available
1995-01-19,.,No value available
1995-01-20,5.7300,
1995-01-21,.,No value available
1995-01-22,.,No value available
1995-01-23,.,No value available
1995-01-24,.,No value available
1995-01-25,.,No value available
1995-01-26,.,No value available
1995-01-27,5.7500,
1995-01-28,.,No value available
1995-01-29,.,No value available
1995-01-30,.,No value available
1995-01-31,6.1500,
1995-02-01,.,No value available
1995-02-02,.,No value available
1995-02-03,5.3000,
1995-02-04,.,No value available
1995-02-05,.,No value available
1995-02-06,.,No value available
1995-02-07,.,No value available
1995-02-08,.,No value available
1995-02-09,.,No value available
1995-02-10,5.6500,
1995-02-11,.,No value available
1995-02-12,.,No value available
1995-02-13,.,No value available
1995-02-14,.,No value available
1995-02-15,.,No value available
1995-02-16,5.7500,
1995-02-17,.,No value available
1995-02-18,.,No value available
1995-02-19,.,No value available
1995-02-20,.,No value available
1995-02-21,.,No value available
1995-02-22,.,No value available
1995-02-23,.,No value available
1995-02-24,5.9000,
1995-02-25,.,No value available
1995-02-26,.,No value available
1995-02-27,.,No value available
1995-02-28,5.9700,
1995-03-01,.,No value available
1995-03-02,.,No value available
1995-03-03,6.0200,
1995-03-04,.,No value available
1995-03-05,.,No value available
1995-03-06,.,No value available
1995-03-07,.,No value available
1995-03-08,.,No value available
1995-03-09,.,No value available
1995-03-10,6.7500,
1995-03-11,.,No value available
1995-03-12,.,No value available
1995-03-13,.,No value available
1995-03-14,.,No value available
1995-03-15,.,No value available
1995-03-16,.,No value available
1995-03-17,7.2500,
1995-03-18,.,No value available
1995-03-19,.,No value available
1995-03-20,.,No value available
1995-03-21,.,No value available
1995-03-22,.,No value available
1995-03-23,.,No value available
1995-03-24,6.7900,
1995-03-25,.,No value available
1995-03-26,.,No value available
1995-03-27,.,No value available
1995-03-28,.,No value available
1995-03-29,.,No value available
1995-03-30,.,No value available
1995-03-31,6.8300,
1995-04-01,.,No value available
1995-04-02,.,No value available
1995-04-03,.,No value available
1995-04-04,.,No value available
1995-04-05,.,No value available
1995-04-06,.,No value available
1995-04-07,6.2700,
1995-04-08,.,No value available
1995-04-09,.,No value available
1995-04-10,.,No value available
1995-04-11,.,No value available
1995-04-12,.,No value available
1995-04-13,.,No value available
1995-04-14,.,No value available
1995-04-15,.,No value available
1995-04-16,.,No value available
1995-04-17,6.2500,
1995-04-18,.,No value available
1995-04-19,.,No value available
1995-04-20,.,No value available
1995-04-21,5.9900,
1995-04-22,.,No value available
1995-04-23,.,No value available
1995-04-24,.,No value available
1995-04-25,.,No value available
1995-04-26,.,No value available
1995-04-27,.,No value available
1995-04-28,5.9700,
1995-04-29,.,No value available
1995-04-30,.,No value available
1995-05-01,.,No value available
1995-05-02,.,No value available
1995-05-03,.,No value available
1995-05-04,5.8500,
1995-05-05,.,No value available
1995-05-06,.,No value available
1995-05-07,.,No value available
1995-05-08,.,No value available
1995-05-09,.,No value available
1995-05-10,.,No value available
1995-05-11,.,No value available
1995-05-12,5.9200,
1995-05-13,.,No value available
1995-05-14,.,No value available
1995-05-15,.,No value available
1995-05-16,.,No value available
1995-05-17,.,No value available
1995-05-18,.,No value available
1995-05-19,5.9100,
1995-05-20,.,No value available
1995-05-21,.,No value available
1995-05-22,.,No value available
1995-05-23,.,No value available
1995-05-24,.,No value available
1995-05-25,.,No value available
1995-05-26,6.1500,
1995-05-27,.,No value available
1995-05-28,.,No value available
1995-05-29,.,No value available
1995-05-30,.,No value available
1995-05-31,6.1500,
1995-06-01,.,No value available
1995-06-02,6.1900,
1995-06-03,.,No value available
1995-06-04,.,No value available
1995-06-05,.,No value available
1995-06-06,.,No value available
1995-06-07,.,No value available
1995-06-08,.,No value available
1995-06-09,6.2500,
1995-06-10,.,No value available
1995-06-11,.,No value available
1995-06-12,.,No value available
1995-06-13,.,No value available
1995-06-14,.,No value available
1995-06-15,.,No value available
1995-06-16,6.1700,
1995-06-17,.,No value available
1995-06-18,.,No value available
1995-06-19,.,No value available
1995-06-20,.,No value available
1995-06-21,.,No value available
1995-06-22,.,No value available
1995-06-23,6.2400,
1995-06-24,.,No value available
1995-06-25,.,No value available
1995-06-26,.,No value available
1995-06-27,.,No value available
1995-06-28,.,No value available
1995-06-29,.,No value available
1995-06-30,6.2450,
1995-07-01,.,No value available
1995-07-02,.,No value available
1995-07-03,.,No value available
1995-07-04,.,No value available
1995-07-05,.,No value available
1995-07-06,.,No value available
1995-07-07,6.1400,
1995-07-08,.,No value available
1995-07-09,.,No value available
1995-07-10,.,No value available
1995-07-11,.,No value available
1995-07-12,.,No value available
1995-07-13,.,No value available
1995-07-14,6.0300,
1995-07-15,.,No value available
1995-07-16,.,No value available
1995-07-17,.,No value available
1995-07-18,.,No value available
1995-07-19,.,No value available
1995-07-20,.,No value available
1995-07-21,6.1000,
1995-07-22,.,No value available
1995-07-23,.,No value available
1995-07-24,.,No value available
1995-07-25,.,No value available
1995-07-26,.,No value available
1995-07-27,.,No value available
1995-07-28,6.1075,
1995-07-29,.,No value available
1995-07-30,.,No value available
1995-07-31,6.1250,
1995-08-01,.,No value available
1995-08-02,.,No value available
1995-08-03,.,No value available
1995-08-04,6.1550,
1995-08-05,.,No value available
1995-08-06,.,No value available
1995-08-07,.,No value available
1995-08-08,.,No value available
1995-08-09,.,No value available
1995-08-10,.,No value available
1995-08-11,6.1350,
1995-08-12,.,No value available
1995-08-13,.,No value available
1995-08-14,.,No value available
1995-08-15,.,No value available
1995-08-16,.,No value available
1995-08-17,.,No value available
1995-08-18,6.2450,
1995-08-19,.,No value available
1995-08-20,.,No value available
1995-08-21,.,No value available
1995-08-22,.,No value available
1995-08-23,.,No value available
1995-08-24,.,No value available
1995-08-25,6.3000,
1995-08-26,.,No value available
1995-08-27,.,No value available
1995-08-28,.,No value available
1995-08-29,.,No value available
1995-08-30,.,No value available
1995-08-31,6.2650,
1995-09-01,.,No value available
1995-09-02,.,No value available
1995-09-03,.,No value available
1995-09-04,.,No value available
1995-09-05,.,No value available
1995-09-06,.,No value available
1995-09-07,.,No value available
1995-09-08,6.2750,
1995-09-09,.,No value available
1995-09-10,.,No value available
1995-09-11,.,No value available
1995-09-12,.,No value available
1995-09-13,.,No value available
1995-09-14,.,No value available
1995-09-15,6.2700,
1995-09-16,.,No value available
1995-09-17,.,No value available
1995-09-18,.,No value available
1995-09-19,.,No value available
1995-09-20,.,No value available
1995-09-21,.,No value available
1995-09-22,6.3500,
1995-09-23,.,No value available
1995-09-24,.,No value available
1995-09-25,.,No value available
1995-09-26,.,No value available
1995-09-27,.,No value available
1995-09-28,.,No value available
1995-09-29,6.3650,
1995-09-30,.,No value available
1995-10-01,.,No value available
1995-10-02,.,No value available
1995-10-03,.,No value available
1995-10-04,.,No value available
1995-10-05,.,No value available
1995-10-06,6.5200,
1995-10-07,.,No value available
1995-10-08,.,No value available
1995-10-09,.,No value available
1995-10-10,.,No value available
1995-10-11,.,No value available
1995-10-12,.,No value available
1995-10-13,6.7150,
1995-10-14,.,No value available
1995-10-15,.,No value available
1995-10-16,.,No value available
1995-10-17,.,No value available
1995-10-18,.,No value available
1995-10-19,.,No value available
1995-10-20,6.6650,
1995-10-21,.,No value available
1995-10-22,.,No value available
1995-10-23,.,No value available
1995-10-24,.,No value available
1995-10-25,.,No value available
1995-10-26,.,No value available
1995-10-27,7.1300,
1995-10-28,.,No value available
1995-10-29,.,No value available
1995-10-30,.,No value available
1995-10-31,7.1400,
1995-11-01,.,No value available
1995-11-02,.,No value available
1995-11-03,7.4300,
1995-11-04,.,No value available
1995-11-05,.,No value available
1995-11-06,.,No value available
1995-11-07,.,No value available
1995-11-08,.,No value available
1995-11-09,.,No value available
1995-11-10,7.6000,
1995-11-11,.,No value available
1995-11-12,.,No value available
1995-11-13,.,No value available
1995-11-14,.,No value available
1995-11-15,.,No value available
1995-11-16,.,No value available
1995-11-17,7.7300,
1995-11-18,.,No value available
1995-11-19,.,No value available
1995-11-20,.,No value available
1995-11-21,.,No value available
1995-11-22,.,No value available
1995-11-23,.,No value available
1995-11-24,7.7000,
1995-11-25,.,No value available
1995-11-26,.,No value available
1995-11-27,.,No value available
1995-11-28,.,No value available
1995-11-29,.,No value available
1995-11-30,7.5100,
1995-12-01,7.6000,
1995-12-02,.,No value available
1995-12-03,.,No value available
1995-12-04,.,No value available
1995-12-05,.,No value available
