"",BBK01.CEBB0B,BBK01.CEBB0B_FLAGS
"",Long-term debt securities debtor: All sectors                   creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:41,
1991-01,72.0,
1991-04,73.5,
1991-07,77.0,
1991-10,79.6,
1992-01,83.9,
1992-04,83.6,
1992-07,89.3,
1992-10,94.6,
1993-01,98.7,
1993-04,95.1,
1993-07,103.4,
1993-10,106.0,
1994-01,104.6,
1994-04,103.7,
1994-07,104.7,
1994-10,99.0,
1995-01,102.1,
1995-04,104.8,
1995-07,107.0,
1995-10,110.2,
1996-01,109.9,
1996-04,108.1,
1996-07,108.6,
1996-10,110.5,
1997-01,114.2,
1997-04,114.7,
1997-07,113.1,
1997-10,110.4,
1998-01,113.4,
1998-04,113.8,
1998-07,115.8,
1998-10,117.1,
1999-01,115.0,
1999-04,115.9,
1999-07,112.9,
1999-10,97.7,
2000-01,98.1,
2000-04,96.3,
2000-07,93.7,
2000-10,87.5,
2001-01,88.0,
2001-04,89.6,
2001-07,87.7,
2001-10,92.8,
2002-01,98.6,
2002-04,97.0,
2002-07,99.8,
2002-10,97.6,
2003-01,102.9,
2003-04,108.1,
2003-07,109.1,
2003-10,133.2,
2004-01,134.0,
2004-04,136.1,
2004-07,134.2,
2004-10,140.6,
2005-01,141.9,
2005-04,147.1,
2005-07,150.4,
2005-10,162.1,
2006-01,161.3,
2006-04,162.2,
2006-07,163.8,
2006-10,162.0,
2007-01,165.9,
2007-04,168.0,
2007-07,167.2,
2007-10,165.6,
2008-01,167.6,
2008-04,165.7,
2008-07,170.2,
2008-10,172.7,
2009-01,175.1,
2009-04,177.2,
2009-07,178.7,
2009-10,178.4,
2010-01,189.3,
2010-04,195.7,
2010-07,198.1,
2010-10,200.6,
2011-01,207.6,
2011-04,215.2,
2011-07,211.5,
2011-10,216.8,
2012-01,237.0,
2012-04,247.4,
2012-07,266.4,
2012-10,278.2,
2013-01,286.0,
2013-04,289.0,
2013-07,297.2,
2013-10,307.0,
2014-01,326.8,
