"",BBK01.CEF4K0,BBK01.CEF4K0_FLAGS
"",Loans  debtor: Insurance corporations               creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:32,
1999-01,51.1,
1999-04,52.5,
1999-07,53.1,
1999-10,55.3,
2000-01,56.1,
2000-04,57.1,
2000-07,57.9,
2000-10,59.7,
2001-01,61.5,
2001-04,62.4,
2001-07,65.0,
2001-10,69.9,
2002-01,71.5,
2002-04,72.8,
2002-07,75.7,
2002-10,80.5,
2003-01,82.4,
2003-04,86.0,
2003-07,86.2,
2003-10,88.4,
2004-01,91.7,
2004-04,92.0,
2004-07,93.4,
2004-10,93.3,
2005-01,84.6,
2005-04,82.3,
2005-07,86.7,
2005-10,82.5,
2006-01,84.5,
2006-04,84.4,
2006-07,82.0,
2006-10,83.5,
2007-01,81.8,
2007-04,83.0,
2007-07,84.7,
2007-10,78.8,
2008-01,78.1,
2008-04,76.5,
2008-07,76.6,
2008-10,69.4,
2009-01,68.1,
2009-04,66.3,
2009-07,65.0,
2009-10,63.9,
2010-01,65.7,
2010-04,65.8,
2010-07,67.4,
2010-10,62.3,
2011-01,59.8,
2011-04,59.3,
2011-07,59.6,
2011-10,60.3,
2012-01,61.1,
2012-04,62.8,
2012-07,63.0,
2012-10,63.7,
2013-01,63.2,
2013-04,62.3,
2013-07,58.8,
2013-10,61.5,
2014-01,62.6,
2014-04,62.4,
2014-07,64.1,
