"",BBK01.CEFQ0K,BBK01.CEFQ0K_FLAGS
"",short-term time deposits  debtor: Total           creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:09,
1999-01,11.6,
1999-04,8.4,
1999-07,7.7,
1999-10,8.4,
2000-01,11.3,
2000-04,7.9,
2000-07,7.0,
2000-10,8.9,
2001-01,10.7,
2001-04,9.0,
2001-07,10.7,
2001-10,11.8,
2002-01,9.5,
2002-04,9.5,
2002-07,12.2,
2002-10,13.7,
2003-01,15.8,
2003-04,16.2,
2003-07,13.2,
2003-10,13.9,
2004-01,18.7,
2004-04,14.0,
2004-07,17.5,
2004-10,18.2,
2005-01,20.8,
2005-04,17.6,
2005-07,16.0,
2005-10,13.8,
2006-01,15.1,
2006-04,14.3,
2006-07,15.8,
2006-10,15.2,
2007-01,17.6,
2007-04,17.7,
2007-07,16.7,
2007-10,20.6,
2008-01,25.0,
2008-04,21.6,
2008-07,19.7,
2008-10,19.8,
2009-01,22.7,
2009-04,17.8,
2009-07,17.7,
2009-10,17.9,
2010-01,18.6,
2010-04,16.5,
2010-07,14.6,
2010-10,13.6,
2011-01,15.9,
2011-04,15.9,
2011-07,18.1,
2011-10,16.8,
2012-01,18.0,
2012-04,16.5,
2012-07,17.5,
2012-10,16.7,
2013-01,15.9,
2013-04,15.3,
2013-07,12.4,
2013-10,13.7,
2014-01,14.8,
2014-04,14.4,
2014-07,13.4,
