"",BBK01.SUD277,BBK01.SUD277_FLAGS
"","New business (volumes) of German banks / Loans to non-financial corporations over EUR 1 million with collateral and/or guarantees, initial rate fixation of over 3 and up to 5 years",
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-03 10:27:55,
2010-06,275,
2010-07,519,
2010-08,148,
2010-09,254,
2010-10,423,
2010-11,242,
2010-12,505,
2011-01,438,
2011-02,339,
2011-03,437,
2011-04,345,
2011-05,98,
2011-06,437,
2011-07,586,
2011-08,374,
2011-09,278,
2011-10,334,
2011-11,663,
2011-12,336,
2012-01,309,
2012-02,403,
2012-03,324,
2012-04,429,
2012-05,238,
2012-06,474,
2012-07,742,
2012-08,291,
2012-09,101,
2012-10,438,
2012-11,806,
2012-12,675,
2013-01,196,
2013-02,265,
2013-03,585,
2013-04,322,
2013-05,194,
2013-06,455,
2013-07,766,
2013-08,290,
2013-09,683,
2013-10,1271,
2013-11,160,
2013-12,661,
2014-01,242,
2014-02,184,
2014-03,271,
2014-04,459,
2014-05,332,
2014-06,417,
2014-07,523,
2014-08,535,
2014-09,196,
2014-10,503,
2014-11,361,
2014-12,205,Provisional value
"","General: Estimated. The volume of new business is extrapolated to form the underlying total using the Horvitz-Thompson estimator. The amount refers to the single loan transaction considered as new business. For the purpose of MFI interest rate statistics, a loan is considered to be secured if collateral (inter alia financial collateral, real estate collateral, debt securities) in at least the same value as the loan amount has been posted, pledged or assigned. p = Provisional",
