"",BBAI3.Q.DE.N.V.LE.F29AAB.LV.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F29AAB.LV.A1.S.1.N.E.Z_FLAGS
"",Assets / Life insurance companies / Deposits over 1 year and up to 2 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:28:25,
2005-10,645,
2006-01,725,
2006-04,739,
2006-07,804,
2006-10,937,
2007-01,1041,
2007-04,1134,
2007-07,1072,
2007-10,1206,
2008-01,1118,
2008-04,1670,
2008-07,1866,
2008-10,1525,
2009-01,1477,
2009-04,1415,
2009-07,1249,
2009-10,1218,
2010-01,1163,
2010-04,873,
2010-07,699,
2010-10,715,
2011-01,793,
2011-04,716,
2011-07,765,
2011-10,763,
2012-01,659,
2012-04,716,
2012-07,735,
2012-10,663,
2013-01,653,
2013-04,778,
2013-07,695,
2013-10,702,
2014-01,583,
2014-04,583,
2014-07,745,
