"",BBEX3.D.ISK.EUR.CA.AB.000,BBEX3.D.ISK.EUR.CA.AB.000_FLAGS
2007-11-12,.,No value available
2007-11-13,.,No value available
2007-11-14,.,No value available
2007-11-15,88.83,
2007-11-16,.,No value available
2007-11-17,.,No value available
2007-11-18,.,No value available
2007-11-19,.,No value available
2007-11-20,.,No value available
2007-11-21,.,No value available
2007-11-22,.,No value available
2007-11-23,.,No value available
2007-11-24,.,No value available
2007-11-25,.,No value available
2007-11-26,.,No value available
2007-11-27,.,No value available
2007-11-28,.,No value available
2007-11-29,.,No value available
2007-11-30,90.26,
2007-12-01,.,No value available
2007-12-02,.,No value available
2007-12-03,.,No value available
2007-12-04,.,No value available
2007-12-05,.,No value available
2007-12-06,.,No value available
2007-12-07,.,No value available
2007-12-08,.,No value available
2007-12-09,.,No value available
2007-12-10,.,No value available
2007-12-11,.,No value available
2007-12-12,.,No value available
2007-12-13,.,No value available
2007-12-14,90.66,
2007-12-15,.,No value available
2007-12-16,.,No value available
2007-12-17,.,No value available
2007-12-18,.,No value available
2007-12-19,.,No value available
2007-12-20,.,No value available
2007-12-21,.,No value available
2007-12-22,.,No value available
2007-12-23,.,No value available
2007-12-24,.,No value available
2007-12-25,.,No value available
2007-12-26,.,No value available
2007-12-27,.,No value available
2007-12-28,.,No value available
2007-12-29,.,No value available
2007-12-30,.,No value available
2007-12-31,91.45,
2008-01-01,.,No value available
2008-01-02,.,No value available
2008-01-03,92.65,
2008-01-04,90.65,
2008-01-05,.,No value available
2008-01-06,.,No value available
2008-01-07,91.18,
2008-01-08,91.31,
2008-01-09,92.83,
2008-01-10,92.24,
2008-01-11,93.17,
2008-01-12,.,No value available
2008-01-13,.,No value available
2008-01-14,95.16,
2008-01-15,95.34,
2008-01-16,96.57,
2008-01-17,95.95,
2008-01-18,95.68,
2008-01-19,.,No value available
2008-01-20,.,No value available
2008-01-21,95.88,
2008-01-22,97.53,
2008-01-23,97.11,
2008-01-24,97.53,
2008-01-25,95.98,
2008-01-26,.,No value available
2008-01-27,.,No value available
2008-01-28,96.05,
2008-01-29,95.73,
2008-01-30,95.56,
2008-01-31,96.92,
2008-02-01,96.51,
2008-02-02,.,No value available
2008-02-03,.,No value available
2008-02-04,96.07,
2008-02-05,96.07,
2008-02-06,96.67,
2008-02-07,97.97,
2008-02-08,98.07,
2008-02-09,.,No value available
2008-02-10,.,No value available
2008-02-11,99.73,
2008-02-12,99.75,
2008-02-13,98.12,
2008-02-14,97.97,
2008-02-15,98.25,
2008-02-16,.,No value available
2008-02-17,.,No value available
2008-02-18,98.13,
2008-02-19,98.63,
2008-02-20,98.92,
2008-02-21,99.15,
2008-02-22,99.55,
2008-02-23,.,No value available
2008-02-24,.,No value available
2008-02-25,98.97,
2008-02-26,98.38,
2008-02-27,98.67,
2008-02-28,99.08,
2008-02-29,100.08,
2008-03-01,.,No value available
2008-03-02,.,No value available
2008-03-03,101.05,
2008-03-04,100.82,
2008-03-05,100.86,
2008-03-06,101.87,
2008-03-07,105.05,
2008-03-08,.,No value available
2008-03-09,.,No value available
2008-03-10,105.45,
2008-03-11,105.56,
2008-03-12,105.70,
2008-03-13,109.79,
2008-03-14,109.16,
2008-03-15,.,No value available
2008-03-16,.,No value available
2008-03-17,118.68,
2008-03-18,123.05,
2008-03-19,122.85,
2008-03-20,.,No value available
2008-03-21,.,No value available
2008-03-22,.,No value available
2008-03-23,.,No value available
2008-03-24,.,No value available
2008-03-25,116.87,
2008-03-26,120.69,
2008-03-27,118.08,
2008-03-28,123.31,
2008-03-29,.,No value available
2008-03-30,.,No value available
2008-03-31,121.62,
2008-04-01,121.02,
2008-04-02,117.89,
2008-04-03,116.90,
2008-04-04,117.36,
2008-04-05,.,No value available
2008-04-06,.,No value available
2008-04-07,113.90,
2008-04-08,114.73,
2008-04-09,113.49,
2008-04-10,115.17,
2008-04-11,115.96,
2008-04-12,.,No value available
2008-04-13,.,No value available
2008-04-14,117.82,
2008-04-15,118.48,
2008-04-16,118.53,
2008-04-17,118.19,
2008-04-18,120.32,
2008-04-19,.,No value available
2008-04-20,.,No value available
2008-04-21,119.62,
2008-04-22,118.67,
2008-04-23,117.77,
2008-04-24,.,No value available
2008-04-25,115.33,
2008-04-26,.,No value available
2008-04-27,.,No value available
2008-04-28,114.89,
2008-04-29,115.54,
2008-04-30,116.13,
2008-05-01,.,No value available
2008-05-02,116.24,
2008-05-03,.,No value available
2008-05-04,.,No value available
2008-05-05,118.68,
2008-05-06,119.79,
2008-05-07,119.02,
2008-05-08,118.77,
2008-05-09,122.74,
2008-05-10,.,No value available
2008-05-11,.,No value available
2008-05-12,.,No value available
2008-05-13,122.37,
2008-05-14,123.33,
2008-05-15,120.50,
2008-05-16,114.86,
2008-05-17,.,No value available
2008-05-18,.,No value available
2008-05-19,113.97,
2008-05-20,115.91,
2008-05-21,116.04,
2008-05-22,115.07,
2008-05-23,113.87,
2008-05-24,.,No value available
2008-05-25,.,No value available
2008-05-26,114.02,
2008-05-27,114.18,
2008-05-28,115.40,
2008-05-29,115.38,
2008-05-30,116.06,
2008-05-31,.,No value available
2008-06-01,.,No value available
2008-06-02,117.20,
2008-06-03,119.37,
2008-06-04,119.96,
2008-06-05,119.29,
2008-06-06,118.69,
2008-06-07,.,No value available
2008-06-08,.,No value available
2008-06-09,119.44,
2008-06-10,119.09,
2008-06-11,120.81,
2008-06-12,121.35,
2008-06-13,122.12,
2008-06-14,.,No value available
2008-06-15,.,No value available
2008-06-16,122.48,
2008-06-17,.,No value available
2008-06-18,124.57,
2008-06-19,127.59,
2008-06-20,125.86,
2008-06-21,.,No value available
2008-06-22,.,No value available
2008-06-23,128.11,
2008-06-24,131.81,
2008-06-25,129.48,
2008-06-26,126.97,
2008-06-27,128.79,
2008-06-28,.,No value available
2008-06-29,.,No value available
2008-06-30,125.68,
2008-07-01,126.01,
2008-07-02,124.46,
2008-07-03,125.10,
2008-07-04,121.57,
2008-07-05,.,No value available
2008-07-06,.,No value available
2008-07-07,120.69,
2008-07-08,121.38,
2008-07-09,119.30,
2008-07-10,118.99,
2008-07-11,120.30,
2008-07-12,.,No value available
2008-07-13,.,No value available
2008-07-14,122.01,
2008-07-15,124.78,
2008-07-16,124.51,
2008-07-17,122.14,
2008-07-18,125.92,
2008-07-19,.,No value available
2008-07-20,.,No value available
2008-07-21,124.65,
2008-07-22,126.11,
2008-07-23,125.38,
2008-07-24,126.39,
2008-07-25,128.16,
2008-07-26,.,No value available
2008-07-27,.,No value available
2008-07-28,129.94,
2008-07-29,126.84,
2008-07-30,125.05,
2008-07-31,124.18,
2008-08-01,123.86,
2008-08-02,.,No value available
2008-08-03,.,No value available
2008-08-04,.,No value available
2008-08-05,123.03,
2008-08-06,122.26,
2008-08-07,123.44,
2008-08-08,125.42,
2008-08-09,.,No value available
2008-08-10,.,No value available
2008-08-11,122.63,
2008-08-12,122.47,
2008-08-13,122.68,
2008-08-14,121.11,
2008-08-15,121.39,
2008-08-16,.,No value available
2008-08-17,.,No value available
2008-08-18,120.81,
2008-08-19,121.54,
2008-08-20,122.06,
2008-08-21,122.30,
2008-08-22,121.25,
2008-08-23,.,No value available
2008-08-24,.,No value available
2008-08-25,120.99,
2008-08-26,122.10,
2008-08-27,121.99,
2008-08-28,122.14,
2008-08-29,122.43,
2008-08-30,.,No value available
2008-08-31,.,No value available
2008-09-01,123.15,
2008-09-02,122.36,
2008-09-03,123.09,
2008-09-04,123.70,
2008-09-05,125.79,
2008-09-06,.,No value available
2008-09-07,.,No value available
2008-09-08,124.27,
2008-09-09,126.87,
2008-09-10,128.81,
2008-09-11,127.13,
2008-09-12,128.24,
2008-09-13,.,No value available
2008-09-14,.,No value available
2008-09-15,130.36,
2008-09-16,130.87,
2008-09-17,131.87,
2008-09-18,136.08,
2008-09-19,132.03,
2008-09-20,.,No value available
2008-09-21,.,No value available
2008-09-22,130.77,
2008-09-23,138.81,
2008-09-24,140.10,
2008-09-25,136.56,
2008-09-26,141.50,
2008-09-27,.,No value available
2008-09-28,.,No value available
2008-09-29,143.25,
2008-09-30,145.90,
2008-10-01,153.48,
2008-10-02,155.25,
2008-10-03,156.53,
2008-10-04,.,No value available
2008-10-05,.,No value available
2008-10-06,155.77,
2008-10-07,136.59,
2008-10-08,173.12,
2008-10-09,144.67,
2008-10-10,150.58,
2008-10-11,.,No value available
2008-10-12,.,No value available
2008-10-13,150.63,
2008-10-14,150.80,
2008-10-15,150.42,
2008-10-16,150.92,
2008-10-17,151.42,
2008-10-18,.,No value available
2008-10-19,.,No value available
2008-10-20,150.92,
2008-10-21,150.92,
2008-10-22,150.92,
2008-10-23,151.42,
2008-10-24,152.42,
2008-10-25,.,No value available
2008-10-26,.,No value available
2008-10-27,152.42,
2008-10-28,152.93,
2008-10-29,152.93,
2008-10-30,153.43,
2008-10-31,153.93,
2008-11-01,.,No value available
2008-11-02,.,No value available
2008-11-03,160.45,
2008-11-04,164.46,
2008-11-05,164.46,
2008-11-06,166.46,
2008-11-07,166.46,
2008-11-08,.,No value available
2008-11-09,.,No value available
2008-11-10,166.46,
2008-11-11,171.48,
2008-11-12,171.48,
2008-11-13,171.48,
2008-11-14,171.48,
2008-11-15,.,No value available
2008-11-16,.,No value available
2008-11-17,171.98,
2008-11-18,174.49,
2008-11-19,176.49,
2008-11-20,176.49,
2008-11-21,177.49,
2008-11-22,.,No value available
2008-11-23,.,No value available
2008-11-24,178.00,
2008-11-25,180.50,
2008-11-26,181.50,
2008-11-27,183.01,
2008-11-28,183.01,
2008-11-29,.,No value available
2008-11-30,.,No value available
2008-12-01,187.52,
2008-12-02,187.52,
2008-12-03,187.52,
2008-12-04,183.22,
2008-12-05,161.99,
2008-12-06,.,No value available
2008-12-07,.,No value available
2008-12-08,148.30,
2008-12-09,144.16,
2008-12-10,148.29,
2008-12-11,152.29,
2008-12-12,156.19,
2008-12-13,.,No value available
2008-12-14,.,No value available
2008-12-15,156.54,
2008-12-16,156.88,
2008-12-17,161.59,
2008-12-18,164.37,
2008-12-19,170.66,
2008-12-20,.,No value available
2008-12-21,.,No value available
2008-12-22,170.91,
2008-12-23,174.08,
2008-12-24,.,No value available
2008-12-25,.,No value available
2008-12-26,.,No value available
2008-12-27,.,No value available
2008-12-28,.,No value available
2008-12-29,180.35,
2008-12-30,171.97,
2008-12-31,170.44,
2009-01-01,.,No value available
2009-01-02,169.63,
2009-01-03,.,No value available
2009-01-04,.,No value available
2009-01-05,167.85,
2009-01-06,166.82,
2009-01-07,167.63,
2009-01-08,168.68,
2009-01-09,170.57,
2009-01-10,.,No value available
2009-01-11,.,No value available
2009-01-12,168.64,
2009-01-13,168.46,
2009-01-14,167.59,
2009-01-15,169.55,
2009-01-16,169.16,
2009-01-17,.,No value available
2009-01-18,.,No value available
2009-01-19,169.13,
2009-01-20,167.46,
2009-01-21,167.01,
2009-01-22,166.95,
2009-01-23,161.87,
2009-01-24,.,No value available
2009-01-25,.,No value available
2009-01-26,159.49,
2009-01-27,158.46,
2009-01-28,156.05,
2009-01-29,149.08,
2009-01-30,146.97,
2009-01-31,.,No value available
2009-02-01,.,No value available
2009-02-02,147.42,
2009-02-03,150.16,
2009-02-04,150.19,
2009-02-05,148.42,
2009-02-06,146.35,
2009-02-07,.,No value available
2009-02-08,.,No value available
2009-02-09,145.30,
2009-02-10,145.67,
2009-02-11,146.21,
2009-02-12,147.79,
2009-02-13,148.31,
2009-02-14,.,No value available
2009-02-15,.,No value available
2009-02-16,147.33,
2009-02-17,144.65,
2009-02-18,144.03,
2009-02-19,143.97,
2009-02-20,144.10,
2009-02-21,.,No value available
2009-02-22,.,No value available
2009-02-23,144.75,
2009-02-24,144.78,
2009-02-25,144.50,
2009-02-26,143.78,
2009-02-27,143.59,
2009-02-28,.,No value available
2009-03-01,.,No value available
2009-03-02,144.89,
2009-03-03,145.21,
2009-03-04,143.61,
2009-03-05,142.34,
2009-03-06,143.56,
2009-03-07,.,No value available
2009-03-08,.,No value available
2009-03-09,143.14,
2009-03-10,142.98,
2009-03-11,142.87,
2009-03-12,142.88,
2009-03-13,145.58,
2009-03-14,.,No value available
2009-03-15,.,No value available
2009-03-16,146.75,
2009-03-17,150.12,
2009-03-18,150.54,
2009-03-19,153.36,
2009-03-20,154.71,
2009-03-21,.,No value available
2009-03-22,.,No value available
2009-03-23,154.68,
2009-03-24,155.00,
2009-03-25,155.00,
2009-03-26,160.41,
2009-03-27,160.97,
2009-03-28,.,No value available
2009-03-29,.,No value available
2009-03-30,160.48,
2009-03-31,163.53,
2009-04-01,161.89,
2009-04-02,159.21,
2009-04-03,160.42,
2009-04-04,.,No value available
2009-04-05,.,No value available
2009-04-06,162.59,
2009-04-07,167.35,
2009-04-08,168.65,
2009-04-09,.,No value available
2009-04-10,.,No value available
2009-04-11,.,No value available
2009-04-12,.,No value available
2009-04-13,.,No value available
2009-04-14,169.95,
2009-04-15,169.84,
2009-04-16,167.91,
2009-04-17,168.32,
2009-04-18,.,No value available
2009-04-19,.,No value available
2009-04-20,168.11,
2009-04-21,168.09,
2009-04-22,169.23,
2009-04-23,.,No value available
2009-04-24,172.74,
2009-04-25,.,No value available
2009-04-26,.,No value available
2009-04-27,171.74,
2009-04-28,171.02,
2009-04-29,170.32,
2009-04-30,169.86,
2009-05-01,.,No value available
2009-05-02,.,No value available
2009-05-03,.,No value available
2009-05-04,169.54,
2009-05-05,169.05,
2009-05-06,168.73,
2009-05-07,170.04,
2009-05-08,168.55,
2009-05-09,.,No value available
2009-05-10,.,No value available
2009-05-11,170.86,
2009-05-12,171.13,
2009-05-13,172.44,
2009-05-14,172.99,
2009-05-15,172.14,
2009-05-16,.,No value available
2009-05-17,.,No value available
2009-05-18,170.32,
2009-05-19,174.07,
2009-05-20,174.98,
2009-05-21,.,No value available
2009-05-22,177.61,
2009-05-23,.,No value available
2009-05-24,.,No value available
2009-05-25,178.01,
2009-05-26,177.65,
2009-05-27,176.01,
2009-05-28,175.97,
2009-05-29,174.36,
2009-05-30,.,No value available
2009-05-31,.,No value available
2009-06-01,.,No value available
2009-06-02,172.59,
2009-06-03,172.88,
2009-06-04,174.46,
2009-06-05,174.20,
2009-06-06,.,No value available
2009-06-07,.,No value available
2009-06-08,176.13,
2009-06-09,177.94,
2009-06-10,181.03,
2009-06-11,180.50,
2009-06-12,180.10,
2009-06-13,.,No value available
2009-06-14,.,No value available
2009-06-15,178.23,
2009-06-16,177.21,
2009-06-17,.,No value available
2009-06-18,178.10,
2009-06-19,179.68,
2009-06-20,.,No value available
2009-06-21,.,No value available
2009-06-22,179.35,
2009-06-23,179.56,
2009-06-24,180.42,
2009-06-25,179.31,
2009-06-26,179.68,
2009-06-27,.,No value available
2009-06-28,.,No value available
2009-06-29,179.80,
2009-06-30,179.91,
2009-07-01,179.01,
2009-07-02,178.90,
2009-07-03,177.74,
2009-07-04,.,No value available
2009-07-05,.,No value available
2009-07-06,177.70,
2009-07-07,178.45,
2009-07-08,181.12,
2009-07-09,180.58,
2009-07-10,180.39,
2009-07-11,.,No value available
2009-07-12,.,No value available
2009-07-13,179.46,
2009-07-14,179.32,
2009-07-15,180.09,
2009-07-16,180.07,
2009-07-17,180.26,
2009-07-18,.,No value available
2009-07-19,.,No value available
2009-07-20,180.68,
2009-07-21,179.85,
2009-07-22,179.27,
2009-07-23,180.31,
2009-07-24,179.68,
2009-07-25,.,No value available
2009-07-26,.,No value available
2009-07-27,179.84,
2009-07-28,179.97,
2009-07-29,181.54,
2009-07-30,182.46,
2009-07-31,181.31,
2009-08-01,.,No value available
2009-08-02,.,No value available
2009-08-03,.,No value available
2009-08-04,181.18,
2009-08-05,180.66,
2009-08-06,180.64,
2009-08-07,180.96,
2009-08-08,.,No value available
2009-08-09,.,No value available
2009-08-10,180.01,
2009-08-11,180.26,
2009-08-12,181.50,
2009-08-13,180.54,
2009-08-14,180.63,
2009-08-15,.,No value available
2009-08-16,.,No value available
2009-08-17,180.48,
2009-08-18,182.03,
2009-08-19,182.84,
2009-08-20,183.98,
2009-08-21,183.18,
2009-08-22,.,No value available
2009-08-23,.,No value available
2009-08-24,183.50,
2009-08-25,183.87,
2009-08-26,185.49,
2009-08-27,183.88,
2009-08-28,181.02,
2009-08-29,.,No value available
2009-08-30,.,No value available
2009-08-31,179.94,
2009-09-01,179.47,
2009-09-02,179.94,
2009-09-03,181.78,
2009-09-04,181.25,
2009-09-05,.,No value available
2009-09-06,.,No value available
2009-09-07,181.16,
2009-09-08,181.17,
2009-09-09,180.99,
2009-09-10,181.53,
2009-09-11,181.53,
2009-09-12,.,No value available
2009-09-13,.,No value available
2009-09-14,181.90,
2009-09-15,181.96,
2009-09-16,181.99,
2009-09-17,182.56,
2009-09-18,182.21,
2009-09-19,.,No value available
2009-09-20,.,No value available
2009-09-21,182.24,
2009-09-22,183.01,
2009-09-23,183.12,
2009-09-24,183.62,
2009-09-25,183.96,
2009-09-26,.,No value available
2009-09-27,.,No value available
2009-09-28,183.02,
2009-09-29,182.48,
2009-09-30,182.12,
2009-10-01,181.43,
2009-10-02,182.66,
2009-10-03,.,No value available
2009-10-04,.,No value available
2009-10-05,182.59,
2009-10-06,182.81,
2009-10-07,183.75,
2009-10-08,184.86,
2009-10-09,185.15,
2009-10-10,.,No value available
2009-10-11,.,No value available
2009-10-12,184.82,
2009-10-13,184.92,
2009-10-14,184.58,
2009-10-15,184.09,
2009-10-16,185.19,
2009-10-17,.,No value available
2009-10-18,.,No value available
2009-10-19,185.02,
2009-10-20,184.34,
2009-10-21,183.70,
2009-10-22,183.47,
2009-10-23,184.67,
2009-10-24,.,No value available
2009-10-25,.,No value available
2009-10-26,184.20,
2009-10-27,185.08,
2009-10-28,185.09,
2009-10-29,184.98,
2009-10-30,185.05,
2009-10-31,.,No value available
2009-11-01,.,No value available
2009-11-02,185.53,
2009-11-03,183.35,
2009-11-04,184.52,
2009-11-05,185.39,
2009-11-06,186.63,
2009-11-07,.,No value available
2009-11-08,.,No value available
2009-11-09,186.05,
2009-11-10,186.62,
2009-11-11,187.17,
2009-11-12,186.98,
2009-11-13,186.52,
2009-11-14,.,No value available
2009-11-15,.,No value available
2009-11-16,184.01,
2009-11-17,184.46,
2009-11-18,184.97,
2009-11-19,185.00,
2009-11-20,184.62,
2009-11-21,.,No value available
2009-11-22,.,No value available
2009-11-23,184.02,
2009-11-24,184.24,
2009-11-25,184.27,
2009-11-26,184.81,
2009-11-27,184.79,
2009-11-28,.,No value available
2009-11-29,.,No value available
2009-11-30,184.27,
2009-12-01,184.21,
2009-12-02,183.79,
2009-12-03,184.02,
2009-12-04,183.99,
2009-12-05,.,No value available
2009-12-06,.,No value available
2009-12-07,183.94,
2009-12-08,184.01,
2009-12-09,183.78,
2009-12-10,183.73,
2009-12-11,183.79,
2009-12-12,.,No value available
2009-12-13,.,No value available
2009-12-14,184.56,
2009-12-15,184.47,
2009-12-16,184.28,
2009-12-17,183.68,
2009-12-18,183.94,
2009-12-19,.,No value available
2009-12-20,.,No value available
2009-12-21,184.03,
2009-12-22,183.99,
2009-12-23,182.96,
2009-12-24,.,No value available
2009-12-25,.,No value available
2009-12-26,.,No value available
2009-12-27,.,No value available
2009-12-28,182.02,
2009-12-29,181.46,
2009-12-30,180.98,
2009-12-31,180.38,
2010-01-01,.,No value available
2010-01-02,.,No value available
2010-01-03,.,No value available
2010-01-04,180.34,
2010-01-05,180.46,
2010-01-06,180.44,
2010-01-07,180.69,
2010-01-08,181.03,
2010-01-09,.,No value available
2010-01-10,.,No value available
2010-01-11,180.91,
2010-01-12,180.50,
2010-01-13,180.71,
2010-01-14,180.79,
2010-01-15,180.47,
2010-01-16,.,No value available
2010-01-17,.,No value available
2010-01-18,180.24,
2010-01-19,180.15,
2010-01-20,180.14,
2010-01-21,179.91,
2010-01-22,180.03,
2010-01-23,.,No value available
2010-01-24,.,No value available
2010-01-25,180.04,
2010-01-26,180.05,
2010-01-27,180.03,
2010-01-28,179.91,
2010-01-29,178.74,
2010-01-30,.,No value available
2010-01-31,.,No value available
2010-02-01,178.12,
2010-02-02,178.14,
2010-02-03,177.28,
2010-02-04,177.13,
2010-02-05,176.68,
2010-02-06,.,No value available
2010-02-07,.,No value available
2010-02-08,176.76,
2010-02-09,176.79,
2010-02-10,176.81,
2010-02-11,176.77,
2010-02-12,176.02,
2010-02-13,.,No value available
2010-02-14,.,No value available
2010-02-15,176.03,
2010-02-16,175.02,
2010-02-17,175.34,
2010-02-18,174.79,
2010-02-19,174.86,
2010-02-20,.,No value available
2010-02-21,.,No value available
2010-02-22,174.88,
2010-02-23,175.02,
2010-02-24,174.81,
2010-02-25,174.78,
2010-02-26,175.18,
2010-02-27,.,No value available
2010-02-28,.,No value available
2010-03-01,175.15,
2010-03-02,174.98,
2010-03-03,174.57,
2010-03-04,174.72,
2010-03-05,174.46,
2010-03-06,.,No value available
2010-03-07,.,No value available
2010-03-08,174.49,
2010-03-09,174.46,
2010-03-10,174.41,
2010-03-11,174.48,
2010-03-12,173.56,
2010-03-13,.,No value available
2010-03-14,.,No value available
2010-03-15,173.40,
2010-03-16,172.78,
2010-03-17,172.89,
2010-03-18,172.49,
2010-03-19,172.19,
2010-03-20,.,No value available
2010-03-21,.,No value available
2010-03-22,172.28,
2010-03-23,172.73,
2010-03-24,172.92,
2010-03-25,173.43,
2010-03-26,173.42,
2010-03-27,.,No value available
2010-03-28,.,No value available
2010-03-29,173.43,
2010-03-30,173.28,
2010-03-31,172.99,
2010-04-01,.,No value available
2010-04-02,.,No value available
2010-04-03,.,No value available
2010-04-04,.,No value available
2010-04-05,.,No value available
2010-04-06,172.31,
2010-04-07,172.16,
2010-04-08,171.81,
2010-04-09,171.79,
2010-04-10,.,No value available
2010-04-11,.,No value available
2010-04-12,171.81,
2010-04-13,171.75,
2010-04-14,171.69,
2010-04-15,171.40,
2010-04-16,171.34,
2010-04-17,.,No value available
2010-04-18,.,No value available
2010-04-19,171.22,
2010-04-20,171.23,
2010-04-21,171.13,
2010-04-22,.,No value available
2010-04-23,171.58,
2010-04-24,.,No value available
2010-04-25,.,No value available
2010-04-26,171.65,
2010-04-27,171.69,
2010-04-28,171.07,
2010-04-29,171.04,
2010-04-30,170.51,
2010-05-01,.,No value available
2010-05-02,.,No value available
2010-05-03,170.46,
2010-05-04,169.51,
2010-05-05,167.79,
2010-05-06,165.29,
2010-05-07,165.45,
2010-05-08,.,No value available
2010-05-09,.,No value available
2010-05-10,164.84,
2010-05-11,164.00,
2010-05-12,163.94,
2010-05-13,.,No value available
2010-05-14,164.25,
2010-05-15,.,No value available
2010-05-16,.,No value available
2010-05-17,163.40,
2010-05-18,162.45,
2010-05-19,161.00,
2010-05-20,160.87,
2010-05-21,160.96,
2010-05-22,.,No value available
2010-05-23,.,No value available
2010-05-24,.,No value available
2010-05-25,160.59,
2010-05-26,160.74,
2010-05-27,160.63,
2010-05-28,160.44,
2010-05-29,.,No value available
2010-05-30,.,No value available
2010-05-31,159.29,
2010-06-01,157.96,
2010-06-02,157.00,
2010-06-03,157.40,
2010-06-04,157.29,
2010-06-05,.,No value available
2010-06-06,.,No value available
2010-06-07,156.78,
2010-06-08,156.73,
2010-06-09,157.29,
2010-06-10,157.42,
2010-06-11,157.53,
2010-06-12,.,No value available
2010-06-13,.,No value available
2010-06-14,157.46,
2010-06-15,157.50,
2010-06-16,157.47,
2010-06-17,.,No value available
2010-06-18,157.44,
2010-06-19,.,No value available
2010-06-20,.,No value available
2010-06-21,157.42,
2010-06-22,157.31,
2010-06-23,157.27,
2010-06-24,157.78,
2010-06-25,157.80,
2010-06-26,.,No value available
2010-06-27,.,No value available
2010-06-28,157.73,
2010-06-29,157.36,
2010-06-30,157.19,
2010-07-01,157.24,
2010-07-02,157.26,
2010-07-03,.,No value available
2010-07-04,.,No value available
2010-07-05,157.25,
2010-07-06,157.91,
2010-07-07,157.93,
2010-07-08,158.00,
2010-07-09,158.23,
2010-07-10,.,No value available
2010-07-11,.,No value available
2010-07-12,157.95,
2010-07-13,157.79,
2010-07-14,158.22,
2010-07-15,158.49,
2010-07-16,158.98,
2010-07-17,.,No value available
2010-07-18,.,No value available
2010-07-19,159.24,
2010-07-20,159.14,
2010-07-21,158.43,
2010-07-22,158.51,
2010-07-23,158.65,
2010-07-24,.,No value available
2010-07-25,.,No value available
2010-07-26,158.38,
2010-07-27,157.82,
2010-07-28,157.62,
2010-07-29,157.88,
2010-07-30,157.00,
2010-07-31,.,No value available
2010-08-01,.,No value available
2010-08-02,.,No value available
2010-08-03,157.50,
2010-08-04,157.39,
2010-08-05,157.17,
2010-08-06,155.84,
2010-08-07,.,No value available
2010-08-08,.,No value available
2010-08-09,155.99,
2010-08-10,155.25,
2010-08-11,154.63,
2010-08-12,153.88,
2010-08-13,153.88,
2010-08-14,.,No value available
2010-08-15,.,No value available
2010-08-16,153.71,
2010-08-17,153.92,
2010-08-18,153.96,
2010-08-19,153.90,
2010-08-20,153.49,
2010-08-21,.,No value available
2010-08-22,.,No value available
2010-08-23,153.33,
2010-08-24,153.23,
2010-08-25,153.35,
2010-08-26,153.22,
2010-08-27,153.68,
2010-08-28,.,No value available
2010-08-29,.,No value available
2010-08-30,153.74,
2010-08-31,153.78,
2010-09-01,153.86,
2010-09-02,153.93,
2010-09-03,152.43,
2010-09-04,.,No value available
2010-09-05,.,No value available
2010-09-06,151.53,
2010-09-07,151.16,
2010-09-08,150.96,
2010-09-09,151.01,
2010-09-10,151.03,
2010-09-11,.,No value available
2010-09-12,.,No value available
2010-09-13,151.40,
2010-09-14,151.52,
2010-09-15,152.05,
2010-09-16,152.60,
2010-09-17,153.47,
2010-09-18,.,No value available
2010-09-19,.,No value available
2010-09-20,153.52,
2010-09-21,153.85,
2010-09-22,154.48,
2010-09-23,154.45,
2010-09-24,154.66,
2010-09-25,.,No value available
2010-09-26,.,No value available
2010-09-27,154.38,
2010-09-28,154.59,
2010-09-29,155.01,
2010-09-30,155.30,
2010-10-01,155.12,
2010-10-02,.,No value available
2010-10-03,.,No value available
2010-10-04,154.80,
2010-10-05,154.99,
2010-10-06,154.68,
2010-10-07,154.95,
2010-10-08,155.18,
2010-10-09,.,No value available
2010-10-10,.,No value available
2010-10-11,154.83,
2010-10-12,155.23,
2010-10-13,155.64,
2010-10-14,155.71,
2010-10-15,156.13,
2010-10-16,.,No value available
2010-10-17,.,No value available
2010-10-18,155.90,
2010-10-19,156.02,
2010-10-20,156.20,
2010-10-21,156.86,
2010-10-22,156.72,
2010-10-23,.,No value available
2010-10-24,.,No value available
2010-10-25,156.86,
2010-10-26,156.38,
2010-10-27,156.15,
2010-10-28,155.78,
2010-10-29,155.54,
2010-10-30,.,No value available
2010-10-31,.,No value available
2010-11-01,155.60,
2010-11-02,155.07,
2010-11-03,155.12,
2010-11-04,155.34,
2010-11-05,155.19,
2010-11-06,.,No value available
2010-11-07,.,No value available
2010-11-08,154.56,
2010-11-09,154.51,
2010-11-10,153.87,
2010-11-11,153.88,
2010-11-12,153.86,
2010-11-13,.,No value available
2010-11-14,.,No value available
2010-11-15,153.76,
2010-11-16,153.77,
2010-11-17,153.63,
2010-11-18,153.94,
2010-11-19,154.22,
2010-11-20,.,No value available
2010-11-21,.,No value available
2010-11-22,154.40,
2010-11-23,154.02,
2010-11-24,153.27,
2010-11-25,153.33,
2010-11-26,153.64,
2010-11-27,.,No value available
2010-11-28,.,No value available
2010-11-29,153.73,
2010-11-30,153.30,
2010-12-01,152.97,
2010-12-02,153.18,
2010-12-03,153.05,
2010-12-04,.,No value available
2010-12-05,.,No value available
2010-12-06,152.47,
2010-12-07,152.52,
2010-12-08,152.18,
2010-12-09,152.38,
2010-12-10,152.58,
2010-12-11,.,No value available
2010-12-12,.,No value available
2010-12-13,153.08,
2010-12-14,154.01,
