"",BBQFS.M.DE.BANK.CBC.W04000.0000,BBQFS.M.DE.BANK.CBC.W04000.0000_FLAGS
"",Cross-border claims of German banks on emerging market economies (FSR 2014),
unit,¤ (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-07 17:09:34,
2002-03,196.55,
2002-04,186.45,
2002-05,186.24,
2002-06,164.31,
2002-07,173.26,
2002-08,174.82,
2002-09,174.68,
2002-10,174.20,
2002-11,180.59,
2002-12,160.56,
2003-01,170.84,
2003-02,166.49,
2003-03,162.60,
2003-04,160.76,
2003-05,159.70,
2003-06,162.20,
2003-07,162.17,
2003-08,167.19,
2003-09,166.24,
2003-10,166.89,
2003-11,164.58,
2003-12,158.88,
2004-01,163.59,
2004-02,162.71,
2004-03,167.88,
2004-04,171.34,
2004-05,170.73,
2004-06,169.62,
2004-07,173.33,
2004-08,170.55,
2004-09,165.72,
2004-10,175.86,
2004-11,173.91,
2004-12,172.26,
2005-01,173.96,
2005-02,182.50,
2005-03,180.68,
2005-04,178.32,
2005-05,189.45,
2005-06,193.66,
2005-07,193.70,
2005-08,193.48,
2005-09,197.68,
2005-10,195.84,
2005-11,201.68,
2005-12,167.61,
2006-01,170.97,
2006-02,177.33,
2006-03,178.12,
2006-04,178.12,
2006-05,176.68,
2006-06,181.71,
2006-07,180.71,
2006-08,185.31,
2006-09,192.16,
2006-10,192.43,
2006-11,189.37,
2006-12,189.29,
2007-01,196.27,
2007-02,194.33,
2007-03,198.43,
2007-04,204.71,
2007-05,213.78,
2007-06,228.95,
2007-07,224.59,
2007-08,222.87,
2007-09,211.83,
2007-10,217.61,
2007-11,216.87,
2007-12,221.95,
2008-01,227.76,
2008-02,234.37,
2008-03,234.66,
2008-04,241.94,
2008-05,243.66,
2008-06,241.95,
2008-07,248.43,
2008-08,254.43,
2008-09,256.57,
2008-10,254.64,
2008-11,242.54,
2008-12,226.03,
2009-01,231.13,
2009-02,221.19,
2009-03,216.85,
2009-04,219.35,
2009-05,210.97,
2009-06,213.41,
2009-07,211.71,
2009-08,206.41,
2009-09,207.38,
2009-10,207.70,
2009-11,211.07,
2009-12,211.50,
2010-01,218.99,
2010-02,220.83,
2010-03,235.33,
2010-04,243.21,
2010-05,243.88,
2010-06,235.00,
2010-07,236.70,
2010-08,250.73,
2010-09,238.12,
2010-10,239.42,
2010-11,247.14,
2010-12,241.65,
2011-01,238.81,
2011-02,239.39,
2011-03,231.73,
2011-04,237.97,
2011-05,231.72,
2011-06,236.11,
2011-07,233.25,
2011-08,232.39,
2011-09,238.28,
2011-10,230.81,
2011-11,235.75,
2011-12,229.62,
2012-01,229.00,
2012-02,228.94,
2012-03,223.36,
2012-04,240.02,
2012-05,241.68,
2012-06,237.56,
2012-07,243.32,
2012-08,235.78,
2012-09,234.23,
2012-10,228.41,
2012-11,224.16,
2012-12,220.11,
2013-01,223.79,
2013-02,230.45,
2013-03,234.54,
2013-04,240.28,
2013-05,242.75,
2013-06,233.58,
2013-07,226.50,
2013-08,225.97,
2013-09,229.54,
2013-10,234.12,
2013-11,232.49,
2013-12,228.85,
2014-01,234.62,
2014-02,238.43,
2014-03,243.14,
2014-04,237.03,
2014-05,248.02,
2014-06,230.69,
2014-07,240.00,
2014-08,243.22,
"",Methodology: As definded in the consolidated banking statistics of the Bank for International Settlements (including foreign branches and subsidiaries.,
