"",BBK01.CEBA03,BBK01.CEBA03_FLAGS
"",Money market paper debtor: All sectors                  creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:07,
1991-01,10.6,
1991-04,10.4,
1991-07,7.9,
1991-10,8.8,
1992-01,6.6,
1992-04,5.9,
1992-07,11.0,
1992-10,5.2,
1993-01,11.0,
1993-04,6.4,
1993-07,5.6,
1993-10,8.8,
1994-01,7.2,
1994-04,4.3,
1994-07,3.9,
1994-10,7.8,
1995-01,6.4,
1995-04,6.2,
1995-07,6.3,
1995-10,7.5,
1996-01,6.8,
1996-04,6.0,
1996-07,6.4,
1996-10,9.3,
1997-01,10.1,
1997-04,8.7,
1997-07,9.4,
1997-10,7.9,
1998-01,10.0,
1998-04,10.7,
1998-07,10.6,
1998-10,16.6,
1999-01,18.1,
1999-04,18.9,
1999-07,25.2,
1999-10,34.0,
2000-01,35.5,
2000-04,37.7,
2000-07,38.2,
2000-10,38.8,
2001-01,35.9,
2001-04,29.9,
2001-07,28.8,
2001-10,19.3,
2002-01,21.5,
2002-04,20.8,
2002-07,27.0,
2002-10,24.1,
2003-01,28.6,
2003-04,27.0,
2003-07,25.5,
2003-10,24.3,
2004-01,22.1,
2004-04,25.7,
2004-07,30.2,
2004-10,27.7,
2005-01,23.6,
2005-04,23.6,
2005-07,28.2,
2005-10,28.0,
2006-01,30.9,
2006-04,38.3,
2006-07,37.4,
2006-10,36.2,
2007-01,44.5,
2007-04,52.8,
2007-07,59.8,
2007-10,73.9,
2008-01,76.2,
2008-04,94.2,
2008-07,96.1,
2008-10,91.8,
2009-01,63.4,
2009-04,52.4,
2009-07,48.3,
2009-10,54.4,
2010-01,48.7,
2010-04,54.8,
2010-07,51.8,
2010-10,50.7,
2011-01,50.6,
2011-04,50.1,
2011-07,46.0,
2011-10,29.5,
2012-01,32.5,
2012-04,29.8,
2012-07,27.0,
2012-10,21.6,
2013-01,20.4,
2013-04,21.2,
2013-07,21.3,
2013-10,20.5,
2014-01,22.3,
