"",BBK01.CEBEB0,BBK01.CEBEB0_FLAGS
"",short-term loans debtor: Insurance corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:25,
1991-01,18.7,
1991-04,19.1,
1991-07,19.3,
1991-10,19.4,
1992-01,20.4,
1992-04,21.4,
1992-07,21.3,
1992-10,21.4,
1993-01,22.2,
1993-04,22.7,
1993-07,23.4,
1993-10,23.5,
1994-01,24.4,
1994-04,25.5,
1994-07,25.2,
1994-10,25.6,
1995-01,27.4,
1995-04,27.4,
1995-07,27.8,
1995-10,27.3,
1996-01,28.9,
1996-04,29.8,
1996-07,29.4,
1996-10,29.8,
1997-01,30.6,
1997-04,31.6,
1997-07,32.1,
1997-10,33.1,
1998-01,33.7,
1998-04,34.7,
1998-07,36.0,
1998-10,36.4,
1999-01,36.8,
1999-04,37.9,
1999-07,38.4,
1999-10,38.7,
2000-01,40.8,
2000-04,41.0,
2000-07,41.8,
2000-10,41.5,
2001-01,43.0,
2001-04,43.9,
2001-07,45.4,
2001-10,46.8,
2002-01,47.8,
2002-04,49.0,
2002-07,52.2,
2002-10,53.5,
2003-01,55.5,
2003-04,55.8,
2003-07,56.4,
2003-10,56.0,
2004-01,58.9,
2004-04,59.7,
2004-07,61.3,
2004-10,61.1,
2005-01,52.2,
2005-04,50.3,
2005-07,54.2,
2005-10,52.6,
2006-01,52.3,
2006-04,51.8,
2006-07,47.4,
2006-10,47.6,
2007-01,46.5,
2007-04,47.3,
2007-07,46.9,
2007-10,46.0,
2008-01,45.0,
2008-04,42.9,
2008-07,44.3,
2008-10,40.0,
2009-01,39.2,
2009-04,38.0,
2009-07,37.3,
2009-10,36.5,
2010-01,37.8,
2010-04,38.2,
2010-07,39.0,
2010-10,40.6,
2011-01,38.8,
2011-04,38.3,
2011-07,38.4,
2011-10,38.4,
2012-01,39.0,
2012-04,40.6,
2012-07,40.9,
2012-10,40.9,
2013-01,41.9,
2013-04,42.6,
2013-07,39.6,
2013-10,40.5,
2014-01,42.3,
