"",BBK01.CELR0K,BBK01.CELR0K_FLAGS
"",long-term time deposits                                      debtor: Total            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:51,
1999-01,4.8,
1999-04,4.2,
1999-07,7.7,
1999-10,6.4,
2000-01,7.5,
2000-04,5.5,
2000-07,1.6,
2000-10,1.1,
2001-01,3.6,
2001-04,4.3,
2001-07,1.5,
2001-10,1.1,
2002-01,5.9,
2002-04,-0.2,
2002-07,0.0,
2002-10,4.0,
2003-01,5.2,
2003-04,-0.1,
2003-07,7.5,
2003-10,0.8,
2004-01,5.2,
2004-04,11.0,
2004-07,3.0,
2004-10,7.7,
2005-01,8.3,
2005-04,3.0,
2005-07,3.3,
2005-10,2.5,
2006-01,6.2,
2006-04,8.0,
2006-07,6.9,
2006-10,4.6,
2007-01,7.8,
2007-04,8.4,
2007-07,6.2,
2007-10,5.5,
2008-01,5.2,
2008-04,5.6,
2008-07,1.4,
2008-10,-0.3,
2009-01,6.3,
2009-04,5.6,
2009-07,2.5,
2009-10,-2.1,
2010-01,1.1,
2010-04,-2.1,
2010-07,-0.5,
2010-10,-1.0,
2011-01,1.7,
2011-04,0.8,
2011-07,-0.3,
2011-10,-2.7,
2012-01,-2.0,
2012-04,-1.6,
2012-07,-0.8,
2012-10,-5.4,
2013-01,-1.7,
2013-04,-1.1,
2013-07,-3.7,
2013-10,-4.1,
2014-01,-4.9,
2014-04,-1.6,
2014-07,-4.0,
