"",BBNZ1.A.DE.N.H.0000.L,BBNZ1.A.DE.N.H.0000.L_FLAGS
"","Germany / National accounts / Overall economy / Gross domestic product (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:21:10,
1950,13.28,
1951,14.59,
1952,15.93,
1953,17.34,
1954,18.67,
1955,20.91,
1956,22.50,
1957,23.83,
1958,24.86,
1959,26.80,
1960,29.12,
1961,30.47,
1962,31.89,
1963,32.79,
1964,34.97,
1965,36.84,
1966,37.87,
1967,37.75,
1968,39.81,
1969,42.78,
1970,44.94,
1971,46.35,
1972,48.34,
1973,50.65,
1974,51.10,
1975,50.66,
1976,53.16,
1977,54.94,
1978,56.60,
1979,58.95,
1980,59.78,
1981,60.09,
1982,59.86,
1983,60.80,
1984,62.51,
1985,63.97,
1986,65.43,
1987,66.35,
1988,68.81,
1989,71.49,
1990,75.25,
1991,79.09,
1992,80.61,
1993,79.84,
1994,81.80,
1995,83.19,
1996,83.84,
1997,85.37,
1998,87.05,
1999,88.78,
2000,91.43,
2001,92.98,
2002,92.99,
2003,92.32,
2004,93.41,
2005,94.07,
2006,97.56,
2007,100.75,
2008,101.81,
2009,96.07,
2010,100.00,
2011,103.59,
2012,103.98,
2013,104.09,
2014,105.76,
"","General: 1 Source of the original data: Bundesbank calculations up to 1959 and Federal Statistical Office as of 1960. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). Figures up to 1959 include additional estimates for Saarland and West Berlin. - 3 Methodology: At constant prices prior to 1970, at previous-year prices as of 1970. Figures at previous-year prices are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
