"",BBK01.BQ2926,BBK01.BQ2926_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - interest expenditure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:06,
1991-01,10653,
1991-04,8724,
1991-07,10696,
1991-10,9086,
1992-01,12938,
1992-04,10277,
1992-07,12832,
1992-10,15085,
1993-01,15379,
1993-04,9892,
1993-07,13839,
1993-10,12755,
1994-01,16634,
1994-04,11242,
1994-07,14498,
1994-10,13196,
1995-01,19317,
1995-04,13210,
1995-07,16617,
1995-10,16383,
1996-01,18855,
1996-04,13687,
1996-07,16279,
1996-10,17233,
1997-01,19152,
1997-04,14276,
1997-07,16891,
1997-10,16916,
1998-01,20975,
1998-04,12726,
1998-07,17590,
1998-10,16748,
1999-01,21474,
1999-04,13717,
1999-07,18525,
1999-10,15834,
2000-01,20961,
2000-04,13032,
2000-07,18466,
2000-10,14855,
2001-01,22008,
2001-04,12561,
2001-07,18999,
2001-10,12739,
2002-01,23976,
2002-04,11920,
2002-07,19225,
2002-10,10659,
2003-01,23595,
2003-04,10786,
2003-07,21606,
2003-10,9437,Provisional value
2004-01,25338,Provisional value
2004-04,10001,Provisional value
2004-07,20448,Provisional value
2004-10,8725,Provisional value
2005-01,25179,Provisional value
2005-04,10128,Provisional value
2005-07,19707,Provisional value
2005-10,8740,Provisional value
2006-01,25146,Provisional value
2006-04,9462,Provisional value
2006-07,20537,Provisional value
2006-10,9025,Provisional value
2007-01,25474,Provisional value
2007-04,9980,Provisional value
2007-07,21310,Provisional value
2007-10,9145,Provisional value
2008-01,24684,Provisional value
2008-04,11145,Provisional value
2008-07,21215,Provisional value
2008-10,10016,Provisional value
2009-01,22791,Provisional value
2009-04,10673,Provisional value
2009-07,19830,Provisional value
2009-10,10159,Provisional value
2010-01,21228,Provisional value
2010-04,13217,Provisional value
2010-07,16135,Provisional value
2010-10,9340,Provisional value
2011-01,21191,Provisional value
2011-04,10897,Provisional value
2011-07,18800,Provisional value
2011-10,8904,Provisional value
2012-01,27976,Provisional value
2012-04,17218,Provisional value
2012-07,17735,Provisional value
2012-10,6760,Provisional value
2013-01,22543,Provisional value
2013-04,14209,Provisional value
2013-07,20147,Provisional value
2013-10,9930,Provisional value
2014-01,20054,Provisional value
2014-04,9798,Provisional value
"",General: For Germany as a whole (excluding hospitals with commercial accounting practices),
