"",BBK01.CEL20K,BBK01.CEL20K_FLAGS
"",Currency and deposits                                              debtor: Total            creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:49,
1999-01,9.0,
1999-04,1.3,
1999-07,6.3,
1999-10,9.0,
2000-01,9.9,
2000-04,1.4,
2000-07,-0.5,
2000-10,6.1,
2001-01,4.2,
2001-04,3.1,
2001-07,3.5,
2001-10,3.7,
2002-01,2.1,
2002-04,0.7,
2002-07,4.3,
2002-10,7.3,
2003-01,9.6,
2003-04,0.3,
2003-07,1.2,
2003-10,0.8,
2004-01,12.0,
2004-04,3.1,
2004-07,8.9,
2004-10,4.6,
2005-01,14.0,
2005-04,-0.9,
2005-07,0.0,
2005-10,-1.8,
2006-01,8.8,
2006-04,6.9,
2006-07,6.4,
2006-10,4.3,
2007-01,9.9,
2007-04,9.1,
2007-07,3.0,
2007-10,10.6,
2008-01,10.3,
2008-04,1.7,
2008-07,-1.3,
2008-10,2.6,
2009-01,11.3,
2009-04,-1.5,
2009-07,3.5,
2009-10,-1.2,
2010-01,-0.4,
2010-04,-3.7,
2010-07,-3.4,
2010-10,-1.6,
2011-01,5.0,
2011-04,2.7,
2011-07,3.0,
2011-10,-3.1,
2012-01,-1.5,
2012-04,-2.1,
2012-07,-1.2,
2012-10,-4.2,
2013-01,-4.3,
2013-04,-4.4,
2013-07,-6.5,
2013-10,-5.4,
2014-01,1.2,
2014-04,-1.9,
2014-07,-6.3,
