"",BBEX3.M.IDR.USD.CA.AC.A01,BBEX3.M.IDR.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Indonesia / USD 1 = IDR ... (middle),
unit,IDR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:57,
1970-04,378.000,
1970-05,378.000,
1970-06,378.000,
1970-07,378.000,
1970-08,378.000,
1970-09,378.000,
1970-10,378.000,
1970-11,378.000,
1970-12,378.000,
1971-01,378.000,
1971-02,378.000,
1971-03,378.000,
1971-04,378.000,
1971-05,378.000,
1971-06,378.000,
1971-07,378.000,
1971-08,415.000,
1971-09,415.000,
1971-10,415.000,
1971-11,415.000,
1971-12,415.000,
1972-01,415.000,
1972-02,415.000,
1972-03,415.000,
1972-04,415.000,
1972-05,415.000,
1972-06,415.000,
1972-07,415.000,
1972-08,415.000,
1972-09,415.000,
1972-10,415.000,
1972-11,415.000,
1972-12,415.000,
1973-01,415.000,
1973-02,415.000,
1973-03,415.000,
1973-04,415.000,
1973-05,415.000,
1973-06,415.000,
1973-07,415.000,
1973-08,415.000,
1973-09,415.000,
1973-10,415.000,
1973-11,415.000,
1973-12,415.000,
1974-01,415.000,
1974-02,415.000,
1974-03,415.000,
1974-04,415.000,
1974-05,415.000,
1974-06,415.000,
1974-07,415.000,
1974-08,415.000,
1974-09,415.000,
1974-10,415.000,
1974-11,415.000,
1974-12,415.000,
1975-01,415.000,
1975-02,415.000,
1975-03,415.000,
1975-04,415.000,
1975-05,415.000,
1975-06,415.000,
1975-07,415.000,
1975-08,415.000,
1975-09,415.000,
1975-10,415.000,
1975-11,415.000,
1975-12,415.000,
1976-01,415.000,
1976-02,415.000,
1976-03,415.000,
1976-04,415.000,
1976-05,415.000,
1976-06,415.000,
1976-07,415.000,
1976-08,415.000,
1976-09,415.000,
1976-10,415.000,
1976-11,415.000,
1976-12,415.000,
1977-01,415.000,
1977-02,415.000,
1977-03,415.000,
1977-04,415.000,
1977-05,415.000,
1977-06,415.000,
1977-07,415.000,
1977-08,415.000,
1977-09,415.000,
1977-10,415.000,
1977-11,415.000,
1977-12,415.000,
1978-01,415.000,
1978-02,415.000,
1978-03,415.000,
1978-04,415.000,
1978-05,415.000,
1978-06,415.000,
1978-07,415.000,
1978-08,415.000,
1978-09,415.000,
1978-10,415.000,
1978-11,625.000,
1978-12,621.250,
1979-01,622.250,
1979-02,622.500,
1979-03,623.750,
1979-04,625.500,
1979-05,626.500,
1979-06,626.000,
1979-07,625.750,
1979-08,626.000,
1979-09,625.750,
1979-10,627.500,
1979-11,627.500,
1979-12,627.250,
1980-01,627.500,
1980-02,628.750,
1980-03,629.250,
1980-04,628.750,
1980-05,626.750,
1980-06,625.500,
1980-07,626.750,
1980-08,626.000,
1980-09,626.000,
1980-10,626.500,
1980-11,627.750,
1980-12,627.000,
1981-01,628.500,
1981-02,628.750,
1981-03,628.250,
1981-04,629.250,
1981-05,630.250,
1981-06,631.500,
1981-07,633.750,
1981-08,633.250,
1981-09,634.000,
1981-10,635.000,
1981-11,634.750,
1981-12,644.250,
1982-01,647.000,
1982-02,650.000,
1982-03,652.000,
1982-04,652.000,
1982-05,654.250,
1982-06,657.500,
1982-07,660.000,
1982-08,665.250,
1982-09,671.500,
1982-10,681.250,
1982-11,684.250,
1982-12,692.750,
1983-01,696.500,
1983-02,700.750,
1983-03,970.250,
1983-04,968.250,
1983-05,969.250,
1983-06,974.250,
1983-07,981.250,
1983-08,984.250,
1983-09,982.250,
1983-10,984.250,
1983-11,991.250,
1983-12,994.250,
1984-01,995.250,
1984-02,993.250,
1984-03,1000.250,
1984-04,1005.250,
1984-05,1009.250,
1984-06,1015.250,
1984-07,1027.250,
1984-08,1048.250,
1984-09,1059.250,
1984-10,1060.250,
1984-11,1067.000,
1984-12,1074.250,
1985-01,1082.250,
1985-02,1092.250,
1985-03,1101.250,
1985-04,1109.250,
1985-05,1117.250,
1985-06,1118.250,
1985-07,1116.250,
1985-08,1119.250,
1985-09,1121.250,
1985-10,1123.250,
1985-11,1122.250,
1985-12,1125.250,
1986-01,1127.250,
1986-02,1128.250,
1986-03,1125.250,
1986-04,1124.250,
1986-05,1130.250,
1986-06,1131.250,
1986-07,1131.250,
1986-08,1132.250,
1986-09,1633.000,
1986-10,1640.000,
1986-11,1650.000,
1986-12,1641.000,
1987-01,1633.000,
1987-02,1644.000,
1987-03,1644.000,
1987-04,1640.500,
1987-05,1649.000,
1987-06,1648.000,
1987-07,1640.000,
1987-08,1640.000,
1987-09,1650.000,
1987-10,1648.000,
1987-11,1650.000,
1987-12,1650.000,
1988-01,1662.000,
1988-02,1660.000,
1988-03,1660.000,
1988-04,1669.000,
1988-05,1673.000,
1988-06,1688.000,
1988-07,1693.000,
1988-08,1699.000,
1988-09,1706.000,
1988-10,1715.000,
1988-11,1721.000,
1988-12,1729.000,
1989-01,1740.000,
1989-02,1745.000,
1989-03,1755.000,
1989-04,1759.000,
1989-05,1771.000,
1989-06,1773.000,
1989-07,1774.000,
1989-08,1785.000,
1989-09,1783.000,
1989-10,1791.000,
1989-11,1794.000,
1989-12,1800.000,
1990-01,1808.000,
1990-02,1815.000,
1990-03,1823.000,
1990-04,1829.000,
1990-05,1836.000,
1990-06,1844.000,
1990-07,1849.000,
1990-08,1858.000,
1990-09,1864.000,
1990-10,1872.000,
1990-11,1884.000,
1990-12,1901.000,
1991-01,1912.000,
1991-02,1920.000,
1991-03,1932.000,
1991-04,1939.000,
1991-05,1947.000,
1991-06,1954.000,
1991-07,1959.000,
1991-08,1965.000,
1991-09,1968.000,
1991-10,1977.000,
1991-11,1985.000,
1991-12,1992.000,
1992-01,2004.000,
1992-02,2010.000,
1992-03,2017.000,
1992-04,2022.000,
1992-05,2027.000,
1992-06,2033.000,
1992-07,2035.000,
1992-08,2034.000,
1992-09,2038.000,
1992-10,2050.000,
1992-11,2059.000,
1992-12,2062.000,
1993-01,2065.000,
1993-02,2067.000,
1993-03,2071.000,
1993-04,2074.000,
1993-05,2079.000,
1993-06,2088.000,
1993-07,2096.000,
1993-08,2102.000,
1993-09,2108.000,
1993-10,2105.000,
1993-11,2106.000,
1993-12,2110.000,
1994-01,2122.000,
1994-02,2136.000,
1994-03,2144.000,
1994-04,2149.000,
1994-05,2155.000,
1994-06,2160.000,
1994-07,2169.000,
1994-08,2175.000,
1994-09,2181.000,
1994-10,2186.000,
1994-11,2193.000,
1994-12,2200.000,
1995-01,2207.000,
1995-02,2212.000,
1995-03,2219.000,
1995-04,2227.000,
1995-05,2236.000,
1995-06,2246.000,
1995-07,2256.000,
1995-08,2266.000,
1995-09,2276.000,
1995-10,2285.000,
1995-11,2296.000,
1995-12,2308.000,
1996-01,2311.000,
1996-02,2322.000,
1996-03,2338.000,
1996-04,2342.000,
1996-05,2354.000,
1996-06,2342.000,
1996-07,2353.000,
1996-08,2363.000,
1996-09,2340.000,
1996-10,2352.000,
1996-11,2368.000,
1996-12,2383.000,
1997-01,2396.000,
1997-02,2406.000,
1997-03,2419.000,
1997-04,2433.000,
1997-05,2440.000,
1997-06,2450.000,
1997-07,2599.000,
1997-08,3035.000,
1997-09,3275.000,
1997-10,3670.000,
1997-11,3648.000,
1997-12,5300.000,
1998-01,10375.000,
1998-02,8750.000,
1998-03,8325.000,
1998-04,7970.000,
1998-05,10525.000,
1998-06,14900.000,
1998-07,13000.000,
1998-08,11075.000,
1998-09,10700.000,
1998-10,7550.000,
1998-11,7300.000,
1998-12,8025.000,
1999-01,8950.000,
1999-02,8730.000,
1999-03,8685.000,
1999-04,8260.000,
1999-05,8105.000,
1999-06,6726.000,
1999-07,6875.000,
1999-08,7565.000,
1999-09,8386.000,
1999-10,6900.000,
1999-11,7425.000,
1999-12,7100.000,
2000-01,7425.000,
2000-02,7505.000,
2000-03,7590.000,
2000-04,7945.000,
2000-05,8620.000,
2000-06,8735.000,
2000-07,9003.000,
2000-08,8290.000,
2000-09,8780.000,
2000-10,9395.000,
2000-11,9530.000,
2000-12,9595.000,
2001-01,9450.000,
2001-02,9835.000,
2001-03,10400.000,
2001-04,11675.000,
2001-05,11058.000,
2001-06,11440.000,
2001-07,9525.000,
2001-08,8865.000,
2001-09,9675.000,
2001-10,10435.000,
2001-11,10430.000,
2001-12,10400.000,
2002-01,10320.000,
2002-02,10189.000,
2002-03,9655.000,
2002-04,9316.000,
2002-05,8785.000,
2002-06,8730.000,
2002-07,9108.000,
2002-08,8867.000,
2002-09,9015.000,
2002-10,9233.000,
2002-11,8976.000,
2002-12,8940.000,
2003-01,8876.000,
2003-02,8905.000,
2003-03,8908.000,
2003-04,8675.000,
2003-05,8279.000,
2003-06,8285.000,
2003-07,8505.000,
