"",BBK01.CELFJ0,BBK01.CELFJ0_FLAGS
"",long-term loans                                            debtor:  Households                                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:56,
1999-01,17.1,
1999-04,25.8,
1999-07,17.3,
1999-10,21.2,
2000-01,3.9,
2000-04,15.2,
2000-07,11.1,
2000-10,11.9,
2001-01,2.8,
2001-04,4.1,
2001-07,11.3,
2001-10,6.1,
2002-01,-0.5,
2002-04,2.1,
2002-07,7.3,
2002-10,9.8,
2003-01,0.2,
2003-04,7.3,
2003-07,9.6,
2003-10,7.2,
2004-01,-6.5,
2004-04,6.2,
2004-07,8.4,
2004-10,-0.2,
2005-01,-10.5,
2005-04,5.1,
2005-07,3.8,
2005-10,1.6,
2006-01,-5.7,
2006-04,1.7,
2006-07,5.6,
2006-10,-1.6,
2007-01,-7.9,
2007-04,-2.4,
2007-07,-2.3,
2007-10,-6.5,
2008-01,-8.6,
2008-04,1.1,
2008-07,-1.5,
2008-10,-6.7,
2009-01,-8.0,
2009-04,2.3,
2009-07,4.6,
2009-10,-0.5,
2010-01,-6.5,
2010-04,4.8,
2010-07,6.0,
2010-10,2.9,
2011-01,-3.4,
2011-04,4.0,
2011-07,7.8,
2011-10,5.4,
2012-01,-1.1,
2012-04,6.0,
2012-07,7.4,
2012-10,4.6,
2013-01,-2.1,
2013-04,6.1,
2013-07,8.7,
2013-10,1.9,
2014-01,-0.5,
2014-04,5.4,
2014-07,10.7,
