"",BBSF2.M.1.S.I0122.GEL01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.GEL01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
1988-12,-,Nothing exists
1989-01,-,Nothing exists
1989-02,-,Nothing exists
1989-03,-,Nothing exists
1989-04,-,Nothing exists
1989-05,-,Nothing exists
1989-06,-,Nothing exists
1989-07,-,Nothing exists
1989-08,-,Nothing exists
1989-09,-,Nothing exists
1989-10,-,Nothing exists
1989-11,-,Nothing exists
1989-12,-,Nothing exists
1990-01,-,Nothing exists
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,-,Nothing exists
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,-,Nothing exists
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,-,Nothing exists
1991-05,-,Nothing exists
1991-06,-,Nothing exists
1991-07,-,Nothing exists
1991-08,-,Nothing exists
1991-09,-,Nothing exists
1991-10,-,Nothing exists
1991-11,-,Nothing exists
1991-12,-,Nothing exists
1992-01,-,Nothing exists
1992-02,-,Nothing exists
1992-03,-,Nothing exists
1992-04,-,Nothing exists
1992-05,-,Nothing exists
1992-06,-,Nothing exists
1992-07,-,Nothing exists
1992-08,-,Nothing exists
1992-09,-,Nothing exists
1992-10,-,Nothing exists
1992-11,-,Nothing exists
1992-12,-,Nothing exists
1993-01,-,Nothing exists
1993-02,-,Nothing exists
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,-,Nothing exists
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,-,Nothing exists
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,-,Nothing exists
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,-,Nothing exists
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,-,Nothing exists
1994-09,-,Nothing exists
1994-10,-,Nothing exists
1994-11,-,Nothing exists
1994-12,-,Nothing exists
1995-01,-,Nothing exists
1995-02,-,Nothing exists
1995-03,-,Nothing exists
1995-04,-,Nothing exists
1995-05,-,Nothing exists
1995-06,-,Nothing exists
1995-07,-,Nothing exists
1995-08,-,Nothing exists
1995-09,-,Nothing exists
1995-10,-,Nothing exists
1995-11,-,Nothing exists
1995-12,-,Nothing exists
1996-01,-,Nothing exists
1996-02,-,Nothing exists
1996-03,-,Nothing exists
1996-04,-,Nothing exists
1996-05,-,Nothing exists
1996-06,-,Nothing exists
1996-07,-,Nothing exists
1996-08,-,Nothing exists
1996-09,-,Nothing exists
1996-10,-,Nothing exists
1996-11,-,Nothing exists
1996-12,-,Nothing exists
1997-01,-,Nothing exists
1997-02,-,Nothing exists
1997-03,-,Nothing exists
1997-04,-,Nothing exists
1997-05,-,Nothing exists
1997-06,-,Nothing exists
1997-07,-,Nothing exists
1997-08,-,Nothing exists
1997-09,-,Nothing exists
1997-10,-,Nothing exists
1997-11,-,Nothing exists
1997-12,-,Nothing exists
1998-01,-,Nothing exists
1998-02,-,Nothing exists
1998-03,-,Nothing exists
1998-04,-,Nothing exists
1998-05,-,Nothing exists
1998-06,-,Nothing exists
1998-07,-,Nothing exists
1998-08,-,Nothing exists
1998-09,-,Nothing exists
1998-10,-,Nothing exists
1998-11,-,Nothing exists
1998-12,-,Nothing exists
1999-01,-,Nothing exists
1999-02,-,Nothing exists
1999-03,-,Nothing exists
1999-04,-,Nothing exists
1999-05,-,Nothing exists
1999-06,-,Nothing exists
1999-07,-,Nothing exists
1999-08,-,Nothing exists
1999-09,-,Nothing exists
1999-10,-,Nothing exists
1999-11,-,Nothing exists
1999-12,-,Nothing exists
2000-01,-,Nothing exists
2000-02,-,Nothing exists
2000-03,-,Nothing exists
2000-04,-,Nothing exists
2000-05,-,Nothing exists
2000-06,-,Nothing exists
2000-07,-,Nothing exists
2000-08,-,Nothing exists
2000-09,-,Nothing exists
2000-10,-,Nothing exists
2000-11,-,Nothing exists
2000-12,-,Nothing exists
2001-01,4,
2001-02,4,
2001-03,4,
2001-04,4,
2001-05,4,
2001-06,4,
2001-07,4,
2001-08,4,
2001-09,4,
2001-10,4,
2001-11,4,
2001-12,4,
2002-01,9,
2002-02,9,
2002-03,9,
2002-04,9,
2002-05,8,
2002-06,8,
2002-07,8,
2002-08,9,
2002-09,10,
2002-10,10,
2002-11,10,
2002-12,10,
2003-01,10,
2003-02,10,
2003-03,10,
2003-04,10,
2003-05,10,
2003-06,10,
2003-07,10,
2003-08,11,
2003-09,11,
2003-10,13,
2003-11,13,
2003-12,13,
2004-01,13,
2004-02,13,
2004-03,13,
2004-04,13,
2004-05,15,
2004-06,15,
2004-07,15,
2004-08,15,
2004-09,15,
2004-10,15,
2004-11,14,
2004-12,14,
2005-01,14,
2005-02,14,
2005-03,14,
2005-04,13,
2005-05,13,
2005-06,13,
2005-07,14,
2005-08,14,
2005-09,14,
2005-10,14,
2005-11,14,
2005-12,14,
2006-01,14,
2006-02,14,
2006-03,14,
2006-04,14,
2006-05,13,
2006-06,13,
2006-07,13,
2006-08,13,
2006-09,10,
2006-10,10,
2006-11,10,
2006-12,10,
2007-01,10,
2007-02,10,
2007-03,10,
2007-04,22,
2007-05,22,
2007-06,23,
2007-07,23,
2007-08,23,
2007-09,23,
2007-10,23,
2007-11,23,
2007-12,23,
2008-01,23,
2008-02,23,
2008-03,23,
2008-04,23,
2008-05,23,
2008-06,23,
2008-07,23,
2008-08,23,
2008-09,23,
2008-10,23,
2008-11,23,
2008-12,23,
2009-01,22,
2009-02,22,
2009-03,22,
2009-04,22,
2009-05,22,
2009-06,22,
2009-07,22,
2009-08,21,
2009-09,21,
2009-10,21,
2009-11,21,
2009-12,21,
2010-01,21,
2010-02,21,
2010-03,21,
2010-04,21,
2010-05,21,
2010-06,21,
2010-07,21,
2010-08,20,
2010-09,20,
2010-10,20,
2010-11,20,
2010-12,20,
2011-01,20,
2011-02,12,
2011-03,12,
2011-04,12,
2011-05,12,
2011-06,12,
2011-07,12,
2011-08,12,
2011-09,12,
2011-10,12,
2011-11,12,
2011-12,12,
2012-01,12,
2012-02,12,
2012-03,12,
2012-04,12,
2012-05,12,
2012-06,12,
2012-07,12,
2012-08,8,
2012-09,8,
2012-10,5,
2012-11,5,
2012-12,5,
2013-01,6,
2013-02,6,
2013-03,6,
2013-04,6,
2013-05,5,
2013-06,3,
2013-07,3,
2013-08,3,
2013-09,3,
2013-10,3,
2013-11,3,
2013-12,2,
2014-01,2,
2014-02,2,
2014-03,2,
2014-04,2,
2014-05,2,
2014-06,2,
2014-07,2,
2014-08,2,
2014-09,2,
2014-10,2,
2014-11,2,
