"",BBAI3.Q.DE.N.V.LE.F42B.S1251.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F42B.S1251.A1.S.1.N.E.Z_FLAGS
"",Assets / Insurance corporations (ICs) / Loans up to 5 years / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:37,
2005-10,141999,
2006-01,145920,
2006-04,148149,
2006-07,150538,
2006-10,150816,
2007-01,154350,
2007-04,157266,
2007-07,160817,
2007-10,160507,
2008-01,157973,
2008-04,159701,
2008-07,159653,
2008-10,158769,
2009-01,165176,
2009-04,169585,
2009-07,171156,
2009-10,173591,
2010-01,177074,
2010-04,178085,
2010-07,178504,
2010-10,178765,
2011-01,179699,
2011-04,180490,
2011-07,181356,
2011-10,180789,
2012-01,183270,
2012-04,182580,
2012-07,183181,
2012-10,183680,
2013-01,184553,
2013-04,184442,
2013-07,187277,
2013-10,187780,
2014-01,191012,
2014-04,193434,
2014-07,193713,
