"",BBK01.CEBR0B,BBK01.CEBR0B_FLAGS
"",longer-term time deposits debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:38,
1991-01,143.5,
1991-04,145.9,
1991-07,148.4,
1991-10,150.6,
1992-01,153.9,
1992-04,155.9,
1992-07,157.4,
1992-10,160.1,
1993-01,163.8,
1993-04,167.8,
1993-07,172.0,
1993-10,178.4,
1994-01,187.9,
1994-04,193.8,
1994-07,200.3,
1994-10,205.7,
1995-01,212.9,
1995-04,220.0,
1995-07,226.7,
1995-10,232.9,
1996-01,242.3,
1996-04,250.3,
1996-07,256.6,
1996-10,262.4,
1997-01,269.0,
1997-04,273.4,
1997-07,276.1,
1997-10,281.5,
1998-01,285.7,
1998-04,289.4,
1998-07,293.2,
1998-10,294.6,
1999-01,301.2,
1999-04,306.5,
1999-07,316.5,
1999-10,324.6,
2000-01,333.6,
2000-04,340.2,
2000-07,342.1,
2000-10,343.3,
2001-01,347.6,
2001-04,352.7,
2001-07,354.7,
2001-10,356.1,
2002-01,363.3,
2002-04,363.0,
2002-07,362.9,
2002-10,367.8,
2003-01,374.5,
2003-04,374.6,
2003-07,384.7,
2003-10,385.6,
2004-01,391.9,
2004-04,405.6,
2004-07,409.3,
2004-10,419.4,
2005-01,430.5,
2005-04,434.2,
2005-07,438.2,
2005-10,441.4,
2006-01,448.9,
2006-04,458.7,
2006-07,467.3,
2006-10,472.8,
2007-01,481.9,
2007-04,492.2,
2007-07,499.8,
2007-10,506.1,
2008-01,512.5,
2008-04,519.2,
2008-07,521.8,
2008-10,519.6,
2009-01,527.5,
2009-04,534.5,
2009-07,537.1,
2009-10,533.7,
2010-01,534.3,
2010-04,530.9,
2010-07,529.6,
2010-10,526.2,
2011-01,527.8,
2011-04,528.1,
2011-07,527.0,
2011-10,521.5,
2012-01,517.5,
2012-04,514.5,
2012-07,512.8,
2012-10,504.9,
2013-01,504.6,
2013-04,503.0,
2013-07,498.8,
2013-10,493.3,
2014-01,487.0,
