"",BBAI3.Q.DE.N.V.LE.F511.SK.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.LE.F511.SK.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Death benefit funds / Shares and other equity - Quoted shares / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:33,
2005-10,96,
2006-01,78,
2006-04,69,
2006-07,80,
2006-10,105,
2007-01,91,
2007-04,97,
2007-07,89,
2007-10,102,
2008-01,77,
2008-04,71,
2008-07,65,
2008-10,60,
2009-01,41,
2009-04,41,
2009-07,51,
2009-10,61,
2010-01,56,
2010-04,50,
2010-07,52,
2010-10,66,
2011-01,58,
2011-04,56,
2011-07,45,
2011-10,55,
2012-01,57,
2012-04,51,
2012-07,59,
2012-10,76,
2013-01,71,
2013-04,72,
2013-07,76,
2013-10,97,
2014-01,85,
2014-04,80,
2014-07,82,
