"",BBFN1.M.DE.N.1.A.GB.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.GB.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
1985-03,0.494,
1985-04,0.481,
1985-05,0.479,
1985-06,0.471,
1985-07,0.424,
1985-08,0.425,
1985-09,0.427,
1985-10,0.432,
1985-11,0.420,
1985-12,0.433,
1986-01,0.409,
1986-02,0.350,
1986-03,0.335,
1986-04,0.335,
1986-05,0.339,
1986-06,0.343,
1986-07,0.405,
1986-08,0.422,
1986-09,0.458,
1986-10,0.453,
1986-11,0.495,
1986-12,0.434,
1987-01,0.483,
1987-02,0.524,
1987-03,0.721,
1987-04,0.776,
1987-05,0.764,
1987-06,0.698,
1987-07,0.684,
1987-08,0.753,
1987-09,0.717,
1987-10,0.779,
1987-11,0.773,
1987-12,0.834,
1988-01,0.839,
1988-02,0.835,
1988-03,0.915,
1988-04,0.913,
1988-05,0.869,
1988-06,0.864,
1988-07,0.890,
1988-08,0.927,
1988-09,0.910,
1988-10,0.904,
1988-11,0.895,
1988-12,0.890,
1989-01,0.870,
1989-02,0.863,
1989-03,2.283,
1989-04,2.287,
1989-05,2.314,
1989-06,2.312,
1989-07,2.190,
1989-08,2.168,
1989-09,2.231,
1989-10,2.249,
1989-11,2.278,
1989-12,2.150,
1990-01,2.165,
1990-02,2.095,
1990-03,2.180,
1990-04,2.123,
1990-05,2.179,
1990-06,2.095,
1990-07,1.749,
1990-08,1.229,
1990-09,1.191,
1990-10,1.188,
1990-11,1.186,
1990-12,1.257,
1991-01,1.270,
1991-02,1.326,
1991-03,1.236,
1991-04,1.114,
1991-05,1.124,
1991-06,1.094,
1991-07,1.087,
1991-08,1.065,
1991-09,1.029,
1991-10,0.899,
1991-11,0.911,
1991-12,0.889,
1992-01,0.858,
1992-02,0.878,
1992-03,0.876,
1992-04,0.819,
1992-05,0.816,
1992-06,0.790,
1992-07,0.852,
1992-08,0.924,
1992-09,0.932,
1992-10,0.915,
1992-11,0.918,
1992-12,0.956,
1993-01,0.862,
1993-02,0.830,
1993-03,0.825,
1993-04,0.824,
1993-05,0.818,
1993-06,0.816,
1993-07,0.823,
1993-08,0.907,
1993-09,0.910,
1993-10,0.936,
1993-11,0.973,
1993-12,0.966,
1994-01,0.980,
1994-02,1.050,
1994-03,1.096,
1994-04,1.080,
1994-05,0.967,
1994-06,0.898,
1994-07,0.863,
1994-08,0.914,
1994-09,0.936,
1994-10,0.936,
1994-11,0.966,
1994-12,0.935,
1995-01,0.934,
1995-02,1.021,
1995-03,1.009,
1995-04,1.024,
1995-05,1.024,
1995-06,1.272,
1995-07,1.252,
1995-08,1.247,
1995-09,1.202,
1995-10,1.534,
1995-11,1.559,
1995-12,1.241,
1996-01,1.303,
1996-02,1.403,
1996-03,1.343,
1996-04,1.364,
1996-05,1.450,
1996-06,1.406,
1996-07,1.470,
1996-08,1.438,
1996-09,1.424,
1996-10,1.154,
1996-11,1.654,
1996-12,1.598,
1997-01,1.574,
1997-02,1.564,
1997-03,1.572,
1997-04,1.588,
1997-05,1.561,
1997-06,1.513,
1997-07,1.530,
1997-08,1.621,
1997-09,1.669,
1997-10,1.680,
1997-11,1.726,
1997-12,1.634,
1998-01,1.989,
1998-02,1.982,
1998-03,2.013,
1998-04,1.995,
1998-05,1.871,
1998-06,1.876,
1998-07,1.907,
1998-08,1.868,
1998-09,1.852,
1998-10,1.859,
1998-11,1.603,
1998-12,1.704,
1999-01,1.794,
1999-02,1.859,
1999-03,1.936,
1999-04,1.920,
1999-05,1.903,
1999-06,2.479,
1999-07,2.496,
1999-08,2.615,
1999-09,2.653,
1999-10,2.965,
1999-11,2.923,
1999-12,2.979,
2000-01,3.086,
2000-02,3.167,
2000-03,3.187,
2000-04,3.182,
2000-05,3.502,
2000-06,3.601,
2000-07,3.738,
2000-08,3.805,
2000-09,4.146,
2000-10,4.140,
2000-11,4.145,
2000-12,3.675,
2001-01,3.782,
2001-02,3.808,
2001-03,4.270,
2001-04,4.304,
2001-05,4.440,
2001-06,5.235,
2001-07,5.241,
2001-08,5.137,
2001-09,5.208,
2001-10,5.216,
2001-11,5.205,
2001-12,6.224,
2002-01,6.635,
2002-02,6.677,
2002-03,6.627,
2002-04,6.512,
2002-05,6.593,
2002-06,6.609,
2002-07,7.227,
2002-08,7.132,
2002-09,7.258,
2002-10,7.146,
2002-11,7.602,
2002-12,7.337,
2003-01,7.484,
2003-02,7.204,
2003-03,7.474,
2003-04,7.487,
2003-05,7.420,
2003-06,7.313,
2003-07,9.440,
2003-08,9.374,
2003-09,9.340,
2003-10,9.784,
2003-11,9.806,
2003-12,9.376,
2004-01,9.698,
2004-02,9.886,
2004-03,9.969,
2004-04,9.921,
2004-05,9.880,
2004-06,10.053,
2004-07,10.720,
2004-08,10.739,
2004-09,10.889,
2004-10,10.808,
2004-11,11.005,
2004-12,10.659,
2005-01,10.722,
2005-02,10.137,
2005-03,10.273,
2005-04,10.354,
2005-05,10.423,
2005-06,10.665,
2005-07,10.469,
2005-08,10.388,
2005-09,10.514,
2005-10,10.051,
2005-11,10.013,
2005-12,9.858,
2006-01,9.805,
2006-02,10.060,
2006-03,9.977,
2006-04,10.456,
2006-05,11.109,
2006-06,10.870,
2006-07,8.995,
2006-08,9.208,
2006-09,9.311,
2006-10,9.243,
2006-11,9.363,
2006-12,9.611,
2007-01,9.173,
2007-02,9.775,
2007-03,10.073,
2007-04,10.189,
2007-05,10.442,
2007-06,10.014,
2007-07,9.806,
2007-08,13.610,
2007-09,13.563,
2007-10,13.818,
2007-11,14.119,
2007-12,14.732,
2008-01,14.824,
2008-02,15.037,
2008-03,16.505,
2008-04,16.710,
2008-05,17.258,
2008-06,14.660,
2008-07,13.515,
2008-08,13.254,
2008-09,13.121,
2008-10,13.049,
2008-11,12.458,
2008-12,12.010,
2009-01,12.108,
2009-02,12.141,
2009-03,11.961,
2009-04,11.611,
2009-05,11.741,
2009-06,11.635,
2009-07,11.557,
2009-08,11.798,
2009-09,11.988,
2009-10,14.688,
2009-11,14.220,
2009-12,14.123,
2010-01,15.611,
2010-02,15.589,
2010-03,15.898,
2010-04,16.093,
2010-05,16.159,
2010-06,17.850,
2010-07,13.519,
2010-08,13.789,
2010-09,14.509,
2010-10,14.452,
2010-11,14.807,
2010-12,13.959,
2011-01,14.153,
2011-02,14.037,
2011-03,14.439,
2011-04,14.370,
2011-05,15.050,
2011-06,12.093,
2011-07,12.401,
2011-08,12.920,
2011-09,12.711,
2011-10,13.313,
2011-11,13.430,
2011-12,13.497,
2012-01,13.809,
2012-02,14.391,
2012-03,14.610,
2012-04,14.858,
2012-05,15.118,
2012-06,15.770,
2012-07,15.949,
2012-08,15.918,
2012-09,18.931,
2012-10,18.984,
2012-11,19.064,
2012-12,19.143,
2013-01,19.158,
2013-02,19.076,
2013-03,19.761,
2013-04,19.784,
2013-05,19.787,
2013-06,20.260,
2013-07,21.304,
2013-08,21.527,
2013-09,22.159,
2013-10,22.084,
2013-11,22.583,
2013-12,23.539,
2014-01,23.508,
2014-02,23.350,
2014-03,23.369,
2014-04,23.954,
2014-05,24.394,
2014-06,24.689,
2014-07,24.761,
2014-08,24.775,
2014-09,24.951,
2014-10,25.299,
2014-11,25.047,
2014-12,24.921,
"","General: Up to December 2002, including Guernsey, Jersey and the Isle of Man.",
