"",BBSF2.M.1.T.00000.DER01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.T.00000.DER01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Funds total / Derivative funds / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:28,
2009-09,1,
2009-10,1,
2009-11,-,Nothing exists
2009-12,0,
2010-01,0,
2010-02,0,
2010-03,0,
2010-04,0,
2010-05,0,
2010-06,1,
2010-07,1,
2010-08,1,
2010-09,1,
2010-10,2,
2010-11,1,
2010-12,2,
2011-01,2,
2011-02,2,
2011-03,1,
2011-04,1,
2011-05,1,
2011-06,1,
2011-07,1,
2011-08,1,
2011-09,1,
2011-10,1,
2011-11,1,
2011-12,1,
2012-01,1,
2012-02,1,
2012-03,1,
2012-04,1,
2012-05,1,
2012-06,1,
2012-07,1,
2012-08,1,
2012-09,1,
2012-10,1,
2012-11,1,
2012-12,1,
2013-01,1,
2013-02,1,
2013-03,1,
2013-04,1,
2013-05,1,
2013-06,1,
2013-07,1,
2013-08,1,
2013-09,1,
2013-10,1,
2013-11,1,
2013-12,1,
2014-01,1,
2014-02,1,
2014-03,1,
2014-04,1,
2014-05,1,
2014-06,1,
2014-07,1,
2014-08,1,
2014-09,0,
2014-10,0,
2014-11,0,
