"",BBK01.CEHRQ2,BBK01.CEHRQ2_FLAGS
"",longer-term time deposits (consolidated) debtor: All sectors                  creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:53,
1991-01,14.0,
1991-04,4.4,
1991-07,4.6,
1991-10,3.0,
1992-01,2.8,
1992-04,0.7,
1992-07,1.8,
1992-10,2.3,
1993-01,5.1,
1993-04,5.6,
1993-07,6.3,
1993-10,6.4,
1994-01,10.9,
1994-04,8.4,
1994-07,8.0,
1994-10,7.0,
1995-01,7.1,
1995-04,9.7,
1995-07,8.6,
1995-10,6.9,
1996-01,13.5,
1996-04,6.6,
1996-07,3.9,
1996-10,6.8,
1997-01,7.0,
1997-04,5.7,
1997-07,5.9,
1997-10,9.7,
1998-01,7.6,
1998-04,6.5,
1998-07,5.3,
1998-10,-0.8,
1999-01,5.3,
1999-04,10.6,
1999-07,12.4,
1999-10,8.9,
2000-01,13.0,
2000-04,7.0,
2000-07,7.9,
2000-10,4.0,
2001-01,4.2,
2001-04,10.9,
2001-07,9.8,
2001-10,9.7,
2002-01,12.0,
2002-04,3.3,
2002-07,4.5,
2002-10,11.3,
2003-01,11.8,
2003-04,6.2,
2003-07,15.7,
2003-10,3.0,
2004-01,3.1,
2004-04,6.8,
2004-07,7.8,
2004-10,9.6,
2005-01,19.1,
2005-04,19.9,
2005-07,20.2,
2005-10,14.7,
2006-01,16.2,
2006-04,21.9,
2006-07,18.9,
2006-10,32.4,
2007-01,23.5,
2007-04,27.3,
2007-07,32.6,
2007-10,29.9,
2008-01,20.2,
2008-04,23.8,
2008-07,37.2,
2008-10,33.8,
2009-01,13.9,
2009-04,29.0,
2009-07,-9.5,
2009-10,-22.3,
2010-01,-5.7,
2010-04,-11.4,
2010-07,-24.5,
2010-10,-14.3,
2011-01,-11.1,
2011-04,-5.4,
2011-07,0.0,
2011-10,-21.1,
2012-01,-21.2,
2012-04,-16.4,
2012-07,-9.8,
2012-10,-24.1,
2013-01,-9.6,
2013-04,-10.2,
2013-07,-11.4,
2013-10,-12.5,
2014-01,-5.0,
