"",BBK01.CEH20B,BBK01.CEH20B_FLAGS
"",Currency and deposits debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:20:18,
1991-01,4.7,
1991-04,1.8,
1991-07,2.3,
1991-10,1.5,
1992-01,5.7,
1992-04,1.4,
1992-07,1.6,
1992-10,2.5,
1993-01,7.6,
1993-04,3.2,
1993-07,4.4,
1993-10,5.3,
1994-01,12.3,
1994-04,6.1,
1994-07,6.0,
1994-10,3.9,
1995-01,10.3,
1995-04,6.9,
1995-07,7.1,
1995-10,6.6,
1996-01,11.4,
1996-04,9.4,
1996-07,7.6,
1996-10,3.3,
1997-01,8.4,
1997-04,5.4,
1997-07,2.5,
1997-10,5.7,
1998-01,8.7,
1998-04,2.5,
1998-07,2.8,
1998-10,2.1,
1999-01,10.6,
1999-04,1.8,
1999-07,7.6,
1999-10,10.9,
2000-01,11.4,
2000-04,2.1,
2000-07,-0.6,
2000-10,7.3,
2001-01,4.9,
2001-04,4.0,
2001-07,3.9,
2001-10,4.6,
2002-01,2.4,
2002-04,0.9,
2002-07,4.8,
2002-10,9.3,
2003-01,10.8,
2003-04,0.3,
2003-07,1.7,
2003-10,1.5,
2004-01,13.7,
2004-04,4.5,
2004-07,10.7,
2004-10,6.4,
2005-01,16.2,
2005-04,-0.5,
2005-07,0.4,
2005-10,-0.6,
2006-01,9.4,
2006-04,8.3,
2006-07,8.0,
2006-10,8.5,
2007-01,9.3,
2007-04,11.1,
2007-07,4.0,
2007-10,13.6,
2008-01,11.6,
2008-04,2.8,
2008-07,-1.6,
2008-10,3.9,
2009-01,14.2,
2009-04,-2.4,
2009-07,4.1,
2009-10,-2.2,
2010-01,-1.7,
2010-04,-5.5,
2010-07,-5.2,
2010-10,-2.2,
2011-01,5.5,
2011-04,2.8,
2011-07,3.3,
2011-10,-4.4,
2012-01,-3.2,
2012-04,-3.2,
2012-07,-2.5,
2012-10,-5.7,
2013-01,0.5,
2013-04,-5.9,
2013-07,-8.4,
2013-10,-6.7,
2014-01,1.3,
