"",BBFN1.M.DE.N.1.L.CZ.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CZ.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1989-12,0.000,
1990-01,0.000,
1990-02,0.000,
1990-03,0.000,
1990-04,0.000,
1990-05,0.000,
1990-06,0.000,
1990-07,0.000,
1990-08,0.000,
1990-09,0.000,
1990-10,0.000,
1990-11,0.000,
1990-12,0.000,
1991-01,0.000,
1991-02,0.000,
1991-03,0.000,
1991-04,0.000,
1991-05,0.000,
1991-06,0.000,
1991-07,0.000,
1991-08,0.000,
1991-09,0.000,
1991-10,0.000,
1991-11,0.000,
1991-12,0.000,
1992-01,0.000,
1992-02,0.000,
1992-03,0.000,
1992-04,0.000,
1992-05,0.000,
1992-06,0.000,
1992-07,0.000,
1992-08,0.000,
1992-09,0.000,
1992-10,0.000,
1992-11,0.000,
1992-12,0.000,
1993-01,0.019,
1993-02,0.019,
1993-03,0.019,
1993-04,0.019,
1993-05,0.019,
1993-06,0.018,
1993-07,0.016,
1993-08,0.016,
1993-09,0.003,
1993-10,0.003,
1993-11,0.003,
1993-12,0.005,
1994-01,0.011,
1994-02,0.011,
1994-03,0.012,
1994-04,0.010,
1994-05,0.012,
1994-06,0.005,
1994-07,0.010,
1994-08,0.010,
1994-09,0.009,
1994-10,0.009,
1994-11,0.009,
1994-12,0.012,
1995-01,0.008,
1995-02,0.006,
1995-03,0.005,
1995-04,0.007,
1995-05,0.008,
1995-06,0.007,
1995-07,0.008,
1995-08,0.008,
1995-09,0.012,
1995-10,0.013,
1995-11,0.017,
1995-12,0.009,
1996-01,0.013,
1996-02,0.017,
1996-03,0.017,
1996-04,0.015,
1996-05,0.019,
1996-06,0.015,
1996-07,0.012,
1996-08,0.013,
1996-09,0.013,
1996-10,0.015,
1996-11,0.021,
1996-12,0.024,
1997-01,0.028,
1997-02,0.015,
1997-03,0.021,
1997-04,0.030,
1997-05,0.039,
1997-06,0.039,
1997-07,0.042,
1997-08,0.038,
1997-09,0.045,
1997-10,0.044,
1997-11,0.041,
1997-12,0.053,
1998-01,0.052,
1998-02,0.060,
1998-03,0.053,
1998-04,0.056,
1998-05,0.060,
1998-06,0.066,
1998-07,0.065,
1998-08,0.068,
1998-09,0.070,
1998-10,0.067,
1998-11,0.069,
1998-12,0.062,
1999-01,0.049,
1999-02,0.081,
1999-03,0.099,
1999-04,0.099,
1999-05,0.083,
1999-06,.,No value available
1999-07,.,No value available
1999-08,.,No value available
1999-09,0.116,
1999-10,0.087,
1999-11,0.082,
1999-12,0.116,
2000-01,0.126,
2000-02,0.127,
2000-03,0.157,
2000-04,0.116,
2000-05,0.149,
2000-06,0.163,
2000-07,0.162,
2000-08,0.152,
2000-09,0.181,
2000-10,0.134,
2000-11,0.107,
2000-12,0.208,
2001-01,0.197,
2001-02,0.187,
2001-03,0.223,
2001-04,0.227,
2001-05,0.202,
2001-06,0.246,
2001-07,0.256,
2001-08,0.241,
2001-09,0.256,
2001-10,0.205,
2001-11,0.196,
2001-12,0.290,
2002-01,0.290,
2002-02,0.278,
2002-03,0.347,
2002-04,0.398,
2002-05,0.414,
2002-06,0.476,
2002-07,0.413,
2002-08,0.318,
2002-09,0.381,
2002-10,0.368,
2002-11,0.298,
2002-12,0.338,
2003-01,0.634,
2003-02,0.825,
2003-03,0.928,
2003-04,0.983,
2003-05,1.007,
2003-06,0.969,
2003-07,0.777,
2003-08,0.753,
2003-09,0.686,
2003-10,0.811,
2003-11,0.994,
2003-12,1.050,
2004-01,1.129,
2004-02,1.221,
2004-03,1.297,
2004-04,1.212,
2004-05,1.245,
2004-06,1.323,
2004-07,1.058,
2004-08,1.132,
2004-09,1.045,
2004-10,1.251,
2004-11,1.360,
2004-12,1.523,
2005-01,1.592,
2005-02,1.797,
2005-03,1.845,
2005-04,1.732,
2005-05,1.956,
2005-06,1.448,
2005-07,1.917,
2005-08,1.995,
2005-09,1.731,
2005-10,1.836,
2005-11,2.121,
2005-12,1.998,
2006-01,2.401,
2006-02,2.412,
2006-03,2.624,
2006-04,2.684,
2006-05,2.812,
2006-06,2.403,
2006-07,2.982,
2006-08,3.045,
2006-09,3.053,
2006-10,2.669,
2006-11,3.575,
2006-12,3.352,
2007-01,3.570,
2007-02,3.734,
2007-03,4.026,
2007-04,3.757,
2007-05,3.992,
2007-06,3.696,
2007-07,3.801,
2007-08,3.859,
2007-09,4.113,
2007-10,3.506,
2007-11,3.864,
2007-12,3.879,
2008-01,3.782,
2008-02,3.291,
2008-03,3.280,
2008-04,2.856,
2008-05,2.864,
2008-06,2.811,
2008-07,2.729,
2008-08,2.417,
2008-09,2.366,
2008-10,2.712,
2008-11,3.031,
2008-12,3.024,
2009-01,2.551,
2009-02,2.518,
2009-03,2.297,
2009-04,2.332,
2009-05,2.431,
2009-06,2.347,
2009-07,2.228,
2009-08,2.304,
2009-09,2.461,
2009-10,2.414,
2009-11,2.744,
2009-12,2.718,
2010-01,2.881,
2010-02,2.831,
2010-03,2.748,
2010-04,2.622,
2010-05,2.571,
2010-06,1.760,
2010-07,1.804,
2010-08,2.275,
2010-09,2.286,
2010-10,2.393,
2010-11,2.482,
2010-12,2.624,
2011-01,2.938,
2011-02,3.070,
2011-03,3.181,
2011-04,3.268,
2011-05,3.347,
2011-06,2.533,
2011-07,2.538,
2011-08,2.502,
2011-09,2.289,
2011-10,2.450,
2011-11,2.190,
2011-12,1.954,
2012-01,1.742,
2012-02,2.078,
2012-03,1.683,
2012-04,1.656,
2012-05,3.879,
2012-06,3.478,
2012-07,3.450,
2012-08,3.588,
2012-09,3.100,
2012-10,3.274,
2012-11,4.347,
2012-12,2.612,
2013-01,2.114,
2013-02,4.489,
2013-03,4.441,
2013-04,4.322,
2013-05,4.335,
2013-06,4.077,
2013-07,4.801,
2013-08,5.339,
2013-09,5.391,
2013-10,5.682,
2013-11,5.576,
2013-12,5.747,
2014-01,5.689,
2014-02,5.605,
2014-03,5.916,
2014-04,5.928,
2014-05,3.615,
2014-06,3.653,
2014-07,3.480,
2014-08,3.730,
2014-09,3.779,
2014-10,3.984,
2014-11,4.089,
2014-12,4.167,
