"",BBFN1.M.DE.N.1.L.QA.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.QA.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1983-10,-,Nothing exists
1983-11,-,Nothing exists
1983-12,-,Nothing exists
1984-01,-,Nothing exists
1984-02,-,Nothing exists
1984-03,-,Nothing exists
1984-04,-,Nothing exists
1984-05,-,Nothing exists
1984-06,-,Nothing exists
1984-07,0.001,
1984-08,0.003,
1984-09,0.003,
1984-10,0.003,
1984-11,0.003,
1984-12,0.003,
1985-01,0.003,
1985-02,0.003,
1985-03,0.002,
1985-04,-,Nothing exists
1985-05,-,Nothing exists
1985-06,-,Nothing exists
1985-07,-,Nothing exists
1985-08,-,Nothing exists
1985-09,-,Nothing exists
1985-10,-,Nothing exists
1985-11,-,Nothing exists
1985-12,-,Nothing exists
1986-01,-,Nothing exists
1986-02,-,Nothing exists
1986-03,-,Nothing exists
1986-04,-,Nothing exists
1986-05,-,Nothing exists
1986-06,-,Nothing exists
1986-07,-,Nothing exists
1986-08,0.001,
1986-09,-,Nothing exists
1986-10,-,Nothing exists
1986-11,-,Nothing exists
1986-12,0.001,
1987-01,-,Nothing exists
1987-02,-,Nothing exists
1987-03,-,Nothing exists
1987-04,-,Nothing exists
1987-05,-,Nothing exists
1987-06,0.001,
1987-07,0.001,
1987-08,0.002,
1987-09,0.002,
1987-10,0.002,
1987-11,0.002,
1987-12,0.002,
1988-01,0.001,
1988-02,0.002,
1988-03,0.001,
1988-04,0.001,
1988-05,0.001,
1988-06,0.001,
1988-07,0.001,
1988-08,0.003,
1988-09,0.002,
1988-10,0.002,
1988-11,0.001,
1988-12,0.001,
1989-01,0.001,
1989-02,0.001,
1989-03,0.001,
1989-04,0.001,
1989-05,0.001,
1989-06,0.001,
1989-07,0.001,
1989-08,0.001,
1989-09,0.001,
1989-10,0.002,
1989-11,0.001,
1989-12,0.001,
1990-01,0.001,
1990-02,-,Nothing exists
1990-03,-,Nothing exists
1990-04,-,Nothing exists
1990-05,-,Nothing exists
1990-06,-,Nothing exists
1990-07,-,Nothing exists
1990-08,-,Nothing exists
1990-09,0.001,
1990-10,-,Nothing exists
1990-11,-,Nothing exists
1990-12,-,Nothing exists
1991-01,0.001,
1991-02,-,Nothing exists
1991-03,-,Nothing exists
1991-04,0.001,
1991-05,0.001,
1991-06,0.001,
1991-07,0.001,
1991-08,-,Nothing exists
1991-09,0.001,
1991-10,0.001,
1991-11,0.001,
1991-12,0.001,
1992-01,0.001,
1992-02,0.001,
1992-03,0.001,
1992-04,0.001,
1992-05,0.001,
1992-06,0.001,
1992-07,0.001,
1992-08,0.001,
1992-09,0.001,
1992-10,0.001,
1992-11,0.001,
1992-12,0.001,
1993-01,0.001,
1993-02,0.001,
1993-03,0.001,
1993-04,0.001,
1993-05,0.001,
1993-06,0.001,
1993-07,0.001,
1993-08,0.001,
1993-09,0.001,
1993-10,0.001,
1993-11,0.001,
1993-12,0.001,
1994-01,0.001,
1994-02,0.001,
1994-03,0.001,
1994-04,0.001,
1994-05,0.001,
1994-06,0.001,
1994-07,0.001,
1994-08,0.001,
1994-09,0.001,
1994-10,0.001,
1994-11,0.001,
1994-12,0.001,
1995-01,0.001,
1995-02,0.001,
1995-03,0.001,
1995-04,0.001,
1995-05,0.001,
1995-06,0.001,
1995-07,0.002,
1995-08,0.001,
1995-09,0.001,
1995-10,0.001,
1995-11,0.001,
1995-12,0.001,
1996-01,0.001,
1996-02,0.001,
1996-03,0.001,
1996-04,0.001,
1996-05,0.001,
1996-06,0.001,
1996-07,0.001,
1996-08,0.001,
1996-09,0.001,
1996-10,0.001,
1996-11,0.001,
1996-12,0.001,
1997-01,0.001,
1997-02,0.001,
1997-03,0.001,
1997-04,0.001,
1997-05,0.001,
1997-06,0.001,
1997-07,0.001,
1997-08,0.001,
1997-09,0.001,
1997-10,.,No value available
1997-11,.,No value available
1997-12,0.001,
1998-01,.,No value available
1998-02,.,No value available
1998-03,.,No value available
1998-04,.,No value available
1998-05,.,No value available
1998-06,.,No value available
1998-07,.,No value available
1998-08,.,No value available
1998-09,.,No value available
1998-10,.,No value available
1998-11,.,No value available
1998-12,.,No value available
1999-01,.,No value available
1999-02,.,No value available
1999-03,.,No value available
1999-04,.,No value available
1999-05,.,No value available
1999-06,.,No value available
1999-07,.,No value available
1999-08,.,No value available
1999-09,.,No value available
1999-10,.,No value available
1999-11,.,No value available
1999-12,.,No value available
2000-01,.,No value available
2000-02,.,No value available
2000-03,.,No value available
2000-04,.,No value available
2000-05,.,No value available
2000-06,.,No value available
2000-07,.,No value available
2000-08,.,No value available
2000-09,.,No value available
2000-10,.,No value available
2000-11,.,No value available
2000-12,.,No value available
2001-01,.,No value available
2001-02,.,No value available
2001-03,.,No value available
2001-04,.,No value available
2001-05,0.000,
2001-06,.,No value available
2001-07,.,No value available
2001-08,.,No value available
2001-09,.,No value available
2001-10,.,No value available
2001-11,.,No value available
2001-12,.,No value available
2002-01,.,No value available
2002-02,.,No value available
2002-03,.,No value available
2002-04,.,No value available
2002-05,.,No value available
2002-06,.,No value available
2002-07,.,No value available
2002-08,.,No value available
2002-09,.,No value available
2002-10,.,No value available
2002-11,.,No value available
2002-12,.,No value available
2003-01,.,No value available
2003-02,.,No value available
2003-03,.,No value available
2003-04,.,No value available
2003-05,.,No value available
2003-06,.,No value available
2003-07,.,No value available
2003-08,.,No value available
2003-09,.,No value available
2003-10,.,No value available
2003-11,.,No value available
2003-12,0.003,
2004-01,0.002,
2004-02,0.001,
2004-03,0.002,
2004-04,0.002,
2004-05,0.001,
2004-06,0.003,
2004-07,0.002,
2004-08,0.001,
2004-09,0.002,
2004-10,0.002,
2004-11,0.002,
2004-12,0.002,
2005-01,0.004,
2005-02,0.006,
2005-03,0.003,
2005-04,0.003,
2005-05,0.006,
2005-06,0.002,
2005-07,0.002,
2005-08,0.002,
2005-09,0.006,
2005-10,0.006,
2005-11,0.007,
2005-12,0.010,
2006-01,0.007,
2006-02,0.007,
2006-03,0.007,
2006-04,0.007,
2006-05,0.008,
2006-06,0.012,
2006-07,0.012,
2006-08,0.010,
2006-09,0.009,
2006-10,0.009,
2006-11,0.010,
2006-12,0.009,
2007-01,0.008,
2007-02,0.011,
2007-03,0.013,
2007-04,0.012,
2007-05,0.013,
2007-06,0.014,
2007-07,0.011,
2007-08,0.011,
2007-09,.,No value available
2007-10,0.015,
2007-11,0.016,
2007-12,0.015,
2008-01,0.093,
2008-02,0.088,
2008-03,0.078,
2008-04,0.074,
2008-05,0.065,
2008-06,0.094,
2008-07,0.050,
2008-08,0.045,
2008-09,0.075,
2008-10,0.081,
2008-11,0.074,
2008-12,0.059,
2009-01,0.052,
2009-02,0.056,
2009-03,0.054,
2009-04,0.049,
2009-05,0.058,
2009-06,0.052,
2009-07,0.050,
2009-08,0.055,
2009-09,0.052,
2009-10,0.053,
2009-11,0.048,
2009-12,4.158,
2010-01,.,No value available
2010-02,.,No value available
2010-03,.,No value available
2010-04,.,No value available
2010-05,.,No value available
2010-06,.,No value available
2010-07,.,No value available
2010-08,.,No value available
2010-09,.,No value available
2010-10,.,No value available
2010-11,.,No value available
2010-12,.,No value available
2011-01,.,No value available
2011-02,.,No value available
2011-03,.,No value available
2011-04,.,No value available
2011-05,.,No value available
2011-06,.,No value available
2011-07,.,No value available
2011-08,.,No value available
2011-09,.,No value available
2011-10,.,No value available
2011-11,.,No value available
2011-12,0.117,
2012-01,.,No value available
2012-02,.,No value available
2012-03,.,No value available
2012-04,.,No value available
2012-05,.,No value available
2012-06,.,No value available
2012-07,.,No value available
2012-08,.,No value available
2012-09,.,No value available
2012-10,.,No value available
2012-11,.,No value available
2012-12,0.055,
2013-01,0.141,
2013-02,0.135,
2013-03,0.134,
2013-04,0.141,
2013-05,0.050,
2013-06,0.056,
2013-07,0.069,
2013-08,0.066,
2013-09,0.069,
2013-10,0.076,
2013-11,0.075,
2013-12,0.079,
2014-01,0.162,
2014-02,0.160,
2014-03,0.101,
2014-04,0.102,
2014-05,0.102,
2014-06,0.105,
2014-07,0.079,
2014-08,.,No value available
2014-09,.,No value available
2014-10,.,No value available
2014-11,.,No value available
2014-12,.,No value available
