"",BBEX3.M.NGN.EUR.CA.AC.A01,BBEX3.M.NGN.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Nigeria / EUR 1 = NGN ... (middle),
unit,NGN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:41,
1999-01,98.45685,
1999-02,93.95585,
1999-03,96.12295,
1999-04,95.44240,
1999-05,99.76785,
1999-06,97.44545,
1999-07,100.29650,
1999-08,98.48390,
1999-09,99.46575,
1999-10,98.77865,
1999-11,98.08640,
1999-12,98.43975,
2000-01,97.10005,
2000-02,97.73505,
2000-03,95.63465,
2000-04,90.52220,
2000-05,93.69130,
2000-06,97.32690,
2000-07,95.63400,
2000-08,91.17150,
2000-09,89.09230,
2000-10,85.78200,
2000-11,88.45940,
2000-12,101.88150,
2001-01,102.57900,
2001-02,101.60030,
2001-03,97.08620,
2001-04,100.80640,
2001-05,95.46230,
2001-06,94.57430,
2001-07,97.36670,
2001-08,101.81200,
2001-09,101.67870,
2001-10,100.58990,
2001-11,99.50000,
2001-12,99.94945,
2002-01,98.12310,
2002-02,99.56735,
2002-03,100.75700,
2002-04,104.33580,
2002-05,109.06610,
2002-06,119.27705,
2002-07,122.81430,
2002-08,123.65515,
2002-09,123.75055,
2002-10,124.49515,
2002-11,125.56305,
2002-12,132.58095,
2003-01,136.98770,
2003-02,136.35065,
2003-03,138.21220,
2003-04,141.29705,
2003-05,150.54320,
2003-06,144.68545,
2003-07,143.83355,
2003-08,139.39145,
2003-09,149.41720,
2003-10,153.68445,
2003-11,164.79940,
2003-12,172.14015,
2004-01,166.88240,
2004-02,166.53790,
2004-03,162.83705,
2004-04,158.72260,
2004-05,161.31860,
2004-06,160.85565,
2004-07,159.03545,
2004-08,159.36505,
2004-09,162.93425,
2004-10,167.65800,
2004-11,175.46965,
2004-12,180.77685,
2005-01,171.97535,
2005-02,175.49610,
2005-03,171.59175,
2005-04,171.49970,
2005-05,163.09675,
2005-06,160.00890,
2005-07,160.10270,
2005-08,157.38800,
2005-09,155.52240,
2005-10,155.53280,
2005-11,151.32055,
2005-12,152.13115,
2006-01,155.78055,
2006-02,151.48275,
2006-03,153.44360,
2006-04,158.88210,
2006-05,163.01205,
2006-06,160.98495,
2006-07,161.61745,
2006-08,162.73000,
2006-09,160.17430,
2006-10,160.56655,
2006-11,166.96735,
2006-12,166.76495,
2007-01,163.80510,
2007-02,167.17030,
2007-03,168.59720,
2007-04,171.58425,
2007-05,169.20740,
2007-06,169.50505,
2007-07,171.89360,
2007-08,169.37650,
2007-09,175.80175,
2007-10,175.45475,
2007-11,172.98110,
2007-12,171.15875,
2008-01,172.32490,
2008-02,176.68745,
2008-03,183.66660,
2008-04,178.26245,
2008-05,180.31515,
2008-06,183.14865,
2008-07,181.69245,
2008-08,171.04920,
2008-09,169.96985,
2008-10,147.69905,
2008-11,148.43615,
2008-12,182.81470,
2009-01,191.14445,
2009-02,183.99855,
2009-03,193.50805,
2009-04,193.25115,
2009-05,202.63320,
2009-06,206.81215,
2009-07,209.86045,
2009-08,214.75540,
2009-09,215.01785,
2009-10,220.04670,
2009-11,222.23235,
2009-12,212.69160,
2010-01,207.06870,
2010-02,199.87445,
2010-03,199.33785,
2010-04,197.57870,
2010-05,184.28240,
2010-06,181.67005,
2010-07,193.32970,
2010-08,188.82935,
2010-09,203.53420,
2010-10,205.20205,
2010-11,193.08080,
2010-12,199.06910,
2011-01,204.93490,
2011-02,206.79605,
2011-03,214.88635,
2011-04,226.75525,
2011-05,220.25055,
2011-06,218.78045,
2011-07,213.90290,
2011-08,220.17905,
2011-09,208.01955,
2011-10,209.91960,
2011-11,207.39865,
2011-12,202.07595,
2012-01,206.44245,
2012-02,208.73330,
2012-03,207.66810,
2012-04,205.17440,
2012-05,192.60320,
2012-06,195.77665,
2012-07,190.75750,
2012-08,195.53825,
2012-09,200.85465,
2012-10,201.81200,
2012-11,201.94665,
2012-12,204.77010,
2013-01,210.41230,
2013-02,203.64145,
2013-03,198.87530,
2013-04,203.05145,
2013-05,201.84300,
2013-06,203.08255,
2013-07,205.98345,
2013-08,205.48665,
2013-09,209.52540,
2013-10,211.87575,
2013-11,211.31650,
2013-12,213.72595,
2014-01,210.33270,
2014-02,214.18290,
2014-03,214.13810,
2014-04,214.99360,
2014-05,211.33010,
2014-06,211.92000,
2014-07,207.75980,
2014-08,204.76385,
2014-09,195.38215,
2014-10,195.36365,
2014-11,205.41115,
2014-12,203.54600,
2015-01,190.01200,
"","Source: Calculated on the basis of buying and selling rates of the Central Bank of Nigeria, Abuja.",
