"",BBK01.CELFKK,BBK01.CELFKK_FLAGS
"",long-term loans debtor: Insurance corporations                                                 creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:19,
1999-01,0.6,
1999-04,0.6,
1999-07,0.5,
1999-10,0.8,
2000-01,0.4,
2000-04,1.0,
2000-07,0.6,
2000-10,-0.2,
2001-01,0.7,
2001-04,0.6,
2001-07,2.0,
2001-10,1.3,
2002-01,0.9,
2002-04,0.5,
2002-07,-0.1,
2002-10,1.9,
2003-01,0.6,
2003-04,0.7,
2003-07,0.4,
2003-10,0.9,
2004-01,-0.8,
2004-04,-0.9,
2004-07,-1.0,
2004-10,0.2,
2005-01,-0.5,
2005-04,-1.1,
2005-07,-0.9,
2005-10,-3.0,
2006-01,1.8,
2006-04,0.3,
2006-07,1.2,
2006-10,0.3,
2007-01,1.1,
2007-04,0.9,
2007-07,2.1,
2007-10,-1.3,
2008-01,0.1,
2008-04,0.2,
2008-07,-1.3,
2008-10,-2.4,
2009-01,-0.7,
2009-04,-0.5,
2009-07,-0.4,
2009-10,-0.6,
2010-01,0.6,
2010-04,-0.3,
2010-07,0.2,
2010-10,-2.6,
2011-01,0.2,
2011-04,0.0,
2011-07,0.2,
2011-10,1.0,
2012-01,0.5,
2012-04,0.1,
2012-07,-0.1,
2012-10,0.3,
2013-01,-0.3,
2013-04,-0.2,
2013-07,0.3,
2013-10,2.7,
2014-01,0.2,
2014-04,-0.1,
2014-07,0.1,
