"",BBEX3.D.TRY.USD.CA.AB.000,BBEX3.D.TRY.USD.CA.AB.000_FLAGS
"",Exchange rates for the US dollar in Turkey / USD 1 = TRY... (selling),
unit,TRY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:53:53,
2005-01-01,.,No value available
2005-01-02,.,No value available
2005-01-03,1.3427,
2005-01-04,1.3448,
2005-01-05,1.3492,
2005-01-06,1.3841,
2005-01-07,1.4068,
2005-01-08,.,No value available
2005-01-09,.,No value available
2005-01-10,1.3789,
2005-01-11,1.3889,
2005-01-12,1.3803,
2005-01-13,1.3798,
2005-01-14,1.3565,
2005-01-15,.,No value available
2005-01-16,.,No value available
2005-01-17,1.3561,
2005-01-18,1.3381,
2005-01-19,1.3428,
2005-01-20,.,No value available
2005-01-21,.,No value available
2005-01-22,.,No value available
2005-01-23,.,No value available
2005-01-24,.,No value available
2005-01-25,1.3405,
2005-01-26,1.3334,
2005-01-27,1.3331,
2005-01-28,1.3404,
2005-01-29,.,No value available
2005-01-30,.,No value available
2005-01-31,1.3351,
2005-02-01,1.3359,
2005-02-02,1.3316,
2005-02-03,1.3267,
2005-02-04,1.3230,
2005-02-05,.,No value available
2005-02-06,.,No value available
2005-02-07,1.3177,
2005-02-08,1.3156,
2005-02-09,1.3294,
2005-02-10,1.3284,
2005-02-11,1.3391,
2005-02-12,.,No value available
2005-02-13,.,No value available
2005-02-14,1.3228,
2005-02-15,1.3152,
2005-02-16,1.3114,
2005-02-17,1.3126,
2005-02-18,1.3113,
2005-02-19,.,No value available
2005-02-20,.,No value available
2005-02-21,1.3063,
2005-02-22,1.3079,
2005-02-23,1.2989,
2005-02-24,1.3043,
2005-02-25,1.2967,
2005-02-26,.,No value available
2005-02-27,.,No value available
2005-02-28,1.2947,
2005-03-01,1.2847,
2005-03-02,1.2830,
2005-03-03,1.2834,
2005-03-04,1.2771,
2005-03-05,.,No value available
2005-03-06,.,No value available
2005-03-07,1.2760,
2005-03-08,1.2601,
2005-03-09,1.2646,
2005-03-10,1.2651,
2005-03-11,1.2808,
2005-03-12,.,No value available
2005-03-13,.,No value available
2005-03-14,1.2651,
2005-03-15,1.2822,
2005-03-16,1.2931,
2005-03-17,1.3288,
2005-03-18,1.3238,
2005-03-19,.,No value available
2005-03-20,.,No value available
2005-03-21,1.3164,
2005-03-22,1.3361,
2005-03-23,1.3354,
2005-03-24,1.3645,
2005-03-25,1.3548,
2005-03-26,.,No value available
2005-03-27,.,No value available
2005-03-28,1.3522,
2005-03-29,1.3639,
2005-03-30,1.3905,
2005-03-31,1.3772,
2005-04-01,1.3527,
2005-04-02,.,No value available
2005-04-03,.,No value available
2005-04-04,1.3494,
2005-04-05,1.3666,
2005-04-06,1.3710,
2005-04-07,1.3512,
2005-04-08,1.3420,
2005-04-09,.,No value available
2005-04-10,.,No value available
2005-04-11,1.3520,
2005-04-12,1.3473,
2005-04-13,1.3441,
2005-04-14,1.3422,
2005-04-15,1.3565,
2005-04-16,.,No value available
2005-04-17,.,No value available
2005-04-18,1.3789,
2005-04-19,1.3786,
2005-04-20,1.3755,
2005-04-21,1.3612,
2005-04-22,1.3619,
2005-04-23,.,No value available
2005-04-24,.,No value available
2005-04-25,1.3564,
2005-04-26,1.3630,
2005-04-27,1.3615,
2005-04-28,1.3692,
2005-04-29,1.3796,
2005-04-30,.,No value available
2005-05-01,.,No value available
2005-05-02,1.3911,
2005-05-03,1.3855,
2005-05-04,1.3731,
2005-05-05,1.3494,
2005-05-06,1.3427,
2005-05-07,.,No value available
2005-05-08,.,No value available
2005-05-09,1.3487,
2005-05-10,1.3566,
2005-05-11,1.3620,
2005-05-12,1.3711,
2005-05-13,1.3592,
2005-05-14,.,No value available
2005-05-15,.,No value available
2005-05-16,1.3678,
2005-05-17,1.3826,
2005-05-18,1.3817,
2005-05-19,.,No value available
2005-05-20,1.3774,
2005-05-21,.,No value available
2005-05-22,.,No value available
2005-05-23,1.3629,
2005-05-24,1.3890,
2005-05-25,1.3838,
2005-05-26,1.3873,
2005-05-27,1.3844,
2005-05-28,.,No value available
2005-05-29,.,No value available
2005-05-30,1.3757,
2005-05-31,1.3722,
2005-06-01,1.3615,
2005-06-02,1.3661,
2005-06-03,1.3501,
2005-06-04,.,No value available
2005-06-05,.,No value available
2005-06-06,1.3619,
2005-06-07,1.3671,
2005-06-08,1.3601,
2005-06-09,1.3676,
2005-06-10,1.3624,
2005-06-11,.,No value available
2005-06-12,.,No value available
2005-06-13,1.3588,
2005-06-14,1.3787,
2005-06-15,1.3704,
2005-06-16,1.3794,
2005-06-17,1.3668,
2005-06-18,.,No value available
2005-06-19,.,No value available
2005-06-20,1.3593,
2005-06-21,1.3592,
2005-06-22,1.3649,
2005-06-23,1.3546,
2005-06-24,1.3563,
2005-06-25,.,No value available
2005-06-26,.,No value available
2005-06-27,1.3531,
2005-06-28,1.3513,
2005-06-29,1.3494,
2005-06-30,1.3478,
2005-07-01,1.3401,
2005-07-02,.,No value available
2005-07-03,.,No value available
2005-07-04,1.3368,
2005-07-05,1.3433,
2005-07-06,1.3464,
2005-07-07,1.3498,
2005-07-08,1.3615,
2005-07-09,.,No value available
2005-07-10,.,No value available
2005-07-11,1.3499,
2005-07-12,1.3425,
2005-07-13,1.3379,
2005-07-14,1.3319,
2005-07-15,1.3348,
2005-07-16,.,No value available
2005-07-17,.,No value available
2005-07-18,1.3287,
2005-07-19,1.3334,
2005-07-20,1.3341,
2005-07-21,1.3319,
2005-07-22,1.3265,
2005-07-23,.,No value available
2005-07-24,.,No value available
2005-07-25,1.3265,
2005-07-26,1.3386,
2005-07-27,1.3475,
2005-07-28,1.3430,
2005-07-29,1.3371,
2005-07-30,.,No value available
2005-07-31,.,No value available
2005-08-01,1.3276,
2005-08-02,1.3215,
2005-08-03,1.3245,
2005-08-04,1.3190,
2005-08-05,1.3152,
2005-08-06,.,No value available
2005-08-07,.,No value available
2005-08-08,1.3142,
2005-08-09,1.3188,
2005-08-10,1.3240,
2005-08-11,1.3191,
2005-08-12,1.3250,
2005-08-13,.,No value available
2005-08-14,.,No value available
2005-08-15,1.3434,
2005-08-16,1.3551,
2005-08-17,1.3469,
2005-08-18,1.3652,
2005-08-19,1.3672,
2005-08-20,.,No value available
2005-08-21,.,No value available
2005-08-22,1.3742,
2005-08-23,1.3678,
2005-08-24,1.3596,
2005-08-25,1.3715,
2005-08-26,1.3711,
2005-08-27,.,No value available
2005-08-28,.,No value available
2005-08-29,1.3595,
2005-08-30,.,No value available
2005-08-31,1.3573,
2005-09-01,1.3538,
2005-09-02,1.3408,
2005-09-03,.,No value available
2005-09-04,.,No value available
2005-09-05,1.3389,
2005-09-06,1.3354,
2005-09-07,1.3337,
2005-09-08,1.3326,
2005-09-09,1.3357,
2005-09-10,.,No value available
2005-09-11,.,No value available
2005-09-12,1.3319,
2005-09-13,1.3369,
2005-09-14,1.3356,
2005-09-15,1.3412,
2005-09-16,1.3409,
2005-09-17,.,No value available
2005-09-18,.,No value available
2005-09-19,1.3394,
2005-09-20,1.3458,
2005-09-21,1.3404,
2005-09-22,1.3410,
2005-09-23,1.3375,
2005-09-24,.,No value available
2005-09-25,.,No value available
2005-09-26,1.3424,
2005-09-27,1.3488,
2005-09-28,1.3441,
2005-09-29,1.3501,
2005-09-30,1.3471,
2005-10-01,.,No value available
2005-10-02,.,No value available
2005-10-03,1.3487,
2005-10-04,1.3623,
2005-10-05,1.3432,
2005-10-06,1.3510,
2005-10-07,1.3578,
2005-10-08,.,No value available
2005-10-09,.,No value available
2005-10-10,1.3528,
2005-10-11,1.3432,
2005-10-12,1.3477,
2005-10-13,1.3544,
2005-10-14,1.3679,
2005-10-15,.,No value available
2005-10-16,.,No value available
2005-10-17,1.3710,
2005-10-18,1.3611,
2005-10-19,1.3625,
2005-10-20,1.3715,
2005-10-21,1.3658,
2005-10-22,.,No value available
2005-10-23,.,No value available
2005-10-24,1.3638,
2005-10-25,1.3639,
2005-10-26,1.3613,
2005-10-27,1.3544,
2005-10-28,1.3538,
2005-10-29,.,No value available
2005-10-30,.,No value available
2005-10-31,.,No value available
2005-11-01,1.3482,
2005-11-02,1.3498,
2005-11-03,.,No value available
2005-11-04,.,No value available
2005-11-05,.,No value available
2005-11-06,.,No value available
2005-11-07,.,No value available
2005-11-08,1.3619,
2005-11-09,1.3650,
2005-11-10,1.3611,
2005-11-11,1.3644,
2005-11-12,.,No value available
2005-11-13,.,No value available
2005-11-14,1.3642,
2005-11-15,1.3617,
2005-11-16,1.3630,
2005-11-17,1.3585,
2005-11-18,1.3591,
2005-11-19,.,No value available
2005-11-20,.,No value available
2005-11-21,1.3710,
2005-11-22,1.3654,
2005-11-23,1.3677,
2005-11-24,1.3595,
2005-11-25,1.3584,
2005-11-26,.,No value available
2005-11-27,.,No value available
2005-11-28,1.3575,
2005-11-29,1.3617,
2005-11-30,1.3562,
2005-12-01,1.3565,
2005-12-02,1.3570,
2005-12-03,.,No value available
2005-12-04,.,No value available
2005-12-05,1.3592,
2005-12-06,1.3580,
2005-12-07,1.3551,
2005-12-08,1.3562,
2005-12-09,1.3575,
2005-12-10,.,No value available
2005-12-11,.,No value available
2005-12-12,1.3562,
2005-12-13,1.3538,
2005-12-14,1.3485,
2005-12-15,1.3434,
2005-12-16,1.3475,
2005-12-17,.,No value available
2005-12-18,.,No value available
2005-12-19,1.3504,
2005-12-20,1.3489,
2005-12-21,1.3493,
2005-12-22,1.3513,
2005-12-23,1.3528,
2005-12-24,.,No value available
2005-12-25,.,No value available
2005-12-26,1.3500,
2005-12-27,1.3489,
2005-12-28,1.3498,
2005-12-29,1.3487,
2005-12-30,1.3495,
2005-12-31,.,No value available
2006-01-01,.,No value available
2006-01-02,1.3483,
2006-01-03,1.3506,
2006-01-04,1.3484,
2006-01-05,1.3381,
2006-01-06,1.3362,
2006-01-07,.,No value available
2006-01-08,.,No value available
2006-01-09,1.3348,
2006-01-10,.,No value available
2006-01-11,.,No value available
2006-01-12,.,No value available
2006-01-13,.,No value available
2006-01-14,.,No value available
2006-01-15,.,No value available
2006-01-16,.,No value available
2006-01-17,1.3334,
2006-01-18,1.3341,
2006-01-19,1.3377,
2006-01-20,1.3363,
2006-01-21,.,No value available
2006-01-22,.,No value available
2006-01-23,1.3365,
2006-01-24,1.3272,
2006-01-25,1.3235,
2006-01-26,1.3219,
2006-01-27,1.3234,
2006-01-28,.,No value available
2006-01-29,.,No value available
2006-01-30,1.3247,
2006-01-31,1.3283,
2006-02-01,1.3263,
2006-02-02,1.3241,
2006-02-03,1.3277,
2006-02-04,.,No value available
2006-02-05,.,No value available
2006-02-06,1.3257,
2006-02-07,1.3296,
2006-02-08,1.3293,
2006-02-09,1.3345,
2006-02-10,1.3304,
2006-02-11,.,No value available
2006-02-12,.,No value available
2006-02-13,1.3272,
2006-02-14,1.3306,
2006-02-15,1.3275,
2006-02-16,1.3386,
2006-02-17,1.3310,
2006-02-18,.,No value available
2006-02-19,.,No value available
2006-02-20,1.3266,
2006-02-21,1.3156,
2006-02-22,1.3177,
2006-02-23,1.3309,
2006-02-24,1.3190,
2006-02-25,.,No value available
2006-02-26,.,No value available
2006-02-27,1.3208,
2006-02-28,1.3176,
2006-03-01,1.3123,
2006-03-02,1.3138,
2006-03-03,1.3042,
2006-03-04,.,No value available
2006-03-05,.,No value available
2006-03-06,1.3027,
2006-03-07,1.3069,
2006-03-08,1.3289,
2006-03-09,1.3422,
2006-03-10,1.3426,
2006-03-11,.,No value available
2006-03-12,.,No value available
2006-03-13,1.3505,
2006-03-14,1.3442,
2006-03-15,1.3497,
2006-03-16,1.3353,
2006-03-17,1.3328,
2006-03-18,.,No value available
2006-03-19,.,No value available
2006-03-20,1.3224,
2006-03-21,1.3333,
2006-03-22,1.3414,
2006-03-23,1.3491,
2006-03-24,1.3387,
2006-03-25,.,No value available
2006-03-26,.,No value available
2006-03-27,1.3473,
2006-03-28,1.3451,
2006-03-29,1.3529,
2006-03-30,1.3627,
2006-03-31,1.3492,
2006-04-01,.,No value available
2006-04-02,.,No value available
2006-04-03,1.3482,
2006-04-04,1.3454,
2006-04-05,1.3383,
2006-04-06,1.3364,
2006-04-07,1.3372,
2006-04-08,.,No value available
2006-04-09,.,No value available
2006-04-10,1.3359,
2006-04-11,1.3434,
2006-04-12,1.3395,
2006-04-13,1.3424,
2006-04-14,1.3474,
2006-04-15,.,No value available
2006-04-16,.,No value available
2006-04-17,1.3505,
2006-04-18,1.3489,
2006-04-19,1.3430,
2006-04-20,1.3303,
2006-04-21,1.3297,
2006-04-22,.,No value available
2006-04-23,.,No value available
2006-04-24,1.3288,
2006-04-25,1.3245,
2006-04-26,1.3232,
2006-04-27,1.3280,
2006-04-28,1.3259,
2006-04-29,.,No value available
2006-04-30,.,No value available
2006-05-01,1.3218,
2006-05-02,1.3194,
2006-05-03,1.3220,
2006-05-04,1.3167,
2006-05-05,1.3242,
2006-05-06,.,No value available
2006-05-07,.,No value available
2006-05-08,1.3195,
2006-05-09,1.3187,
2006-05-10,1.3385,
2006-05-11,1.3496,
2006-05-12,1.3610,
2006-05-13,.,No value available
2006-05-14,.,No value available
2006-05-15,1.3976,
2006-05-16,1.4568,
2006-05-17,1.4554,
2006-05-18,1.4253,
2006-05-19,.,No value available
2006-05-20,.,No value available
2006-05-21,.,No value available
2006-05-22,1.4950,
2006-05-23,1.5128,
2006-05-24,1.5246,
2006-05-25,1.5442,
2006-05-26,1.5470,
2006-05-27,.,No value available
2006-05-28,.,No value available
2006-05-29,1.5302,
2006-05-30,1.5300,
2006-05-31,1.5442,
2006-06-01,1.5675,
2006-06-02,1.5682,
2006-06-03,.,No value available
2006-06-04,.,No value available
2006-06-05,1.5345,
2006-06-06,1.5841,
2006-06-07,1.5634,
2006-06-08,1.5555,
2006-06-09,1.5538,
2006-06-10,.,No value available
2006-06-11,.,No value available
2006-06-12,1.5445,
2006-06-13,1.5464,
2006-06-14,1.6082,
2006-06-15,1.5974,
2006-06-16,1.5920,
2006-06-17,.,No value available
2006-06-18,.,No value available
2006-06-19,1.5909,
2006-06-20,1.6019,
2006-06-21,1.6166,
2006-06-22,1.6493,
2006-06-23,1.6687,
2006-06-24,.,No value available
2006-06-25,.,No value available
2006-06-26,1.7016,
2006-06-27,1.6917,
2006-06-28,1.6454,
2006-06-29,1.6196,
2006-06-30,1.6106,
2006-07-01,.,No value available
2006-07-02,.,No value available
2006-07-03,1.5773,
2006-07-04,1.5755,
2006-07-05,1.5424,
2006-07-06,1.5775,
2006-07-07,1.5955,
2006-07-08,.,No value available
2006-07-09,.,No value available
2006-07-10,1.5550,
2006-07-11,1.5585,
2006-07-12,1.5453,
2006-07-13,1.5510,
2006-07-14,1.5854,
