"",BBK01.CEBE0B,BBK01.CEBE0B_FLAGS
"",short-term loans debtor: All sectors                    creditor: Insurance corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:19:20,
1991-01,21.1,
1991-04,21.6,
1991-07,22.1,
1991-10,22.9,
1992-01,23.4,
1992-04,24.4,
1992-07,24.8,
1992-10,25.2,
1993-01,26.1,
1993-04,26.7,
1993-07,27.2,
1993-10,28.1,
1994-01,29.2,
1994-04,30.1,
1994-07,30.3,
1994-10,31.3,
1995-01,31.7,
1995-04,32.4,
1995-07,33.2,
1995-10,33.1,
1996-01,34.2,
1996-04,34.9,
1996-07,35.6,
1996-10,36.6,
1997-01,37.3,
1997-04,38.3,
1997-07,39.3,
1997-10,39.7,
1998-01,40.4,
1998-04,41.0,
1998-07,42.0,
1998-10,42.4,
1999-01,43.1,
1999-04,44.7,
1999-07,45.6,
1999-10,47.0,
2000-01,51.3,
2000-04,51.8,
2000-07,52.8,
2000-10,53.7,
2001-01,54.7,
2001-04,56.3,
2001-07,56.5,
2001-10,59.0,
2002-01,60.4,
2002-04,62.4,
2002-07,66.4,
2002-10,67.3,
2003-01,70.5,
2003-04,71.1,
2003-07,72.2,
2003-10,74.3,
2004-01,77.1,
2004-04,78.5,
2004-07,79.5,
2004-10,79.9,
2005-01,78.9,
2005-04,78.4,
2005-07,82.3,
2005-10,83.6,
2006-01,80.7,
2006-04,78.8,
2006-07,73.7,
2006-10,71.0,
2007-01,58.8,
2007-04,56.3,
2007-07,53.8,
2007-10,51.7,
2008-01,51.5,
2008-04,50.8,
2008-07,50.6,
2008-10,49.3,
2009-01,50.1,
2009-04,49.6,
2009-07,49.1,
2009-10,48.0,
2010-01,49.6,
2010-04,50.2,
2010-07,50.8,
2010-10,51.3,
2011-01,52.0,
2011-04,51.9,
2011-07,52.5,
2011-10,53.0,
2012-01,53.9,
2012-04,55.1,
2012-07,56.0,
2012-10,55.8,
2013-01,56.9,
2013-04,55.5,
2013-07,54.2,
2013-10,54.2,
2014-01,56.2,
