"",BBNZ1.Q.DE.N.H.0000.A,BBNZ1.Q.DE.N.H.0000.A_FLAGS
"",Germany / National accounts / Overall economy / GDP / Chain-linked index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 13:18:34,
1991-01,77.47,
1991-04,78.79,
1991-07,79.67,
1991-10,80.43,
1992-01,79.62,
1992-04,79.81,
1992-07,81.34,
1992-10,81.67,
1993-01,77.66,
1993-04,79.15,
1993-07,81.07,
1993-10,81.47,
1994-01,79.53,
1994-04,80.89,
1994-07,82.86,
1994-10,83.94,
1995-01,81.34,
1995-04,82.59,
1995-07,84.18,
1995-10,84.63,
1996-01,81.19,
1996-04,83.08,
1996-07,85.44,
1996-10,85.64,
1997-01,81.57,
1997-04,85.56,
1997-07,87.04,
1997-10,87.33,
1998-01,85.04,
1998-04,86.10,
1998-07,88.47,
1998-10,88.58,
1999-01,85.77,
1999-04,87.55,
1999-07,90.31,
1999-10,91.49,
2000-01,89.55,
2000-04,91.06,
2000-07,92.67,
2000-10,92.42,
2001-01,91.66,
2001-04,92.52,
2001-07,94.07,
2001-10,93.68,
2002-01,90.65,
2002-04,92.66,
2002-07,95.06,
2002-10,93.59,
2003-01,90.26,
2003-04,91.45,
2003-07,94.29,
2003-10,93.30,
2004-01,91.71,
2004-04,92.91,
2004-07,94.86,
2004-10,94.17,
2005-01,91.05,
2005-04,94.08,
2005-07,96.08,
2005-10,95.09,
2006-01,94.98,
2006-04,96.35,
2006-07,99.46,
2006-10,99.44,
2007-01,99.09,
2007-04,99.64,
2007-07,102.75,
2007-10,101.52,
2008-01,101.11,
2008-04,102.67,
2008-07,103.83,
2008-10,99.63,
2009-01,94.48,
2009-04,94.61,
2009-07,97.98,
2009-10,97.21,
2010-01,96.94,
2010-04,99.06,
2010-07,102.49,
2010-10,101.50,
2011-01,102.75,
2011-04,102.62,
2011-07,105.67,
2011-10,103.32,
2012-01,104.25,
2012-04,102.89,
2012-07,105.75,
2012-10,103.03,
2013-01,102.42,
2013-04,103.36,
2013-07,106.55,
2013-10,104.02,
2014-01,105.10,
2014-04,104.40,
2014-07,107.87,
2014-10,105.68,
