"",BBK01.CEFXE1,BBK01.CEFXE1_FLAGS
"","Pension entitlements, Claims of pension funds on pension managers, Entitlements to non-pension benefits  debtor: Non-financial corporations                                     creditor: Households (incl. NPISH)",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:17,
1999-01,151.0,
1999-04,152.0,
1999-07,153.1,
1999-10,154.1,
2000-01,157.3,
2000-04,160.5,
2000-07,163.8,
2000-10,167.0,
2001-01,169.1,
2001-04,171.3,
2001-07,173.4,
2001-10,175.6,
2002-01,177.4,
2002-04,179.2,
2002-07,181.0,
2002-10,182.8,
2003-01,184.5,
2003-04,186.2,
2003-07,187.9,
2003-10,189.6,
2004-01,190.7,
2004-04,191.8,
2004-07,193.0,
2004-10,194.1,
2005-01,195.4,
2005-04,196.8,
2005-07,198.1,
2005-10,199.4,
2006-01,201.4,
2006-04,203.4,
2006-07,205.5,
2006-10,207.5,
2007-01,208.0,
2007-04,208.4,
2007-07,208.9,
2007-10,209.4,
2008-01,209.9,
2008-04,210.3,
2008-07,210.8,
2008-10,211.3,
2009-01,213.1,
2009-04,214.9,
2009-07,216.7,
2009-10,218.6,
2010-01,219.8,
2010-04,221.0,
2010-07,222.2,
2010-10,223.4,
2011-01,225.0,
2011-04,226.6,
2011-07,228.2,
2011-10,229.8,
2012-01,231.7,
2012-04,233.6,
2012-07,235.5,
2012-10,237.5,
2013-01,239.0,
2013-04,240.5,
2013-07,242.0,
2013-10,243.5,
2014-01,245.0,
2014-04,246.5,
2014-07,248.0,
